actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-15T01:10:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-15T01:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-15T01:10:34.0Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612747,0,0,2025-11-15T01:10:34Z,40000,False,,,0,,Jump Ball D. Ayton vs. K. Looney: Tip to R. Hachimura,"[1629060, 1629028, 1626172]",1610612747.0,LAL,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Ayton,1629028.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2025-11-15T01:10:52.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,7.966491458607096,64.2156862745098,1610612747,0,0,2025-11-15T01:11:11Z,70000,False,-71.0,22.0,1,left,MISS L. Dončić 7' turnaround fadeaway Shot,[1629029],1610612747.0,LAL,turnaround fadeaway,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),0-8 Center,7.45,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-11-15T01:10:55.6Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,0,0,2025-11-15T01:11:00Z,80000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M26.00S,2025-11-15T01:11:17.9Z,1,REGULAR,foul,offensive,[],1642847,,,1610612740,0,0,2025-11-15T01:11:26Z,100000,False,,,0,,J. Fears offensive FOUL (1 PF),"[1642847, 1630559]",1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,,,,,,,203591.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,
12,PT11M26.00S,2025-11-15T01:11:17.9Z,1,REGULAR,turnover,offensive foul,[],1642847,,,1610612740,0,0,2025-11-15T01:11:17Z,120000,False,,,0,,J. Fears offensive foul TURNOVER (1 TO),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Above the Break 3,24+ Right Center,,,,,,,203591.0,,,,,1.0,,,,,,,,
13,PT11M10.00S,2025-11-15T01:11:42.3Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612747,0,0,2025-11-15T01:11:46Z,130000,False,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 1630180]",1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Bey,1630180.0,,,,,,
14,PT11M10.00S,2025-11-15T01:11:42.3Z,1,REGULAR,steal,,[],1630180,,,1610612740,0,0,2025-11-15T01:11:44Z,140000,False,,,0,,S. Bey STEAL (1 STL),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M04.00S,2025-11-15T01:11:48.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630180,93.38042049934296,55.392156862745104,1610612740,0,0,2025-11-15T01:11:54Z,150000,False,27.0,10.0,1,right,MISS S. Bey running Layup,[1630180],1610612740.0,NOP,running,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,2.87,Missed,,,,,,,,,,,,,,,,,,
16,PT11M01.00S,2025-11-15T01:11:51.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612747,0,0,2025-11-15T01:11:54Z,160000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612747.0,LAL,,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
