actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-17T00:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-17T00:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-17T00:10:49.1Z,1,REGULAR,jumpball,recovered,[],1642847,,,1610612740,0,0,2025-11-17T00:10:49Z,40000,False,,,0,,Jump Ball D. Queen vs. D. Green: Tip to J. Fears,"[1642847, 1642852, 203110]",1610612740.0,NOP,startperiod,J. Fears,1642847.0,Fears,J. Fears,Queen,1642852.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-11-17T00:11:01.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,7.046649145860711,50.98039215686274,1610612740,2,0,2025-11-17T00:11:10Z,70000,False,-5.0,14.0,1,left,H. Jones driving Layup (2 PTS),[1630529],1610612740.0,NOP,driving,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.45,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2025-11-17T00:11:22.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,92.59198423127464,52.94117647058824,1610612744,2,0,2025-11-17T00:11:31Z,80000,False,15.0,17.0,1,right,MISS D. Green driving Layup - blocked,"[203110, 1642847]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,2.25,Missed,,Fears,1642847.0,,,,,,,,,,,,,,,
9,PT11M24.00S,2025-11-17T00:11:22.7Z,1,REGULAR,block,,[],1642847,,,1610612744,2,0,2025-11-17T00:13:17Z,90000,False,,,0,,J. Fears BLOCK (1 BLK),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2025-11-17T00:11:26.7Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,2,0,2025-11-17T00:11:31Z,100000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M17.00S,2025-11-17T00:11:28.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,5.075558475689881,4.901960784313726,1610612740,2,0,2025-11-17T00:13:57Z,110000,False,225.0,-5.0,1,left,MISS T. Murphy III running 3PT,[1630530],1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,22.56,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2025-11-17T00:11:28.8Z,1,REGULAR,rebound,offensive,[],1630180,,,1610612740,2,0,2025-11-17T00:11:37Z,120000,False,,,0,,S. Bey REBOUND (Off:1 Def:0),[1630180],1610612740.0,NOP,,,,Bey,S. Bey,,,,,Right Corner 3,24+ Right,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M09.00S,2025-11-17T00:11:36.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630180,5.590000152587891,50.0,1610612740,4,0,2025-11-17T00:14:29Z,130000,False,0.0,0.0,1,left,S. Bey tip Layup (2 PTS),[1630180],1610612740.0,NOP,tip,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2025-11-17T00:11:42.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,94.30026281208936,52.94117647058824,1610612744,4,2,2025-11-17T00:18:54Z,140000,False,15.0,1.0,1,right,J. Butler III cutting Layup (2 PTS) (D. Green 1 AST),"[202710, 203110]",1610612744.0,GSW,cutting,,,Butler III,J. Butler III,,,,,Restricted Area,0-8 Center,1.47,Made,2.0,,,,,,,D. Green,203110.0,1.0,,,,,,,,
