actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-27T01:10:21.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-27T01:10:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-27T01:10:24.3Z,1,REGULAR,jumpball,recovered,[],1631246,,,1610612763,0,0,2025-11-27T01:10:24Z,40000,False,,,0,,Jump Ball Z. Edey vs. D. Queen: Tip to V. Williams Jr.,"[1631246, 1641744, 1642852]",1610612763.0,MEM,startperiod,V. Williams Jr.,1631246.0,Williams Jr.,V. Williams Jr.,Edey,1641744.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-11-27T01:10:31.4Z,1,REGULAR,2pt,Jump Shot,[],1642907,24.26084099868594,51.225490196078425,1610612763,0,0,2025-11-27T01:10:36Z,70000,False,-6.0,176.0,1,left,MISS C. Coward 17' pullup Shot,[1642907],1610612763.0,MEM,pullup,,,Coward,C. Coward,,,,,Mid-Range,16-24 Center,17.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-11-27T01:10:33.4Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,0,0,2025-11-27T01:10:36Z,80000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-11-27T01:10:48.6Z,1,REGULAR,3pt,Jump Shot,[],1630530,73.80091984231275,86.27450980392157,1610612740,0,0,2025-11-27T01:10:53Z,90000,False,181.0,194.0,1,right,MISS T. Murphy III 26' pullup 3PT,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,26.55,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2025-11-27T01:10:52.6Z,1,REGULAR,rebound,defensive,[],1642907,,,1610612763,0,0,2025-11-27T01:10:53Z,100000,False,,,0,,C. Coward REBOUND (Off:0 Def:1),[1642907],1610612763.0,MEM,,,,Coward,C. Coward,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M16.00S,2025-11-27T01:11:22.6Z,1,REGULAR,turnover,out-of-bounds,[],1641744,,,1610612763,0,0,2025-11-27T01:11:30Z,120000,False,,,0,,Z. Edey lost ball out-of-bounds TURNOVER (1 TO),[1641744],1610612763.0,MEM,lost ball,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Right Center,,,,,,,202026.0,1.0,,,,,,,,,,,,
13,PT10M55.00S,2025-11-27T01:11:53.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630180,87.07293035479631,28.676470588235293,1610612740,2,0,2025-11-27T01:11:58Z,130000,False,-107.0,69.0,1,right,S. Bey 12' fadeaway Jump Shot (2 PTS),[1630180],1610612740.0,NOP,fadeaway,,,Bey,S. Bey,,,,,Mid-Range,8-16 Left,12.7,Made,,,,,,,2.0,,,,,,,,,,,
14,PT10M44.00S,2025-11-27T01:12:04.2Z,1,REGULAR,3pt,Jump Shot,[],1628991,24.78646517739816,86.76470588235294,1610612763,2,3,2025-11-27T01:12:09Z,140000,False,-184.0,180.0,1,left,J. Jackson Jr. 25' 3PT  (3 PTS) (V. Williams Jr. 1 AST),"[1628991, 1631246]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,25.76,Made,,,,,,,3.0,V. Williams Jr.,1631246.0,1.0,,,,,,,,
16,PT10M34.00S,2025-11-27T01:12:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642847,94.03745072273325,47.30392156862745,1610612740,4,3,2025-11-27T01:12:22Z,160000,False,-13.0,4.0,1,right,J. Fears driving Layup (2 PTS),[1642847],1610612740.0,NOP,driving,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,1.39,Made,,,,,,,2.0,,,,,,,,,,,
