actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-05T01:10:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-05T01:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-05T01:11:00.6Z,1,REGULAR,jumpball,recovered,[],1628978,,,1610612750,0,0,2025-12-05T01:11:00Z,40000,False,,,0,,Jump Ball R. Gobert vs. D. Queen: Tip to D. DiVincenzo,"[1628978, 203497, 1642852]",1610612750.0,MIN,startperiod,D. DiVincenzo,1628978.0,DiVincenzo,D. DiVincenzo,Gobert,203497.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2025-12-05T01:11:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628978,93.38042049934296,52.94117647058824,1610612750,0,2,2025-12-05T01:11:11Z,70000,False,15.0,10.0,1,right,D. DiVincenzo driving Layup (2 PTS),[1628978],1610612750.0,MIN,driving,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,1.76,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M55.00S,2025-12-05T01:11:06.0Z,1,REGULAR,foul,personal,['1freethrow'],1642847,,,1610612750,0,2,2025-12-05T01:11:13Z,80000,False,,,0,,J. Fears shooting personal FOUL (1 PF) (DiVincenzo 1 FT),"[1642847, 1628978]",1610612740.0,NOP,shooting,,,Fears,J. Fears,,,,,Restricted Area,0-8 Center,,,,202056.0,1.0,0.0,DiVincenzo,1628978.0,,,,,,,,,,,,
10,PT11M55.00S,2025-12-05T01:11:23.4Z,1,REGULAR,freethrow,1 of 1,[],1628978,,,1610612750,0,3,2025-12-05T01:11:23Z,100000,False,,,0,,D. DiVincenzo Free Throw 1 of 1 (3 PTS),[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
11,PT11M35.00S,2025-12-05T01:11:44.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642847,14.011169513797633,38.970588235294116,1610612740,0,3,2025-12-05T01:11:48Z,110000,False,55.0,79.0,1,left,MISS J. Fears 9' pullup Shot,[1642847],1610612740.0,NOP,pullup,,,Fears,J. Fears,,,,,In The Paint (Non-RA),8-16 Right,9.65,Missed,,,,,,,,,,,,,,,,,,
12,PT11M33.00S,2025-12-05T01:11:46.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,3,2025-12-05T01:11:48Z,120000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M27.00S,2025-12-05T01:11:53.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,83.26215505913272,49.754901960784316,1610612750,0,3,2025-12-05T01:11:59Z,130000,False,-1.0,105.0,1,right,MISS J. Randle 10' fadeaway Shot,[203944],1610612750.0,MIN,fadeaway,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,10.48,Missed,,,,,,,,,,,,,,,,,,
14,PT11M22.00S,2025-12-05T01:11:58.1Z,1,REGULAR,rebound,defensive,[],1642847,,,1610612740,0,3,2025-12-05T01:11:59Z,140000,False,,,0,,J. Fears REBOUND (Off:0 Def:1),[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M12.00S,2025-12-05T01:12:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631121,6.258212877792378,53.67647058823529,1610612740,2,3,2025-12-05T01:12:14Z,150000,False,-18.0,6.0,1,left,B. McGowens driving reverse Layup (2 PTS),[1631121],1610612740.0,NOP,driving reverse,,,McGowens,B. McGowens,,,,,Restricted Area,0-8 Center,1.94,Made,2.0,,,,,,,,,,,,,,,,,
