actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2026-02-22T00:10:44.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-22T00:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-22T00:10:47.2Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2026-02-22T00:10:47Z,40000,False,,,0,,Jump Ball A. Drummond vs. D. Jordan: Tip to K. Oubre Jr.,"[1626162, 203083, 201599]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Drummond,203083.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-02-22T00:11:20.2Z,1,REGULAR,foul,personal,['2freethrow'],1642852,,,1610612755,0,0,2026-02-22T00:11:27Z,80000,False,,,0,,D. Queen shooting personal FOUL (1 PF) (Drummond 2 FT),"[1642852, 203083]",1610612740.0,NOP,shooting,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,1629183.0,1.0,0.0,Drummond,203083.0,,,,,,,,,,,,,,,
10,PT11M40.00S,2026-02-22T00:11:47.1Z,1,REGULAR,freethrow,1 of 2,[],203083,,,1610612755,0,0,2026-02-22T00:11:47Z,100000,False,,,0,,MISS A. Drummond Free Throw 1 of 2,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M40.00S,2026-02-22T00:11:47.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,0,0,2026-02-22T00:11:47Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M40.00S,2026-02-22T00:12:11.0Z,1,REGULAR,freethrow,2 of 2,[],203083,,,1610612755,0,1,2026-02-22T00:12:11Z,120000,False,,,0,,A. Drummond Free Throw 2 of 2 (1 PTS),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
13,PT11M30.00S,2026-02-22T00:12:24.9Z,1,REGULAR,turnover,bad pass,[],1642852,,,1610612740,0,1,2026-02-22T00:12:30Z,130000,False,,,0,,D. Queen bad pass TURNOVER (1 TO),"[1642852, 1630178]",1610612740.0,NOP,,,,Queen,D. Queen,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,
14,PT11M30.00S,2026-02-22T00:12:24.9Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,1,2026-02-22T00:12:28Z,140000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
15,PT11M26.00S,2026-02-22T00:12:29.5Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630178,24.704336399474386,86.00643382352942,1610612755,0,1,2026-02-22T00:13:27Z,150000,False,-180.0,180.0,1,left,MISS T. Maxey 25' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.43,,,,,,,,
16,PT11M25.00S,2026-02-22T00:12:30.5Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,0,1,2026-02-22T00:23:24Z,160000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,,,,,,1.0,0.0,1.0,,,,,
18,PT11M19.00S,2026-02-22T00:12:49.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630178,12.565703022339028,49.50980392156863,1610612755,0,1,2026-02-22T00:14:36Z,180000,False,2.0,66.0,1,left,MISS T. Maxey 6' driving Hook,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,,,,6.56,,,,,,,,
19,PT11M17.00S,2026-02-22T00:12:51.0Z,1,REGULAR,rebound,defensive,[],1642852,,,1610612740,0,1,2026-02-22T00:12:53Z,190000,False,,,0,,D. Queen REBOUND (Off:0 Def:1),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,18.0,,,,,,1.0,1.0,0.0,,,,,
21,PT11M00.00S,2026-02-22T00:13:24.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,83.26215505913272,58.08823529411765,1610612740,0,1,2026-02-22T00:15:44Z,210000,False,40.0,105.0,1,right,MISS S. Bey 11' turnaround Shot,[1630180],1610612740.0,NOP,turnaround,,,Bey,S. Bey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,11.23,,,,,,,,
22,PT10M56.00S,2026-02-22T00:13:28.0Z,1,REGULAR,rebound,defensive,[],1642845,,,1610612755,0,1,2026-02-22T00:13:29Z,220000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:1),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,21.0,,,,,,1.0,1.0,0.0,,,,,
23,PT10M49.00S,2026-02-22T00:13:36.0Z,1,REGULAR,foul,personal,['2freethrow'],1630180,,,1610612755,0,1,2026-02-22T00:13:42Z,230000,False,,,0,,S. Bey shooting personal FOUL (1 PF) (Barlow 2 FT),"[1630180, 1631230]",1610612740.0,NOP,shooting,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,1628487.0,1.0,0.0,Barlow,1631230.0,,,,,,,,,,,,,,,
