actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-01T03:10:23.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-01T03:10:23Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-01T03:10:26.1Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2021-12-01T03:10:26Z,40000,,,0,,Jump Ball R. Holmes vs. D. Jordan: Tip to D. Fox,"[1628368, 1626158, 201599]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Holmes,1626158.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-12-01T03:10:37.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626158,6.258212877792378,49.50980392156863,1610612758,2,0,2021-12-01T03:10:45Z,70000,2.0,6.0,1,left,R. Holmes cutting DUNK (2 PTS) (T. Haliburton 1 AST),"[1626158, 1630169]",1610612758.0,SAC,cutting,,,Holmes,R. Holmes,,,,,0.68,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2021-12-01T03:10:44.2Z,1,REGULAR,foul,personal,['1freethrow'],201961,,,1610612758,2,0,2021-12-01T03:10:52Z,90000,,,0,,W. Ellington shooting personal FOUL (1 PF) (Holmes 1 FT),"[201961, 1626158]",1610612747.0,LAL,shooting,,,Ellington,W. Ellington,,,,,,,,,,,101283.0,1.0,0.0,Holmes,1626158.0,,,,,,,,,,
11,PT11M46.00S,2021-12-01T03:11:05.0Z,1,REGULAR,freethrow,1 of 1,[],1626158,,,1610612758,2,0,2021-12-01T03:11:09Z,110000,,,0,,MISS R. Holmes Free Throw 1 of 1,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M43.00S,2021-12-01T03:11:08.0Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,2,0,2021-12-01T03:11:09Z,120000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M26.00S,2021-12-01T03:11:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,93.38042049934296,51.71568627450981,1610612747,2,2,2021-12-01T03:11:34Z,130000,9.0,10.0,1,right,T. Horton-Tucker reverse Layup (2 PTS) (A. Davis 1 AST),"[1629659, 203076]",1610612747.0,LAL,reverse,,,Horton-Tucker,T. Horton-Tucker,,,,,1.3,Made,2.0,A. Davis,203076.0,1.0,,,,,,,,,,,,,,,
15,PT11M12.00S,2021-12-01T03:11:37.3Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,2,2,2021-12-01T03:11:43Z,150000,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 201961]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,1.0,Ellington,201961.0,,,
16,PT11M12.00S,2021-12-01T03:11:37.3Z,1,REGULAR,steal,,[],201961,,,1610612747,2,2,2021-12-01T03:11:40Z,160000,,,0,,W. Ellington STEAL (1 STL),[201961],1610612747.0,LAL,,,,Ellington,W. Ellington,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT11M02.00S,2021-12-01T03:11:51.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,2,2,2021-12-01T03:11:51Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
