actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-29T03:10:37.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-29T03:10:37Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-29T03:10:41.3Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2021-12-29T03:10:41Z,40000,,,0,,Jump Ball I. Roby vs. M. Bagley III: Tip to L. Dort,"[1629652, 1629676, 1628963]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Roby,1629676.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-29T03:10:55.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,73.27529566360053,15.686274509803921,1610612760,0,0,2021-12-29T03:11:33Z,70000,-172.0,199.0,1,right,MISS L. Dort 26' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,26.25,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-12-29T03:11:00.8Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2021-12-29T03:11:03Z,80000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2021-12-29T03:11:10.0Z,1,REGULAR,2pt,Jump Shot,[],1628368,5.601182654402102,25.98039215686275,1610612758,0,0,2021-12-29T03:12:10Z,90000,120.0,0.0,1,left,MISS D. Fox 12' fadeaway Shot,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,12.01,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2021-12-29T03:11:14.0Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,0,0,2021-12-29T03:11:15Z,100000,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-12-29T03:11:23.9Z,1,REGULAR,3pt,Jump Shot,[],1628983,67.36202365308804,54.90196078431373,1610612760,0,0,2021-12-29T03:11:31Z,110000,25.0,254.0,1,right,MISS S. Gilgeous-Alexander 25' step back 3PT,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,25.55,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2021-12-29T03:11:27.9Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,0,0,2021-12-29T03:11:31Z,120000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M57.00S,2021-12-29T03:11:41.9Z,1,REGULAR,foul,personal,['2freethrow'],1628778,,,1610612758,0,0,2021-12-29T03:11:59Z,130000,,,0,,P. Watson shooting personal FOUL (1 PF) (Bagley III 2 FT),"[1628778, 1628963]",1610612760.0,OKC,shooting,,,Watson,P. Watson,,,,,,,,,,,1628159.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,,,
15,PT10M57.00S,2021-12-29T03:12:07.7Z,1,REGULAR,freethrow,1 of 2,[],1628963,,,1610612758,1,0,2021-12-29T03:12:07Z,150000,,,0,,M. Bagley III Free Throw 1 of 2 (1 PTS),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
