actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-04-04T01:11:00.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-04T01:11:00Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-04-04T01:11:04.1Z,1,REGULAR,jumpball,recovered,[],1626168,,,1610612758,0,0,2022-04-04T01:11:04Z,40000,,,0,,Jump Ball D. Jones vs. K. Looney: Tip to T. Lyles,"[1626168, 1627745, 1626172]",1610612758.0,SAC,startperiod,T. Lyles,1626168.0,Lyles,T. Lyles,Jones,1627745.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-04-04T01:11:17.2Z,1,REGULAR,foul,personal,[],1627780,,,1610612758,0,0,2022-04-04T01:11:28Z,70000,,,0,,G. Payton II personal FOUL (1 PF),"[1627780, 203200]",1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,2002.0,1.0,0.0,Holiday,203200.0,,,,,,,,,,,,,,,,
9,PT11M33.00S,2022-04-04T01:11:49.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,0,0,2022-04-04T01:11:49Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-04-04T01:12:02.5Z,1,REGULAR,3pt,Jump Shot,[],1627745,31.488173455978973,48.529411764705884,1610612758,0,0,2022-04-04T01:12:32Z,100000,7.0,243.0,1,left,MISS D. Jones 24' 3PT,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,24.36,Missed,,,,,,,,,,,,,,
11,PT11M32.00S,2022-04-04T01:12:02.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,0,2022-04-04T01:12:32Z,110000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
12,PT11M32.00S,2022-04-04T01:12:10.3Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612758,0,0,2022-04-04T01:12:19Z,120000,,,0,,SAC shot clock Team TURNOVER,[],1610612758.0,SAC,,,,,,,,,,2003.0,,,,,,,,,,,,,,,,,,,,
13,PT11M19.00S,2022-04-04T01:12:23.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203952,92.85479632063075,12.745098039215685,1610612744,0,0,2022-04-04T01:12:35Z,130000,-186.0,15.0,1,right,MISS A. Wiggins 18' Jump Shot,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,18.69,Missed,,,,,,,,,,,,,,
14,PT11M17.00S,2022-04-04T01:12:25.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,0,0,2022-04-04T01:12:35Z,140000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,
15,PT11M17.00S,2022-04-04T01:12:31.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,0,0,2022-04-04T01:12:31Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
