actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-13T03:10:20.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-13T03:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-13T03:10:24.8Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2022-01-13T03:10:24Z,40000,,,0,,Jump Ball L. James vs. C. Metu: Tip to R. Westbrook,"[201566, 2544, 1629002]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,James,2544.0,Metu,1629002.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2022-01-13T03:10:45.8Z,1,REGULAR,2pt,Jump Shot,[],2544,78.9257555847569,31.61764705882353,1610612747,0,0,2022-01-13T03:11:02Z,70000,-92.0,146.0,1,right,MISS L. James 17' turnaround fadeaway Shot,[2544],1610612747.0,LAL,turnaround fadeaway,,,James,L. James,,,,,17.22,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2022-01-13T03:10:50.8Z,1,REGULAR,rebound,offensive,[],2772,,,1610612747,0,0,2022-01-13T03:11:02Z,80000,,,0,,T. Ariza REBOUND (Off:1 Def:0),[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2022-01-13T03:11:02.0Z,1,REGULAR,foul,personal,['2freethrow'],1628963,,,1610612747,0,0,2022-01-13T03:11:52Z,90000,,,0,,M. Bagley III shooting personal FOUL (1 PF) (James 2 FT),"[1628963, 2544]",1610612758.0,SAC,shooting,,,Bagley III,M. Bagley III,,,,,,,,,,,1204.0,1.0,0.0,James,2544.0,,,,,,,,,,
11,PT11M22.00S,2022-01-13T03:11:32.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],2544,,,1610612747,0,1,2022-01-13T03:11:48Z,110000,,,0,,L. James Free Throw 1 of 2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
12,PT11M22.00S,2022-01-13T03:11:32.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],2544,,,1610612747,0,2,2022-01-13T03:11:48Z,120000,,,0,,L. James Free Throw 2 of 2 (2 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,Made,,,,,,,,,,2.0,,,,,,,,,
13,PT11M05.00S,2022-01-13T03:11:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.732588699080158,50.73529411764706,1610612758,2,2,2022-01-13T03:12:01Z,130000,-4.0,1.0,1,left,D. Fox cutting Layup (2 PTS) (C. Metu 1 AST),"[1628368, 1629002]",1610612758.0,SAC,cutting,,,Fox,D. Fox,,,,,0.4,Made,,,,,,,,,,2.0,C. Metu,1629002.0,1.0,,,,,,
15,PT10M56.00S,2022-01-13T03:12:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.46057818659659,43.13725490196079,1610612747,2,2,2022-01-13T03:12:18Z,150000,-34.0,18.0,1,right,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,3.89,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M53.00S,2022-01-13T03:12:07.6Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,2,2,2022-01-13T03:12:18Z,160000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M35.00S,2022-01-13T03:12:31.7Z,1,REGULAR,foul,personal,[],2772,,,1610612758,2,2,2022-01-13T03:12:41Z,170000,,,0,,T. Ariza personal FOUL (1 PF),"[2772, 1628963]",1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,2882.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,,,
19,PT10M30.00S,2022-01-13T03:12:54.4Z,1,REGULAR,foul,personal,['2freethrow'],2772,,,1610612758,2,2,2022-01-13T03:13:10Z,190000,,,0,,T. Ariza shooting personal FOUL (2 PF) (Metu 2 FT),"[2772, 1629002]",1610612747.0,LAL,shooting,,,Ariza,T. Ariza,,,,,,,,,,,1204.0,2.0,0.0,Metu,1629002.0,,,,,,,,,,
21,PT10M30.00S,2022-01-13T03:13:18.1Z,1,REGULAR,freethrow,1 of 2,[],1629002,,,1610612758,3,2,2022-01-13T03:13:18Z,210000,,,0,,C. Metu Free Throw 1 of 2 (1 PTS),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,Made,,,,,,,,,,1.0,,,,,,,,,
22,PT10M30.00S,2022-01-13T03:13:19.5Z,1,REGULAR,substitution,out,[],2772,,,1610612758,3,2,2022-01-13T03:13:24Z,220000,,,0,,SUB out: T. Ariza,[2772],1610612747.0,LAL,,,,Ariza,T. Ariza,,,,,,,,,,,,,,,,,,,,,,,,,
