actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-26T23:10:42.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-26T23:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-26T23:10:46.9Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2021-12-26T23:10:46Z,40000,,,0,,Jump Ball S. Adams vs. R. Holmes: Tip to J. Morant,"[1629630, 203500, 1626158]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-12-26T23:11:03.3Z,1,REGULAR,3pt,Jump Shot,[],1629630,31.61957950065703,53.67647058823529,1610612763,0,0,2021-12-26T23:11:07Z,70000,-18.0,245.0,1,left,MISS J. Morant 24' 3PT,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,24.54,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-12-26T23:11:06.3Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,0,0,2021-12-26T23:11:07Z,80000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-12-26T23:11:15.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629002,89.83245729303549,59.068627450980394,1610612758,0,0,2021-12-26T23:11:20Z,90000,45.0,43.0,1,right,MISS C. Metu 6' bank Shot,[1629002],1610612758.0,SAC,bank,,,Metu,C. Metu,,,,,6.25,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-12-26T23:11:18.1Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2021-12-26T23:11:20Z,100000,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-12-26T23:11:21.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629723,5.075558475689881,96.81372549019608,1610612763,0,0,2021-12-26T23:11:31Z,110000,-234.0,-5.0,1,left,MISS J. Konchar running 3PT,[1629723],1610612763.0,MEM,running,,,Konchar,J. Konchar,,,,,23.41,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2021-12-26T23:11:26.9Z,1,REGULAR,rebound,offensive,[],1629723,,,1610612763,0,0,2021-12-26T23:11:31Z,120000,,,0,,J. Konchar REBOUND (Off:1 Def:0),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2021-12-26T23:11:29.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630217,24.26084099868594,84.55882352941177,1610612763,0,0,2021-12-26T23:11:34Z,130000,-173.0,176.0,1,left,MISS D. Bane 24' 3PT,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,24.64,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2021-12-26T23:11:33.4Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,0,0,2021-12-26T23:11:34Z,140000,,,0,,T. Haliburton REBOUND (Off:0 Def:2),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
