actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-20T03:10:15.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-20T03:10:15Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-20T03:10:19.3Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2022-01-20T03:10:19Z,40000,,,0,,Jump Ball R. Holmes vs. I. Stewart: Tip to D. Fox,"[1628368, 1626158, 1630191]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Holmes,1626158.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-01-20T03:10:33.0Z,1,REGULAR,3pt,Jump Shot,[],1629056,24.392247043363994,12.254901960784313,1610612758,0,0,2022-01-20T03:10:39Z,70000,189.0,177.0,1,left,MISS T. Davis 25' 3PT,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,25.86,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-01-20T03:10:36.0Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,0,2022-01-20T03:10:39Z,80000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M25.00S,2022-01-20T03:10:55.0Z,1,REGULAR,turnover,3-second-violation,[],1630191,,,1610612765,0,0,2022-01-20T03:11:01Z,90000,,,0,,I. Stewart 3-second-violation TURNOVER (1 TO),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,1193.0,1.0,,,,,,,,,,,,,
10,PT11M04.00S,2022-01-20T03:11:25.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,26.363337713534822,82.1078431372549,1610612758,0,0,2022-01-20T03:11:30Z,100000,-161.0,195.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,25.28,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M02.00S,2022-01-20T03:11:27.4Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,0,0,2022-01-20T03:11:30Z,110000,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
12,PT11M02.00S,2022-01-20T03:11:34.2Z,1,REGULAR,foul,personal,['2freethrow'],1630180,,,1610612758,0,0,2022-01-20T03:11:47Z,120000,,,0,,S. Bey shooting personal FOUL (1 PF) (Holmes 2 FT),"[1630180, 1626158]",1610612765.0,DET,shooting,,,Bey,S. Bey,,,,,,,,,,,1198.0,,1.0,0.0,Holmes,1626158.0,,,,,,,,,
14,PT11M02.00S,2022-01-20T03:11:52.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1626158,,,1610612758,1,0,2022-01-20T03:11:53Z,140000,,,0,,R. Holmes Free Throw 1 of 2 (1 PTS),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
15,PT11M02.00S,2022-01-20T03:11:52.9Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1626158,,,1610612758,1,0,2022-01-20T03:12:14Z,150000,,,0,,MISS R. Holmes Free Throw 2 of 2,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,Missed,,,,,,,,,,,,,,,,,,,
