actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-02-09T03:10:31.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-09T03:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2022-02-09T03:10:37.8Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-02-09T03:10:37Z,40000,,,0,,Jump Ball K. Towns vs. D. Jones: Tip to D. Russell,"[1626156, 1626157, 1627745]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-02-09T03:10:43.3Z,1,REGULAR,3pt,Jump Shot,[],201976,68.15045992115637,64.70588235294117,1610612750,0,0,2022-02-09T03:10:48Z,70000,74.0,247.0,1,right,MISS P. Beverley 25' 3PT,[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,25.76,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-09T03:10:47.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2022-02-09T03:10:48Z,80000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2022-02-09T03:11:05.3Z,1,REGULAR,2pt,Jump Shot,[],1627745,21.632720105124836,69.11764705882352,1610612758,2,0,2022-02-09T03:11:11Z,90000,-96.0,151.0,1,left,D. Jones 17' Jump Shot (2 PTS) (D. Fox 1 AST),"[1627745, 1628368]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,17.85,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,
11,PT11M12.00S,2022-02-09T03:11:21.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,2,0,2022-02-09T03:11:21Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-02-09T03:11:40.7Z,1,REGULAR,3pt,Jump Shot,[],1626156,90.09526938239159,3.6764705882352944,1610612750,2,3,2022-02-09T03:11:45Z,120000,-232.0,41.0,1,right,D. Russell 3PT  (3 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,23.51,Made,,,,,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,
14,PT10M54.00S,2022-02-09T03:11:54.3Z,1,REGULAR,3pt,Jump Shot,[],1630558,31.750985545335087,59.31372549019608,1610612758,5,3,2022-02-09T03:12:00Z,140000,-47.0,246.0,1,left,D. Mitchell 25' 3PT  (3 PTS) (D. Jones 1 AST),"[1630558, 1627745]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,25.04,Made,,,,,3.0,D. Jones,1627745.0,1.0,,,,,,,,,,
16,PT10M39.00S,2022-02-09T03:12:13.5Z,1,REGULAR,turnover,out-of-bounds,[],1629020,,,1610612750,5,3,2022-02-09T03:12:19Z,160000,,,0,,J. Vanderbilt lost ball out-of-bounds TURNOVER (1 TO),[1629020],1610612750.0,MIN,lost ball,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,201638.0,1.0,,,,,,,,
17,PT10M31.00S,2022-02-09T03:12:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627745,9.149145860709593,48.28431372549019,1610612758,5,3,2022-02-09T03:12:27Z,170000,9.0,34.0,1,left,MISS D. Jones driving Layup,[1627745],1610612758.0,SAC,driving,,,Jones,D. Jones,,,,,3.46,Missed,,,,,,,,,,,,,,,,,,
18,PT10M28.00S,2022-02-09T03:12:25.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,5,3,2022-02-09T03:12:27Z,180000,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M25.00S,2022-02-09T03:12:28.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,75.1149802890933,86.76470588235294,1610612750,5,6,2022-02-09T03:12:34Z,190000,184.0,181.0,1,right,P. Beverley 25' 3PT running (3 PTS) (A. Edwards 1 AST),"[201976, 1630162]",1610612750.0,MIN,running,,,Beverley,P. Beverley,,,,,25.82,Made,,,,,3.0,A. Edwards,1630162.0,1.0,,,,,,,,,,
21,PT10M12.00S,2022-02-09T03:12:41.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627745,6.389618922470433,48.529411764705884,1610612758,7,6,2022-02-09T03:12:46Z,210000,7.0,8.0,1,left,D. Jones cutting DUNK (4 PTS) (D. Mitchell 1 AST),"[1627745, 1630558]",1610612758.0,SAC,cutting,,,Jones,D. Jones,,,,,1.06,Made,,,,,4.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,
23,PT09M59.00S,2022-02-09T03:12:53.6Z,1,REGULAR,2pt,Jump Shot,[],1630162,82.21090670170827,32.59803921568628,1610612750,7,6,2022-02-09T03:12:59Z,230000,-87.0,115.0,1,right,MISS A. Edwards 14' fadeaway Shot,[1630162],1610612750.0,MIN,fadeaway,,,Edwards,A. Edwards,,,,,14.4,Missed,,,,,,,,,,,,,,,,,,
24,PT09M57.00S,2022-02-09T03:12:55.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,7,6,2022-02-09T03:12:59Z,240000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M54.00S,2022-02-09T03:12:59.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203090,6.389618922470433,48.28431372549019,1610612758,9,6,2022-02-09T03:13:04Z,250000,9.0,8.0,1,left,M. Harkless running Layup (2 PTS) (H. Barnes 1 AST),"[203090, 203084]",1610612758.0,SAC,running,,,Harkless,M. Harkless,,,,,1.15,Made,,,,,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,
27,PT09M36.00S,2022-02-09T03:13:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,89.96386333771353,64.4607843137255,1610612750,9,6,2022-02-09T03:13:22Z,270000,72.0,42.0,1,right,MISS A. Edwards 8' bank Shot,[1630162],1610612750.0,MIN,bank,,,Edwards,A. Edwards,,,,,8.35,Missed,,,,,,,,,,,,,,,,,,
28,PT09M35.00S,2022-02-09T03:13:17.9Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,9,6,2022-02-09T03:13:22Z,280000,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,,
29,PT09M35.00S,2022-02-09T03:13:21.9Z,1,REGULAR,foul,personal,['2freethrow'],203090,,,1610612750,9,6,2022-02-09T03:13:37Z,290000,,,0,,M. Harkless shooting personal FOUL (1 PF) (Towns 2 FT),"[203090, 1626157]",1610612758.0,SAC,shooting,,,Harkless,M. Harkless,,,,,,,,,,,,,,,201638.0,,1.0,0.0,Towns,1626157.0,,,,
31,PT09M35.00S,2022-02-09T03:13:52.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626157,,,1610612750,9,7,2022-02-09T03:13:52Z,310000,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
32,PT09M35.00S,2022-02-09T03:14:12.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626157,,,1610612750,9,8,2022-02-09T03:14:12Z,320000,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
33,PT09M25.00S,2022-02-09T03:14:22.8Z,1,REGULAR,3pt,Jump Shot,[],203090,13.091327201051248,96.07843137254902,1610612758,9,8,2022-02-09T03:14:28Z,330000,-230.0,71.0,1,left,MISS M. Harkless 24' 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,24.1,Missed,,,,,,,,,,,,,,,,,,
