actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-06T03:10:18.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-06T03:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-01-06T03:10:24.0Z,1,REGULAR,jumpball,recovered,[],1626153,,,1610612737,0,0,2022-01-06T03:10:24Z,40000,,,0,,Jump Ball C. Capela vs. D. Jones: Tip to D. Wright,"[1626153, 203991, 1627745]",1610612737.0,ATL,startperiod,D. Wright,1626153.0,Wright,D. Wright,Capela,203991.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-01-06T03:10:38.5Z,1,REGULAR,3pt,Jump Shot,[],201568,79.58278580814718,7.352941176470589,1610612737,0,0,2022-01-06T03:10:46Z,70000,-213.0,139.0,1,right,MISS D. Gallinari 25' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-01-06T03:10:44.5Z,1,REGULAR,rebound,offensive,[],1627789,,,1610612737,0,0,2022-01-06T03:10:46Z,80000,,,0,,T. Luwawu-Cabarrot REBOUND (Off:1 Def:0),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2022-01-06T03:10:44.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627789,82.07950065703022,59.80392156862745,1610612737,0,0,2022-01-06T03:10:54Z,90000,49.0,116.0,1,right,MISS T. Luwawu-Cabarrot 12' Jump Shot,[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,12.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-01-06T03:10:46.1Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2022-01-06T03:10:54Z,100000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M24.00S,2022-01-06T03:10:53.8Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,0,0,2022-01-06T03:10:57Z,110000,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 203991]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,1.0,Capela,203991.0,,,,,,,,,,,
12,PT11M24.00S,2022-01-06T03:10:53.8Z,1,REGULAR,steal,,[],203991,,,1610612737,0,0,2022-01-06T03:13:39Z,120000,,,0,,C. Capela STEAL (1 STL),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2022-01-06T03:10:59.3Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612737,0,0,2022-01-06T03:11:13Z,130000,,,0,,D. Fox shooting personal FOUL (1 PF) (Luwawu-Cabarrot 2 FT),"[1628368, 1627789]",1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,,,,,,,,,,202027.0,1.0,0.0,Luwawu-Cabarrot,1627789.0,,,,,,
15,PT11M20.00S,2022-01-06T03:11:22.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1627789,,,1610612737,0,1,2022-01-06T03:11:22Z,150000,,,0,,T. Luwawu-Cabarrot Free Throw 1 of 2 (1 PTS),[1627789],1610612737.0,ATL,,,,Luwawu-Cabarrot,T. Luwawu-Cabarrot,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
