actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-05T03:10:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-05T03:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-05T03:10:43.3Z,1,REGULAR,jumpball,recovered,[],202694,,,1610612746,0,0,2021-12-05T03:10:43Z,40000,,,0,,Jump Ball I. Zubac vs. R. Holmes: Tip to M. Morris Sr.,"[202694, 1627826, 1626158]",1610612746.0,LAC,startperiod,M. Morris Sr.,202694.0,Morris Sr.,M. Morris Sr.,Zubac,1627826.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-05T03:10:58.8Z,1,REGULAR,2pt,Jump Shot,[],202694,8.754927726675426,73.52941176470588,1610612746,0,0,2021-12-05T03:11:36Z,70000,-118.0,30.0,1,left,MISS M. Morris Sr. 12' turnaround fadeaway Shot,[202694],1610612746.0,LAC,turnaround fadeaway,,,Morris Sr.,M. Morris Sr.,,,,,12.13,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2021-12-05T03:11:00.8Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2021-12-05T03:11:08Z,80000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-12-05T03:11:04.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629056,76.95466491458606,88.48039215686273,1610612758,0,0,2021-12-05T03:12:09Z,90000,192.0,164.0,1,right,MISS T. Davis 25' pullup 3PT,[1629056],1610612758.0,SAC,pullup,,,Davis,T. Davis,,,,,25.29,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2021-12-05T03:11:08.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,0,0,2021-12-05T03:11:19Z,100000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2021-12-05T03:11:17.6Z,1,REGULAR,3pt,Jump Shot,[],202331,6.389618922470433,95.58823529411765,1610612746,0,3,2021-12-05T03:11:28Z,110000,-228.0,8.0,1,left,P. George 3PT  (3 PTS) (M. Morris Sr. 1 AST),"[202331, 202694]",1610612746.0,LAC,,,,George,P. George,,,,,22.8,Made,,,,,3.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,
13,PT11M07.00S,2021-12-05T03:11:31.7Z,1,REGULAR,2pt,Jump Shot,[],1630169,77.4802890932983,50.0,1610612758,2,3,2021-12-05T03:11:45Z,130000,0.0,159.0,1,right,T. Haliburton 15' floating Jump Shot (2 PTS) (R. Holmes 1 AST),"[1630169, 1626158]",1610612758.0,SAC,floating,,,Haliburton,T. Haliburton,,,,,15.92,Made,,,,,2.0,R. Holmes,1626158.0,1.0,,,,,,,,,,,
14,PT10M48.00S,2021-12-05T03:11:51.3Z,1,REGULAR,3pt,Jump Shot,[],202331,29.6484888304862,68.38235294117648,1610612746,2,6,2021-12-05T03:11:59Z,140000,-92.0,226.0,1,left,P. George 24' 3PT pullup (6 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,24.42,Made,,,,,6.0,,,,,,,,,,,,,,
15,PT10M31.00S,2021-12-05T03:12:08.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629002,92.59198423127464,49.754901960784316,1610612758,2,6,2021-12-05T03:12:17Z,150000,-1.0,17.0,1,right,MISS C. Metu alley-oop DUNK,[1629002],1610612758.0,SAC,alley-oop,,,Metu,C. Metu,,,,,1.71,Missed,,,,,,,,,,,,,,,,,,,
