actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-04-06T02:10:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-06T02:10:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-04-06T02:10:52.6Z,1,REGULAR,jumpball,recovered,[],1626168,,,1610612758,0,0,2022-04-06T02:10:52Z,40000,,,0,,Jump Ball D. Jones vs. W. Hernangomez: Tip to T. Lyles,"[1626168, 1627745, 1626195]",1610612758.0,SAC,startperiod,T. Lyles,1626168.0,Lyles,T. Lyles,Jones,1627745.0,Hernangomez,1626195.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-04-06T02:11:05.8Z,1,REGULAR,2pt,Jump Shot,[],1627745,76.69185282522996,30.637254901960787,1610612758,0,0,2022-04-06T02:11:11Z,70000,-97.0,167.0,1,right,MISS D. Jones 19' Jump Shot,[1627745],1610612758.0,SAC,,,,Jones,D. Jones,,,,,19.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-04-06T02:11:10.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,0,0,2022-04-06T02:11:11Z,80000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-04-06T02:11:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629637,6.783837056504599,50.98039215686274,1610612740,0,2,2022-04-06T02:12:33Z,90000,-5.0,11.0,1,left,J. Hayes cutting Layup (2 PTS) (H. Jones 1 AST),"[1629637, 1630529]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,1.23,Made,,,,,2.0,H. Jones,1630529.0,1.0,,,,,,,,,,
11,PT11M12.00S,2022-04-06T02:11:36.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,93.11760840998686,45.588235294117645,1610612758,2,2,2022-04-06T02:11:44Z,110000,-22.0,12.0,1,right,H. Barnes cutting Layup (2 PTS) (D. Mitchell 1 AST),"[203084, 1630558]",1610612758.0,SAC,cutting,,,Barnes,H. Barnes,,,,,2.52,Made,,,,,2.0,D. Mitchell,1630558.0,1.0,,,,,,,,,,
13,PT10M52.00S,2022-04-06T02:11:58.2Z,1,REGULAR,foul,personal,[],1627745,,,1610612740,2,2,2022-04-06T02:12:09Z,130000,,,0,,D. Jones personal FOUL (1 PF),"[1627745, 203468]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,,,,,200834.0,1.0,0.0,McCollum,203468.0,,,,,
15,PT10M42.00S,2022-04-06T02:12:24.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,10.200394218134035,55.88235294117647,1610612740,2,4,2022-04-06T02:12:40Z,150000,-29.0,43.0,1,left,J. Hayes cutting DUNK (4 PTS) (W. Hernangomez 1 AST),"[1629637, 1626195]",1610612740.0,NOP,cutting,,,Hayes,J. Hayes,,,,,5.24,Made,,,,,4.0,W. Hernangomez,1626195.0,1.0,,,,,,,,,,
17,PT10M30.00S,2022-04-06T02:12:38.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,89.43823915900131,47.549019607843135,1610612758,4,4,2022-04-06T02:16:50Z,170000,-12.0,47.0,1,right,H. Barnes driving floating Jump Shot (4 PTS) (D. Jones 1 AST),"[203084, 1627745]",1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,4.84,Made,,,,,4.0,D. Jones,1627745.0,1.0,,,,,,,,,,
18,PT10M14.00S,2022-04-06T02:12:54.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629637,6.258212877792378,49.26470588235294,1610612740,4,6,2022-04-06T02:17:45Z,180000,4.0,6.0,1,left,J. Hayes driving DUNK (6 PTS) (C. McCollum 1 AST),"[1629637, 203468]",1610612740.0,NOP,driving,,,Hayes,J. Hayes,,,,,0.73,Made,,,,,6.0,C. McCollum,203468.0,1.0,,,,,,,,,,
