actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-12-18T03:10:10.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T03:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-12-18T03:10:14.0Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2021-12-18T03:10:14Z,40000,,,0,,Jump Ball J. Jackson Jr. vs. T. Thompson: Tip to D. Bane,"[1630217, 1628991, 202684]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Jackson Jr.,1628991.0,Thompson,202684.0,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2021-12-18T03:10:32.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,17.296320630749015,78.92156862745098,1610612763,0,0,2021-12-18T03:11:16Z,70000,-145.0,110.0,1,left,MISS D. Brooks 18' step back Shot,[1628415],1610612763.0,MEM,step back,,,Brooks,D. Brooks,,,,,18.17,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-12-18T03:10:35.8Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,0,0,2021-12-18T03:10:47Z,80000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2021-12-18T03:10:44.9Z,1,REGULAR,3pt,Jump Shot,[],1629002,74.45795006570303,82.35294117647058,1610612758,0,0,2021-12-18T03:10:50Z,90000,162.0,188.0,1,right,MISS C. Metu 24' 3PT,[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,24.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-12-18T03:10:44.9Z,1,REGULAR,rebound,offensive,[],202684,,,1610612758,0,0,2021-12-18T03:10:50Z,100000,,,0,,T. Thompson REBOUND (Off:1 Def:0),[202684],1610612758.0,SAC,,,,Thompson,T. Thompson,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M20.00S,2021-12-18T03:10:48.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202684,94.40999984741211,50.0,1610612758,0,0,2021-12-18T03:19:17Z,110000,0.0,0.0,1,right,MISS T. Thompson tip Layup,[202684],1610612758.0,SAC,tip,,,Thompson,T. Thompson,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
12,PT11M20.00S,2021-12-18T03:10:48.7Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,0,2021-12-18T03:19:17Z,120000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M17.00S,2021-12-18T03:10:53.0Z,1,REGULAR,3pt,Jump Shot,[],1630217,31.35676741130092,62.254901960784316,1610612763,0,3,2021-12-18T03:11:37Z,130000,-61.0,242.0,1,left,D. Bane 24' 3PT running (3 PTS),[1630217],1610612763.0,MEM,running,,,Bane,D. Bane,,,,,24.99,Made,,,,,3.0,,,,,,,,,,,,,
14,PT11M17.00S,2021-12-18T03:11:04.0Z,1,REGULAR,foul,personal,['1freethrow'],202684,,,1610612763,0,3,2021-12-18T03:11:21Z,140000,,,0,,T. Thompson loose ball personal FOUL (1 PF) (Adams 1 FT),"[202684, 203500]",1610612758.0,SAC,loose ball,,,Thompson,T. Thompson,,,,,,,,,,,,1363.0,1.0,0.0,Adams,203500.0,,,,,,,,
