actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-09T03:10:32.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-09T03:10:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2021-11-09T03:10:37.1Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612756,0,0,2021-11-09T03:10:37Z,40000,,,0,,Jump Ball J. McGee vs. R. Holmes: Tip to J. Crowder,"[203109, 201580, 1626158]",1610612756.0,PHX,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,McGee,201580.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-09T03:10:48.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,23.73521681997372,49.26470588235294,1610612756,0,2,2021-11-09T03:10:57Z,70000,4.0,171.0,1,left,D. Booker 17' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,17.06,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2021-11-09T03:11:07.6Z,1,REGULAR,2pt,Jump Shot,[],1628368,80.3712220762155,24.754901960784316,1610612758,0,2,2021-11-09T03:11:15Z,80000,-126.0,132.0,1,right,MISS D. Fox 18' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,18.26,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2021-11-09T03:11:11.6Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,2,2021-11-09T03:11:15Z,90000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT10M57.00S,2021-11-09T03:11:33.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,28.991458607095925,21.813725490196077,1610612756,0,2,2021-11-09T03:11:48Z,100000,141.0,220.0,1,left,MISS D. Booker 26' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,,
11,PT10M56.00S,2021-11-09T03:11:40.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,0,2,2021-11-09T03:11:40Z,110000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2021-11-09T03:11:45.0Z,1,REGULAR,foul,personal,[],1626164,,,1610612758,0,2,2021-11-09T03:11:59Z,120000,,,0,,D. Booker loose ball personal FOUL (1 PF),"[1626164, 1626158]",1610612756.0,PHX,loose ball,,,Booker,D. Booker,,,,,,,,,,,,1628172.0,1.0,0.0,Holmes,1626158.0,,,,,,,,,
14,PT10M46.00S,2021-11-09T03:12:06.2Z,1,REGULAR,turnover,palming,[],1628368,,,1610612758,0,2,2021-11-09T03:12:16Z,140000,,,0,,D. Fox palming TURNOVER (1 TO),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,201639.0,,,,,1.0,,,,,,,,
15,PT10M36.00S,2021-11-09T03:12:25.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,23.99802890932983,87.25490196078431,1610612756,0,5,2021-11-09T03:12:31Z,150000,-186.0,173.0,1,left,D. Booker 25' 3PT  (5 PTS) (J. Crowder 1 AST),"[1626164, 203109]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,25.43,Made,5.0,,,,,,,,,,,J. Crowder,203109.0,1.0,,,,,
