actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-12-31T23:10:08.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-31T23:10:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-31T23:10:11.8Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612758,0,0,2021-12-31T23:10:11Z,40000,,,0,,Jump Ball R. Holmes vs. K. Porzingis: Tip to T. Haliburton,"[1630169, 1626158, 204001]",1610612758.0,SAC,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Holmes,1626158.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-31T23:10:23.2Z,1,REGULAR,foul,personal,['2freethrow'],203493,,,1610612758,0,0,2021-12-31T23:10:35Z,70000,,,0,,R. Bullock shooting personal FOUL (1 PF) (Fox 2 FT),"[203493, 1628368]",1610612742.0,DAL,shooting,,,Bullock,R. Bullock,,,,,202007.0,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-12-31T23:10:50.0Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,1,0,2021-12-31T23:10:50Z,90000,,,0,,D. Fox Free Throw 1 of 2 (1 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2021-12-31T23:11:03.4Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,2,0,2021-12-31T23:11:03Z,100000,,,0,,D. Fox Free Throw 2 of 2 (2 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M29.00S,2021-12-31T23:11:19.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],204001,93.11760840998686,50.0,1610612742,2,2,2021-12-31T23:11:32Z,110000,0.0,12.0,1,right,K. Porzingis cutting DUNK (2 PTS) (D. Powell 1 AST),"[204001, 203939]",1610612742.0,DAL,cutting,,,Porzingis,K. Porzingis,,,,,,,,,,Made,2.0,1.22,D. Powell,203939.0,1.0,,,,,,,,,
13,PT11M14.00S,2021-12-31T23:11:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,17.559132720105126,38.23529411764706,1610612758,4,2,2021-12-31T23:11:39Z,130000,59.0,113.0,1,left,R. Holmes 12' Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1626158, 1630169]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,Made,2.0,12.7,T. Haliburton,1630169.0,1.0,,,,,,,,,
15,PT11M02.00S,2021-12-31T23:11:45.2Z,1,REGULAR,3pt,Jump Shot,[],204001,65.91655716162943,67.40196078431373,1610612742,4,5,2021-12-31T23:11:50Z,150000,87.0,268.0,1,right,K. Porzingis 28' 3PT  (5 PTS) (R. Bullock 1 AST),"[204001, 203493]",1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,Made,5.0,28.17,R. Bullock,203493.0,1.0,,,,,,,,,
17,PT10M51.00S,2021-12-31T23:11:56.7Z,1,REGULAR,3pt,Jump Shot,[],203084,8.754927726675426,2.450980392156863,1610612758,7,5,2021-12-31T23:12:01Z,170000,238.0,30.0,1,left,H. Barnes 3PT  (3 PTS) (T. Haliburton 2 AST),"[203084, 1630169]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,Made,3.0,23.96,T. Haliburton,1630169.0,2.0,,,,,,,,,
19,PT10M29.00S,2021-12-31T23:12:18.4Z,1,REGULAR,3pt,Jump Shot,[],1627827,70.64717477003943,20.833333333333336,1610612742,7,5,2021-12-31T23:12:24Z,190000,-146.0,223.0,1,right,MISS D. Finney-Smith 26' 3PT,[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,Missed,,26.68,,,,,,,,,,,,
20,PT10M26.00S,2021-12-31T23:12:21.4Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,7,5,2021-12-31T23:12:24Z,200000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
21,PT10M20.00S,2021-12-31T23:12:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,8.360709592641262,64.95098039215686,1610612758,7,5,2021-12-31T23:13:14Z,210000,-75.0,26.0,1,left,MISS H. Barnes 7' driving floating bank Shot,[203084],1610612758.0,SAC,driving floating bank,,,Barnes,H. Barnes,,,,,,,,,,Missed,,7.92,,,,,,,,,,,,
22,PT10M17.00S,2021-12-31T23:12:31.5Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,7,5,2021-12-31T23:12:32Z,220000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,21.0,2.0,1.0,1.0,,,,,
23,PT10M17.00S,2021-12-31T23:12:31.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626158,5.590000152587891,50.0,1610612758,7,5,2021-12-31T23:12:31Z,230000,0.0,0.0,1,left,MISS R. Holmes tip Layup,[1626158],1610612758.0,SAC,tip,,,Holmes,R. Holmes,,,,,,,,,,Missed,,0.0,,,,,,,,,,,,
24,PT10M16.00S,2021-12-31T23:12:32.1Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,7,5,2021-12-31T23:12:32Z,240000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
25,PT10M13.00S,2021-12-31T23:12:35.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203493,93.51182654402102,3.1862745098039214,1610612742,7,8,2021-12-31T23:12:41Z,250000,-234.0,8.0,1,right,R. Bullock 3PT  (3 PTS) (D. Finney-Smith 1 AST),"[203493, 1627827]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,,,,,,Made,3.0,23.43,D. Finney-Smith,1627827.0,1.0,,,,,,,,,
27,PT10M01.00S,2021-12-31T23:12:46.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,26.888961892247043,13.23529411764706,1610612758,10,8,2021-12-31T23:12:52Z,270000,184.0,200.0,1,left,T. Haliburton 27' 3PT bank (3 PTS) (H. Barnes 1 AST),"[1630169, 203084]",1610612758.0,SAC,bank,,,Haliburton,T. Haliburton,,,,,,,,,,Made,3.0,27.19,H. Barnes,203084.0,1.0,,,,,,,,,
29,PT09M48.00S,2021-12-31T23:12:59.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,77.7431011826544,34.31372549019608,1610612742,10,8,2021-12-31T23:13:05Z,290000,-78.0,157.0,1,right,MISS J. Brunson 17' pullup Shot,[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,,,,,,Missed,,17.52,,,,,,,,,,,,
