actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-30T03:40:20.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-30T03:40:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-30T03:40:24.8Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2021-12-30T03:40:24Z,40000,,,0,,Jump Ball R. Holmes vs. K. Porzingis: Tip to D. Fox,"[1628368, 1626158, 204001]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Holmes,1626158.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-30T03:40:39.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,10.463206307490145,50.98039215686274,1610612758,0,0,2021-12-30T03:40:46Z,70000,-5.0,46.0,1,left,MISS M. Bagley III fadeaway Shot - blocked,"[1628963, 204001]",1610612758.0,SAC,fadeaway,,,Bagley III,M. Bagley III,,,,,4.62,Missed,Porzingis,204001.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2021-12-30T03:40:39.7Z,1,REGULAR,block,,[],204001,,,1610612758,0,0,2021-12-30T03:40:43Z,80000,,,0,,K. Porzingis BLOCK (1 BLK),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-12-30T03:40:44.7Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,0,0,2021-12-30T03:40:46Z,90000,,,0,,D. Powell REBOUND (Off:0 Def:1),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M23.00S,2021-12-30T03:40:57.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,93.77463863337714,45.83333333333333,1610612742,0,0,2021-12-30T03:41:01Z,100000,-21.0,6.0,1,right,MISS K. Porzingis Layup,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,2.16,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2021-12-30T03:41:00.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,0,0,2021-12-30T03:41:01Z,110000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M16.00S,2021-12-30T03:41:05.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628368,6.783837056504599,46.81372549019608,1610612758,2,0,2021-12-30T03:41:10Z,120000,16.0,11.0,1,left,D. Fox running Layup (2 PTS),[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,1.95,Made,,,,,,,2.0,,,,,,,,,,,,
13,PT11M16.00S,2021-12-30T03:41:08.1Z,1,REGULAR,foul,personal,['1freethrow'],1627827,,,1610612758,2,0,2021-12-30T03:41:31Z,130000,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Fox 1 FT),"[1627827, 1628368]",1610612742.0,DAL,shooting,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,1628484.0,1.0,0.0,Fox,1628368.0,,,,,,,
15,PT11M16.00S,2021-12-30T03:41:32.9Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1628368,,,1610612758,2,0,2021-12-30T03:41:36Z,150000,,,0,,MISS D. Fox Free Throw 1 of 1,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Missed,,,,,,,,,,,,,,,,,,,
16,PT11M11.00S,2021-12-30T03:41:37.9Z,1,REGULAR,rebound,defensive,[],203939,,,1610612742,2,0,2021-12-30T03:41:36Z,160000,,,0,,D. Powell REBOUND (Off:0 Def:2),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,
17,PT10M58.00S,2021-12-30T03:41:48.2Z,1,REGULAR,3pt,Jump Shot,[],204001,91.27792378449409,96.56862745098039,1610612742,2,0,2021-12-30T03:42:05Z,170000,233.0,29.0,1,right,MISS K. Porzingis 3PT,[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M58.00S,2021-12-30T03:41:48.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,2,0,2021-12-30T03:42:05Z,180000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,
19,PT10M58.00S,2021-12-30T03:41:56.1Z,1,REGULAR,foul,personal,[],1626158,,,1610612742,2,0,2021-12-30T03:42:01Z,190000,,,0,,R. Holmes loose ball personal FOUL (1 PF),"[1626158, 203939]",1610612758.0,SAC,loose ball,,,Holmes,R. Holmes,,,,,,,,,,,,,,2002.0,1.0,0.0,Powell,203939.0,,,,,,,
21,PT10M50.00S,2021-12-30T03:42:16.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628973,80.23981603153744,70.83333333333334,1610612742,2,2,2021-12-30T03:42:22Z,210000,104.0,133.0,1,right,J. Brunson 16' pullup Jump Shot (2 PTS),[1628973],1610612742.0,DAL,pullup,,,Brunson,J. Brunson,,,,,16.91,Made,,,,,,,2.0,,,,,,,,,,,,
22,PT10M33.00S,2021-12-30T03:42:33.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,10.988830486202366,37.00980392156863,1610612758,4,2,2021-12-30T03:42:45Z,220000,65.0,51.0,1,left,T. Haliburton 8' driving floating Jump Shot (2 PTS) (R. Holmes 1 AST),"[1630169, 1626158]",1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,8.25,Made,,,,,,,2.0,,,,,,R. Holmes,1626158.0,1.0,,,,
23,PT10M17.00S,2021-12-30T03:42:54.5Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612742,4,2,2021-12-30T03:43:03Z,230000,,,0,,K. Porzingis lost ball TURNOVER (1 TO),[204001],1610612742.0,DAL,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,,,,,,,,,1.0,,,
24,PT10M17.00S,2021-12-30T03:42:59.4Z,1,REGULAR,foul,personal,[],204001,,,1610612758,4,2,2021-12-30T03:43:06Z,240000,,,0,,K. Porzingis loose ball personal FOUL (1 PF),"[204001, 1628963]",1610612742.0,DAL,loose ball,,,Porzingis,K. Porzingis,,,,,,,,,,,,,,1627964.0,1.0,0.0,Bagley III,1628963.0,,,,,,,
26,PT10M04.00S,2021-12-30T03:43:19.1Z,1,REGULAR,turnover,traveling,[],1628368,,,1610612758,4,2,2021-12-30T03:43:24Z,260000,,,0,,D. Fox traveling TURNOVER (1 TO),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,1628484.0,,,,,,,,1.0,,,
27,PT09M57.00S,2021-12-30T03:43:34.1Z,1,REGULAR,foul,personal,[],1628963,,,1610612742,4,2,2021-12-30T03:43:46Z,270000,,,0,,M. Bagley III personal FOUL (1 PF),"[1628963, 1628973]",1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,,,,,,,,1628484.0,1.0,0.0,Brunson,1628973.0,,,,,,,
29,PT09M51.00S,2021-12-30T03:43:59.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",204001,79.84559789750328,52.69607843137255,1610612742,4,4,2021-12-30T03:44:05Z,290000,13.0,137.0,1,right,K. Porzingis 13' pullup Jump Shot (2 PTS) (F. Ntilikina 1 AST),"[204001, 1628373]",1610612742.0,DAL,pullup,,,Porzingis,K. Porzingis,,,,,13.77,Made,,,,,,,2.0,,,,,,F. Ntilikina,1628373.0,1.0,,,,
31,PT09M35.00S,2021-12-30T03:44:15.1Z,1,REGULAR,2pt,Jump Shot,[],1630169,14.931011826544022,25.245098039215684,1610612758,4,4,2021-12-30T03:44:22Z,310000,124.0,88.0,1,left,MISS T. Haliburton 15' fadeaway Shot,[1630169],1610612758.0,SAC,fadeaway,,,Haliburton,T. Haliburton,,,,,15.18,Missed,,,,,,,,,,,,,,,,,,,
32,PT09M32.00S,2021-12-30T03:44:18.1Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,4,4,2021-12-30T03:44:22Z,320000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M27.00S,2021-12-30T03:44:24.2Z,1,REGULAR,3pt,Jump Shot,[],1628373,94.43166885676742,2.696078431372549,1610612742,4,7,2021-12-30T03:44:32Z,330000,-237.0,0.0,1,right,F. Ntilikina 3PT  (3 PTS) (K. Porzingis 1 AST),"[1628373, 204001]",1610612742.0,DAL,,,,Ntilikina,F. Ntilikina,,,,,23.65,Made,,,,,,,3.0,,,,,,K. Porzingis,204001.0,1.0,,,,
35,PT09M15.00S,2021-12-30T03:44:35.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,14.799605781865965,55.14705882352941,1610612758,6,7,2021-12-30T03:44:41Z,350000,-26.0,87.0,1,left,R. Holmes 9' floating Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1626158, 1630169]",1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,9.03,Made,,,,,,,2.0,,,,,,T. Haliburton,1630169.0,1.0,,,,
38,PT09M03.00S,2021-12-30T03:44:46.7Z,1,REGULAR,3pt,Jump Shot,[],1627827,72.48685939553219,18.627450980392158,1610612742,6,10,2021-12-30T03:44:52Z,370000,-157.0,206.0,1,right,D. Finney-Smith 25' 3PT  (3 PTS) (F. Ntilikina 2 AST),"[1627827, 1628373]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,25.9,Made,,,,,,,3.0,,,,,,F. Ntilikina,1628373.0,2.0,,,,
