actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-19T02:10:24.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-19T02:10:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-03-19T02:10:25.1Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2022-03-19T02:10:25Z,40000,,,0,,Jump Ball R. Williams III vs. D. Sabonis: Tip to J. Brown,"[1627759, 1629057, 1627734]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Williams III,1629057.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-19T02:10:28.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,6.652431011826544,52.94117647058824,1610612738,0,2,2022-03-19T02:10:33Z,70000,-15.0,10.0,1,left,J. Brown cutting Layup (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.78,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
9,PT11M34.00S,2022-03-19T02:10:45.1Z,1,REGULAR,turnover,out-of-bounds,[],203200,,,1610612758,0,2,2022-03-19T02:10:53Z,90000,,,0,,J. Holiday bad pass out-of-bounds TURNOVER (1 TO),[203200],1610612758.0,SAC,bad pass,,,Holiday,J. Holiday,,,,,,,,,,,2530.0,1.0,,,,,,,,,,,,
10,PT11M15.00S,2022-03-19T02:11:06.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201143,6.258212877792378,48.03921568627451,1610612738,0,4,2022-03-19T02:11:15Z,100000,10.0,6.0,1,left,A. Horford cutting Layup (2 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,1.17,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
12,PT10M59.00S,2022-03-19T02:11:25.4Z,1,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612758,0,4,2022-03-19T02:11:44Z,120000,,,0,,J. Tatum shooting personal FOUL (1 PF) (Holiday 2 FT),"[1628369, 203200]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,,,,,,,1627541.0,,1.0,0.0,Holiday,203200.0,,,,,,,,
14,PT10M59.00S,2022-03-19T02:11:50.8Z,1,REGULAR,freethrow,1 of 2,[],203200,,,1610612758,0,4,2022-03-19T02:11:50Z,140000,,,0,,MISS J. Holiday Free Throw 1 of 2,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT10M59.00S,2022-03-19T02:11:50.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,0,4,2022-03-19T02:11:50Z,150000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,
16,PT10M59.00S,2022-03-19T02:11:50.8Z,1,REGULAR,freethrow,2 of 2,[],203200,,,1610612758,0,4,2022-03-19T02:12:08Z,160000,,,0,,MISS J. Holiday Free Throw 2 of 2,[203200],1610612758.0,SAC,,,,Holiday,J. Holiday,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M56.00S,2022-03-19T02:11:53.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,4,2022-03-19T02:12:08Z,170000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
