actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-04T02:10:09.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T02:10:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2021-11-04T02:10:17.6Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2021-11-04T02:10:17Z,40000,,,0,,Jump Ball J. Valanciunas vs. R. Holmes: Tip to J. Hart,"[1628404, 202685, 1626158]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Valanciunas,202685.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-04T02:10:25.1Z,1,REGULAR,turnover,lost ball,[],1628404,,,1610612740,0,0,2021-11-04T02:10:33Z,70000,,,0,,J. Hart lost ball TURNOVER (1 TO),"[1628404, 1628368]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,1.0,Fox,1628368.0,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-04T02:10:25.1Z,1,REGULAR,steal,,[],1628368,,,1610612758,0,0,2021-11-04T02:12:08Z,80000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-11-04T02:10:40.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628368,89.70105124835742,87.99019607843137,1610612758,0,0,2021-11-04T02:11:00Z,90000,190.0,44.0,1,right,MISS D. Fox 19' step back Shot,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,,,,19.51,Missed,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-11-04T02:10:44.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2021-11-04T02:11:01Z,100000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M12.00S,2021-11-04T02:10:56.7Z,1,REGULAR,3pt,Jump Shot,[],202066,14.799605781865965,3.9215686274509802,1610612740,0,0,2021-11-04T02:11:04Z,110000,230.0,87.0,1,left,MISS G. Temple 24' step back 3PT,[202066],1610612740.0,NOP,step back,,,Temple,G. Temple,,,,,,,,24.61,Missed,,,,,,,,,,,,,,,,
12,PT11M10.00S,2021-11-04T02:10:58.7Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,0,0,2021-11-04T02:11:04Z,120000,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,
13,PT11M04.00S,2021-11-04T02:11:05.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202685,27.54599211563732,78.92156862745098,1610612740,0,3,2021-11-04T02:11:10Z,130000,-145.0,206.0,1,left,J. Valanciunas 25' 3PT  (3 PTS) (D. Graham 1 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,25.2,Made,,,,,3.0,D. Graham,1628984.0,1.0,,,,,,,,
15,PT10M46.00S,2021-11-04T02:11:22.7Z,1,REGULAR,3pt,Jump Shot,[],203090,79.84559789750328,7.8431372549019605,1610612758,0,3,2021-11-04T02:11:28Z,150000,-211.0,137.0,1,right,MISS M. Harkless 25' 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,25.14,Missed,,,,,,,,,,,,,,,,
16,PT10M43.00S,2021-11-04T02:11:25.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,0,3,2021-11-04T02:11:28Z,160000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M34.00S,2021-11-04T02:11:35.0Z,1,REGULAR,3pt,Jump Shot,[],202066,6.783837056504599,97.54901960784314,1610612740,0,6,2021-11-04T02:11:39Z,170000,-238.0,11.0,1,left,G. Temple 3PT  (3 PTS) (D. Graham 2 AST),"[202066, 1628984]",1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,23.8,Made,,,,,3.0,D. Graham,1628984.0,2.0,,,,,,,,
19,PT10M21.00S,2021-11-04T02:11:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,81.2910643889619,61.274509803921575,1610612758,0,6,2021-11-04T02:11:54Z,190000,56.0,123.0,1,right,MISS R. Holmes 13' floating Shot,[1626158],1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,,,,13.57,Missed,,,,,,,,,,,,,,,,
20,PT10M18.00S,2021-11-04T02:11:50.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,0,6,2021-11-04T02:11:54Z,200000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,
21,PT10M15.00S,2021-11-04T02:11:54.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202066,6.258212877792378,54.65686274509803,1610612740,0,6,2021-11-04T02:12:03Z,210000,-23.0,6.0,1,left,MISS G. Temple running Layup - blocked,"[202066, 1630169]",1610612740.0,NOP,running,,,Temple,G. Temple,,,,,,,,2.41,Missed,,,,,,,,,Haliburton,1630169.0,,,,,,
22,PT10M15.00S,2021-11-04T02:11:54.0Z,1,REGULAR,block,,[],1630169,,,1610612740,0,6,2021-11-04T02:11:56Z,220000,,,0,,T. Haliburton BLOCK (1 BLK),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2021-11-04T02:11:54.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,0,6,2021-11-04T02:12:03Z,230000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,
24,PT10M15.00S,2021-11-04T02:12:00.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,0,6,2021-11-04T02:12:00Z,240000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M03.00S,2021-11-04T02:12:21.0Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.30420499342969,75.98039215686273,1610612758,0,6,2021-11-04T02:12:26Z,250000,130.0,217.0,1,right,MISS T. Haliburton 25' step back 3PT,[1630169],1610612758.0,SAC,step back,,,Haliburton,T. Haliburton,,,,,,,,25.31,Missed,,,,,,,,,,,,,,,,
26,PT09M58.00S,2021-11-04T02:12:26.0Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,6,2021-11-04T02:12:26Z,260000,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,25.0,3.0,2.0,1.0,,,,,,,,,,,,
27,PT09M53.00S,2021-11-04T02:12:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,7.440867279894875,45.83333333333333,1610612740,0,6,2021-11-04T02:12:50Z,270000,21.0,17.0,1,left,MISS J. Hart running Layup - blocked,"[1628404, 203090]",1610612740.0,NOP,running,,,Hart,J. Hart,,,,,,,,2.71,Missed,,,,,,,,,Harkless,203090.0,,,,,,
28,PT09M53.00S,2021-11-04T02:12:29.4Z,1,REGULAR,block,,[],203090,,,1610612740,0,6,2021-11-04T02:12:32Z,280000,,,0,,M. Harkless BLOCK (1 BLK),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M51.00S,2021-11-04T02:12:31.4Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,0,6,2021-11-04T02:12:37Z,290000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
30,PT09M47.00S,2021-11-04T02:12:36.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,92.9862023653088,95.83333333333334,1610612758,3,6,2021-11-04T02:12:42Z,300000,229.0,13.0,1,right,H. Barnes 3PT  (3 PTS) (T. Haliburton 1 AST),"[203084, 1630169]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,22.96,Made,,,,,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,
32,PT09M22.00S,2021-11-04T02:13:00.9Z,1,REGULAR,3pt,Jump Shot,[],1628984,30.436925098554536,22.794117647058822,1610612740,3,9,2021-11-04T02:13:05Z,320000,136.0,234.0,1,left,D. Graham 27' 3PT  (3 PTS) (G. Temple 1 AST),"[1628984, 202066]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,27.03,Made,,,,,3.0,G. Temple,202066.0,1.0,,,,,,,,
34,PT09M01.00S,2021-11-04T02:13:21.9Z,1,REGULAR,3pt,Jump Shot,[],1630169,96.66557161629436,3.9215686274509802,1610612758,3,9,2021-11-04T02:13:39Z,340000,-230.0,-21.0,1,right,MISS T. Haliburton fadeaway 3PT,[1630169],1610612758.0,SAC,fadeaway,,,Haliburton,T. Haliburton,,,,,,,,23.14,Missed,,,,,,,,,,,,,,,,
35,PT08M59.00S,2021-11-04T02:13:23.9Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,3,9,2021-11-04T02:13:26Z,350000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,
36,PT08M54.00S,2021-11-04T02:13:29.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626158,92.72339027595268,46.32352941176471,1610612758,5,9,2021-11-04T02:13:34Z,360000,-18.0,16.0,1,right,R. Holmes cutting Layup (2 PTS) (D. Fox 1 AST),"[1626158, 1628368]",1610612758.0,SAC,cutting,,,Holmes,R. Holmes,,,,,,,,2.43,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,
38,PT08M40.00S,2021-11-04T02:13:43.1Z,1,REGULAR,2pt,Jump Shot,[],202685,5.863994743758213,22.058823529411764,1610612740,5,9,2021-11-04T02:13:49Z,380000,140.0,3.0,1,left,MISS J. Valanciunas 13' Jump Shot,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,13.97,Missed,,,,,,,,,,,,,,,,
39,PT08M37.00S,2021-11-04T02:13:46.1Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,5,9,2021-11-04T02:13:49Z,390000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,
40,PT08M32.00S,2021-11-04T02:13:53.9Z,1,REGULAR,turnover,out-of-bounds,[],203090,,,1610612758,5,9,2021-11-04T02:14:04Z,400000,,,0,,M. Harkless bad pass out-of-bounds TURNOVER (1 TO),[203090],1610612758.0,SAC,bad pass,,,Harkless,M. Harkless,,,,,1.0,,,,,,,,,,,,,,,1151.0,,,,,
41,PT08M22.00S,2021-11-04T02:14:13.3Z,1,REGULAR,foul,personal,[],1626158,,,1610612740,5,9,2021-11-04T02:14:27Z,410000,,,0,,R. Holmes personal FOUL (1 PF),"[1626158, 202685]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Valanciunas,202685.0,
43,PT08M12.00S,2021-11-04T02:14:40.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",202685,9.674770039421814,55.63725490196079,1610612740,5,11,2021-11-04T02:14:44Z,430000,-28.0,38.0,1,left,J. Valanciunas Hook (5 PTS) (D. Graham 3 AST),"[202685, 1628984]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,4.76,Made,,,,,5.0,D. Graham,1628984.0,3.0,,,,,,,,
45,PT08M04.00S,2021-11-04T02:14:51.7Z,1,REGULAR,violation,kicked ball,[],202685,,,1610612758,5,11,2021-11-04T02:15:07Z,450000,,,0,,J. Valanciunas kicked ball VIOLATION,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,1151.0,,,,,
46,PT07M55.00S,2021-11-04T02:15:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,81.15965834428384,62.99019607843137,1610612758,5,11,2021-11-04T02:15:23Z,460000,65.0,125.0,1,right,MISS R. Holmes 14' floating Shot,[1626158],1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,,,,14.05,Missed,,,,,,,,,,,,,,,,
47,PT07M52.00S,2021-11-04T02:15:21.5Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,11,2021-11-04T02:15:23Z,470000,,,0,,J. Valanciunas REBOUND (Off:1 Def:3),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,46.0,4.0,3.0,1.0,,,,,,,,,,,,
48,PT07M42.00S,2021-11-04T02:15:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628984,7.5722733245729295,46.32352941176471,1610612740,5,13,2021-11-04T02:15:38Z,480000,18.0,19.0,1,left,D. Graham driving Layup (5 PTS) (N. Alexander-Walker 1 AST),"[1628984, 1629638]",1610612740.0,NOP,driving,,,Graham,D. Graham,,,,,,,,2.62,Made,,,,,5.0,N. Alexander-Walker,1629638.0,1.0,,,,,,,,
50,PT07M28.00S,2021-11-04T02:15:45.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626158,92.9862023653088,53.67647058823529,1610612758,7,13,2021-11-04T02:15:49Z,500000,18.0,13.0,1,right,R. Holmes driving Layup (4 PTS) (D. Fox 2 AST),"[1626158, 1628368]",1610612758.0,SAC,driving,,,Holmes,R. Holmes,,,,,,,,2.28,Made,,,,,4.0,D. Fox,1628368.0,2.0,,,,,,,,
52,PT07M13.00S,2021-11-04T02:15:59.8Z,1,REGULAR,3pt,Jump Shot,[],1628984,26.231931668856767,81.12745098039215,1610612740,7,13,2021-11-04T02:16:04Z,520000,-156.0,194.0,1,left,MISS D. Graham 24' pullup 3PT,[1628984],1610612740.0,NOP,pullup,,,Graham,D. Graham,,,,,,,,24.88,Missed,,,,,,,,,,,,,,,,
53,PT07M10.00S,2021-11-04T02:16:02.8Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,7,13,2021-11-04T02:16:04Z,530000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,,,,,,
54,PT06M59.00S,2021-11-04T02:16:12.9Z,1,REGULAR,3pt,Jump Shot,[],1628368,68.28186596583443,37.99019607843137,1610612758,10,13,2021-11-04T02:16:17Z,540000,-60.0,246.0,1,right,D. Fox 25' 3PT  (3 PTS) (R. Holmes 1 AST),"[1628368, 1626158]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,25.29,Made,,,,,3.0,R. Holmes,1626158.0,1.0,,,,,,,,
56,PT06M47.00S,2021-11-04T02:16:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,7.178055190538765,42.8921568627451,1610612740,10,13,2021-11-04T02:16:37Z,560000,36.0,15.0,1,left,MISS N. Alexander-Walker driving Layup,[1629638],1610612740.0,NOP,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,3.85,Missed,,,,,,,,,,,,,,,,
57,PT06M44.00S,2021-11-04T02:16:27.9Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,10,13,2021-11-04T02:16:27Z,570000,,,0,,R. Holmes REBOUND (Off:1 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,56.0,3.0,2.0,1.0,,,,,,,,,,,,
58,PT06M37.00S,2021-11-04T02:16:35.8Z,1,REGULAR,turnover,lost ball,[],203084,,,1610612758,10,13,2021-11-04T02:16:39Z,580000,,,0,,H. Barnes lost ball TURNOVER (1 TO),"[203084, 1629638]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,1.0,Alexander-Walker,1629638.0,,,,,,,,,,,,,,,,,,
59,PT06M37.00S,2021-11-04T02:16:35.8Z,1,REGULAR,steal,,[],1629638,,,1610612740,10,13,2021-11-04T02:16:37Z,590000,,,0,,N. Alexander-Walker STEAL (1 STL),[1629638],1610612740.0,NOP,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M33.00S,2021-11-04T02:16:42.8Z,1,REGULAR,foul,personal,[],1628368,,,1610612740,10,13,2021-11-04T02:17:43Z,600000,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 1629638]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Alexander-Walker,1629638.0,
62,PT06M33.00S,2021-11-04T02:17:31.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,10,13,2021-11-04T02:17:31Z,620000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,out,[],203090,,,1610612740,10,13,2021-11-04T02:19:42Z,630000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,out,[],1626158,,,1610612740,10,13,2021-11-04T02:19:42Z,640000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,out,[],1630169,,,1610612740,10,13,2021-11-04T02:19:42Z,650000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,out,[],202685,,,1610612740,10,13,2021-11-04T02:19:42Z,660000,,,0,,SUB out: J. Valanciunas,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,in,[],1630558,,,1610612740,10,13,2021-11-04T02:19:42Z,670000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,in,[],203458,,,1610612740,10,13,2021-11-04T02:19:42Z,680000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,in,[],1627741,,,1610612740,10,13,2021-11-04T02:19:42Z,690000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M33.00S,2021-11-04T02:18:12.9Z,1,REGULAR,substitution,in,[],1629637,,,1610612740,10,13,2021-11-04T02:19:42Z,700000,,,0,,SUB in: J. Hayes,[1629637],1610612740.0,NOP,,,,Hayes,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M21.00S,2021-11-04T02:20:04.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628984,7.440867279894875,96.56862745098039,1610612740,10,16,2021-11-04T02:20:09Z,710000,-233.0,17.0,1,left,D. Graham 3PT  (8 PTS) (G. Temple 2 AST),"[1628984, 202066]",1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,23.34,Made,,,,,8.0,G. Temple,202066.0,2.0,,,,,,,,
73,PT06M02.00S,2021-11-04T02:20:23.8Z,1,REGULAR,3pt,Jump Shot,[],1630558,69.46452036793693,28.921568627450984,1610612758,10,16,2021-11-04T02:20:29Z,730000,-105.0,235.0,1,right,MISS D. Mitchell 25' step back 3PT,[1630558],1610612758.0,SAC,step back,,,Mitchell,D. Mitchell,,,,,,,,25.71,Missed,,,,,,,,,,,,,,,,
74,PT06M00.00S,2021-11-04T02:20:25.8Z,1,REGULAR,rebound,defensive,[],202066,,,1610612740,10,16,2021-11-04T02:20:29Z,740000,,,0,,G. Temple REBOUND (Off:0 Def:1),[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,
75,PT05M55.00S,2021-11-04T02:20:34.5Z,1,REGULAR,foul,personal,[],203084,,,1610612740,10,16,2021-11-04T02:20:46Z,750000,,,0,,H. Barnes personal FOUL (1 PF),"[203084, 1629637]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Hayes,1629637.0,
