actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-09T03:10:12.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-09T03:10:12Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-09T03:10:15.4Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2021-12-09T03:10:15Z,40000,,,0,,Jump Ball R. Holmes vs. M. Bamba: Tip to D. Fox,"[1628368, 1626158, 1628964]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Holmes,1626158.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-09T03:10:27.6Z,1,REGULAR,2pt,Jump Shot,[],1628368,79.58278580814718,36.029411764705884,1610612758,2,0,2021-12-09T03:10:33Z,70000,-70.0,139.0,1,right,D. Fox 15' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,15.59,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2021-12-09T03:10:41.9Z,1,REGULAR,turnover,bad pass,[],1630532,,,1610612753,2,0,2021-12-09T03:10:45Z,80000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 1628368]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,1.0,Fox,1628368.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-12-09T03:10:41.9Z,1,REGULAR,steal,,[],1628368,,,1610612758,2,0,2021-12-09T03:10:44Z,90000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2021-12-09T03:10:49.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629056,93.51182654402102,53.67647058823529,1610612758,4,0,2021-12-09T03:11:37Z,100000,18.0,8.0,1,right,T. Davis driving Layup (2 PTS),[1629056],1610612758.0,SAC,driving,,,Davis,T. Davis,,,,,2.03,Made,2.0,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-12-09T03:11:01.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,0,2021-12-09T03:11:01Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2021-12-09T03:11:22.8Z,1,REGULAR,2pt,Jump Shot,[],1628976,10.200394218134035,71.32352941176471,1610612753,4,2,2021-12-09T03:11:27Z,120000,-107.0,43.0,1,left,W. Carter Jr. 11' floating Jump Shot (2 PTS) (F. Wagner 1 AST),"[1628976, 1630532]",1610612753.0,ORL,floating,,,Carter Jr.,W. Carter Jr.,,,,,11.51,Made,2.0,,,,F. Wagner,1630532.0,1.0,,,,,,,,,,,,
14,PT10M48.00S,2021-12-09T03:11:40.3Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612758,4,2,2021-12-09T03:11:50Z,140000,,,0,,D. Fox lost ball out-of-bounds TURNOVER (1 TO),[1628368],1610612758.0,SAC,lost ball,,,Fox,D. Fox,,,,,,,,1.0,,,,,,202037.0,,,,,,,,,,,
15,PT10M25.00S,2021-12-09T03:12:08.9Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,4,2,2021-12-09T03:12:15Z,150000,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1630169]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,1.0,Haliburton,1630169.0,,,,,,,,,,,,,,,
16,PT10M25.00S,2021-12-09T03:12:08.9Z,1,REGULAR,steal,,[],1630169,,,1610612758,4,2,2021-12-09T03:12:11Z,160000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M20.00S,2021-12-09T03:12:13.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628368,93.9060446780552,53.18627450980392,1610612758,4,2,2021-12-09T03:12:23Z,170000,16.0,5.0,1,right,MISS D. Fox running Layup,[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,1.66,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M17.00S,2021-12-09T03:12:16.6Z,1,REGULAR,rebound,defensive,[],1628976,,,1610612753,4,2,2021-12-09T03:12:23Z,180000,,,0,,W. Carter Jr. REBOUND (Off:0 Def:1),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M17.00S,2021-12-09T03:12:19.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,4,2,2021-12-09T03:12:36Z,190000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,PT10M01.00S,2021-12-09T03:12:41.5Z,1,REGULAR,3pt,Jump Shot,[],203914,4.812746386333772,96.07843137254902,1610612753,4,2,2021-12-09T03:12:46Z,200000,-230.0,-7.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.05,Missed,,,,,,,,,,,,,,,,,,,
21,PT09M57.00S,2021-12-09T03:12:45.5Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,4,2,2021-12-09T03:12:46Z,210000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,
