actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-15T02:10:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-15T02:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-15T02:10:25.9Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612741,0,0,2022-03-15T02:10:25Z,40000,,,0,,Jump Ball N. Vucevic vs. D. Sabonis: Tip to J. Green,"[1629750, 202696, 1627734]",1610612741.0,CHI,startperiod,J. Green,1629750.0,Green,J. Green,Vucevic,202696.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-03-15T02:10:36.7Z,1,REGULAR,2pt,Jump Shot,[],202696,22.28975032851511,50.0,1610612741,0,2,2022-03-15T02:10:41Z,70000,0.0,157.0,1,left,N. Vucevic 15' Jump Shot (2 PTS) (Z. LaVine 1 AST),"[202696, 203897]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,15.7,Made,2.0,Z. LaVine,203897.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-03-15T02:10:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,91.93495400788436,56.372549019607845,1610612758,0,2,2022-03-15T02:11:05Z,90000,32.0,23.0,1,right,MISS H. Barnes driving Layup,[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,3.95,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-03-15T02:11:01.7Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612758,0,2,2022-03-15T02:11:05Z,100000,,,0,,T. Lyles REBOUND (Off:1 Def:0),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M13.00S,2022-03-15T02:11:08.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627734,70.12155059132719,69.85294117647058,1610612758,0,2,2022-03-15T02:11:16Z,110000,99.0,228.0,1,right,MISS D. Sabonis 24' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,24.91,Missed,,,,,,,,,,,,,,,,,,
12,PT11M06.00S,2022-03-15T02:11:15.4Z,1,REGULAR,rebound,offensive,[],1626168,,,1610612758,0,2,2022-03-15T02:11:16Z,120000,,,0,,T. Lyles REBOUND (Off:2 Def:0),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,11.0,2.0,0.0,2.0,,,,,,,,,,
13,PT11M06.00S,2022-03-15T02:11:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626168,94.40999984741211,50.0,1610612758,2,2,2022-03-15T02:11:15Z,130000,0.0,0.0,1,right,T. Lyles tip Layup (2 PTS),[1626168],1610612758.0,SAC,tip,,,Lyles,T. Lyles,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2022-03-15T02:11:33.9Z,1,REGULAR,3pt,Jump Shot,[],203897,24.78646517739816,86.27450980392157,1610612741,2,5,2022-03-15T02:11:40Z,140000,-181.0,180.0,1,left,Z. LaVine 25' 3PT step back (3 PTS),[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,25.59,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M38.00S,2022-03-15T02:11:43.7Z,1,REGULAR,3pt,Jump Shot,[],1628368,81.553876478318,4.166666666666666,1610612758,5,5,2022-03-15T02:11:49Z,150000,-229.0,121.0,1,right,D. Fox 25' 3PT step back (3 PTS),[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,25.91,Made,3.0,,,,,,,,,,,,,,,,,
