actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-07T23:10:11.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-07T23:10:11Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-07T23:10:14.9Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2021-11-07T23:10:14Z,40000,,,0,,Jump Ball M. Turner vs. R. Holmes: Tip to D. Sabonis,"[1627734, 1626167, 1626158]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-07T23:10:31.1Z,1,REGULAR,2pt,Jump Shot,[],1630537,22.28975032851511,62.254901960784316,1610612754,0,2,2021-11-07T23:10:36Z,70000,-61.0,157.0,1,left,C. Duarte 16' pullup Jump Shot (2 PTS),[1630537],1610612754.0,IND,pullup,,,Duarte,C. Duarte,,,,,16.85,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M17.00S,2021-11-07T23:10:53.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,67.62483574244416,37.99019607843137,1610612758,0,2,2021-11-07T23:10:59Z,80000,-60.0,252.0,1,right,MISS D. Fox 25' step back 3PT,[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2021-11-07T23:10:56.3Z,1,REGULAR,rebound,defensive,[],1630537,,,1610612754,0,2,2021-11-07T23:10:59Z,90000,,,0,,C. Duarte REBOUND (Off:0 Def:1),[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M06.00S,2021-11-07T23:11:04.2Z,1,REGULAR,3pt,Jump Shot,[],1630537,29.379517082785807,76.73866421568627,1610612754,0,2,2021-11-07T23:11:39Z,100000,-134.0,224.0,1,left,MISS C. Duarte 26' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,26.06,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M04.00S,2021-11-07T23:11:06.2Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,2,2021-11-07T23:11:08Z,110000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M58.00S,2021-11-07T23:11:12.6Z,1,REGULAR,3pt,Jump Shot,[],203084,79.71419185282524,7.107843137254902,1610612758,0,2,2021-11-07T23:11:19Z,120000,-214.0,138.0,1,right,MISS H. Barnes 25' running 3PT,[203084],1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,25.52,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2021-11-07T23:11:14.8Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612758,0,2,2021-11-07T23:11:14Z,130000,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT10M52.00S,2021-11-07T23:11:18.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1626158,93.11760840998686,49.01960784313725,1610612758,2,2,2021-11-07T23:11:23Z,140000,-5.0,12.0,1,right,R. Holmes cutting DUNK (2 PTS) (H. Barnes 1 AST),"[1626158, 203084]",1610612758.0,SAC,cutting,,,Holmes,R. Holmes,,,,,1.31,Made,2.0,,,,,H. Barnes,203084.0,1.0,,,,,,,,,,,
