actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-06T03:10:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-06T03:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-06T03:10:40.6Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612758,0,0,2022-02-06T03:10:40Z,40000,,,0,,Jump Ball R. Holmes vs. M. Diakite: Tip to T. Haliburton,"[1630169, 1626158, 1629603]",1610612758.0,SAC,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Holmes,1626158.0,Diakite,1629603.0,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-02-06T03:10:54.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,5.863994743758213,46.81372549019608,1610612758,2,0,2022-02-06T03:11:01Z,70000,16.0,3.0,1,left,H. Barnes reverse Layup (2 PTS),[203084],1610612758.0,SAC,reverse,,,Barnes,H. Barnes,,,,,1.61,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-02-06T03:10:57.7Z,1,REGULAR,foul,personal,['1freethrow'],1629603,,,1610612758,2,0,2022-02-06T03:11:06Z,80000,,,0,,M. Diakite shooting personal FOUL (1 PF) (Barnes 1 FT),"[1629603, 203084]",1610612760.0,OKC,shooting,,,Diakite,M. Diakite,,,,,,,,1363.0,1.0,0.0,Barnes,203084.0,,,,,,,,,,,,
10,PT11M45.00S,2022-02-06T03:11:15.7Z,1,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,3,0,2022-02-06T03:11:15Z,100000,,,0,,H. Barnes Free Throw 1 of 1 (3 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2022-02-06T03:11:31.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630544,93.38042049934296,54.65686274509803,1610612760,3,0,2022-02-06T03:11:38Z,110000,23.0,10.0,1,right,MISS T. Mann driving Layup,[1630544],1610612760.0,OKC,driving,,,Mann,T. Mann,,,,,2.52,Missed,,,,,,,,,,,,,,,,,,
12,PT11M29.00S,2022-02-06T03:11:33.4Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,3,0,2022-02-06T03:11:38Z,120000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M15.00S,2022-02-06T03:11:46.9Z,1,REGULAR,3pt,Jump Shot,[],1630558,25.706307490144546,81.86274509803921,1610612758,3,0,2022-02-06T03:11:53Z,130000,-159.0,189.0,1,left,MISS D. Mitchell 24' 3PT,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,24.73,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2022-02-06T03:11:50.9Z,1,REGULAR,rebound,defensive,[],1629603,,,1610612760,3,0,2022-02-06T03:11:53Z,140000,,,0,,M. Diakite REBOUND (Off:0 Def:1),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M59.00S,2022-02-06T03:12:03.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,93.77463863337714,55.63725490196079,1610612760,3,0,2022-02-06T03:12:11Z,150000,28.0,6.0,1,right,MISS J. Giddey driving Layup,[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,2.88,Missed,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2022-02-06T03:12:06.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,3,0,2022-02-06T03:12:11Z,160000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
