actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-21T03:10:28.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T03:10:28Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-21T03:10:31.6Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612758,0,0,2021-11-21T03:10:31Z,40000,,,0,,Jump Ball R. Holmes vs. R. Gobert: Tip to T. Haliburton,"[1630169, 1626158, 203497]",1610612758.0,SAC,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Holmes,1626158.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-11-21T03:10:42.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,82.60512483574244,49.50980392156863,1610612758,0,0,2021-11-21T03:11:08Z,70000,-2.0,111.0,1,right,MISS D. Fox 11' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,11.1,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2021-11-21T03:10:42.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,0,0,2021-11-21T03:11:02Z,80000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2021-11-21T03:10:48.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,0,0,2021-11-21T03:10:48Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2021-11-21T03:11:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,6.258212877792378,55.14705882352941,1610612762,0,0,2021-11-21T03:11:27Z,100000,-26.0,6.0,1,left,MISS R. Gobert Layup - blocked,"[203497, 203084]",1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,2.65,Missed,,Barnes,203084.0,,,,,,,,,,,,,,,,
11,PT11M27.00S,2021-11-21T03:11:13.6Z,1,REGULAR,block,,[],203084,,,1610612762,0,0,2021-11-21T03:15:29Z,110000,,,0,,H. Barnes BLOCK (1 BLK),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2021-11-21T03:11:13.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,0,2021-11-21T03:11:27Z,120000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2021-11-21T03:11:19.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612762,0,0,2021-11-21T03:11:19Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M22.00S,2021-11-21T03:11:32.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628378,9.937582128777924,48.28431372549019,1610612762,0,0,2021-11-21T03:17:51Z,140000,9.0,41.0,1,left,MISS D. Mitchell driving DUNK - blocked,"[1628378, 1629002]",1610612762.0,UTA,driving,,,Mitchell,D. Mitchell,,,,,4.18,Missed,,Metu,1629002.0,,,,,,,,,,,,,,,,
15,PT11M22.00S,2021-11-21T03:11:32.7Z,1,REGULAR,block,,[],1629002,,,1610612762,0,0,2021-11-21T03:11:35Z,150000,,,0,,C. Metu BLOCK (1 BLK),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT11M18.00S,2021-11-21T03:11:36.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,0,0,2021-11-21T03:15:10Z,160000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT11M03.00S,2021-11-21T03:11:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,85.62746386333771,49.50980392156863,1610612758,2,0,2021-11-21T03:14:21Z,170000,-2.0,83.0,1,right,R. Holmes 8' floating Jump Shot (2 PTS) (H. Barnes 1 AST),"[1626158, 203084]",1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,8.26,Made,,,,,,,2.0,H. Barnes,203084.0,1.0,,,,,,,,,
19,PT10M37.00S,2021-11-21T03:12:17.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628378,8.754927726675426,54.166666666666664,1610612762,2,0,2021-11-21T03:12:24Z,190000,-21.0,30.0,1,left,MISS D. Mitchell Layup,[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,3.63,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M35.00S,2021-11-21T03:12:19.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,0,2021-11-21T03:12:24Z,200000,,,0,,H. Barnes REBOUND (Off:0 Def:2),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,19.0,,,2.0,2.0,0.0,,,,,,,,,,,,,
21,PT10M31.00S,2021-11-21T03:12:23.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,67.23061760840999,38.72549019607843,1610612758,5,0,2021-11-21T03:18:25Z,210000,-56.0,256.0,1,right,H. Barnes 26' 3PT running (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,running,,,Barnes,H. Barnes,,,,,26.17,Made,,,,,,,3.0,D. Fox,1628368.0,1.0,,,,,,,,,
23,PT10M15.00S,2021-11-21T03:12:39.2Z,1,REGULAR,3pt,Jump Shot,[],201144,23.47240473061761,84.80392156862744,1610612762,5,3,2021-11-21T03:12:47Z,230000,-174.0,168.0,1,left,M. Conley 24' 3PT  (3 PTS) (R. O'Neale 1 AST),"[201144, 1626220]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,24.19,Made,,,,,,,3.0,R. O'Neale,1626220.0,1.0,,,,,,,,,
25,PT09M52.00S,2021-11-21T03:13:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,83.78777923784494,57.35294117647059,1610612758,5,3,2021-11-21T03:19:05Z,250000,37.0,100.0,1,right,MISS T. Haliburton 10' driving floating Shot,[1630169],1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,10.65,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M48.00S,2021-11-21T03:13:06.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612762,5,3,2021-11-21T03:13:06Z,260000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612762.0,UTA,,,,Gobert,R. Gobert,,,,,,,25.0,,,1.0,1.0,0.0,,,,,,,,,,,,,
