actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-25T01:10:49.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-25T01:10:49Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-25T01:10:52.4Z,1,REGULAR,jumpball,recovered,[],203090,,,1610612758,0,0,2021-10-25T01:10:52Z,40000,,,0,,Jump Ball R. Holmes vs. K. Looney: Tip to M. Harkless,"[203090, 1626158, 1626172]",1610612758.0,SAC,startperiod,M. Harkless,203090.0,Harkless,M. Harkless,Holmes,1626158.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-10-25T01:11:02.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626158,7.046649145860711,50.245098039215684,1610612758,2,0,2021-10-25T01:11:09Z,70000,-1.0,14.0,1,left,R. Holmes alley-oop DUNK (2 PTS) (T. Haliburton 1 AST),"[1626158, 1630169]",1610612758.0,SAC,alley-oop,,,Holmes,R. Holmes,,,,,1.38,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2021-10-25T01:11:25.5Z,1,REGULAR,2pt,Jump Shot,[],203110,78.26872536136662,50.245098039215684,1610612744,2,0,2021-10-25T01:11:32Z,90000,1.0,152.0,1,right,MISS D. Green 15' Jump Shot,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,15.18,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2021-10-25T01:11:29.5Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,2,0,2021-10-25T01:29:09Z,100000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M06.00S,2021-10-25T01:11:41.4Z,1,REGULAR,3pt,Jump Shot,[],203084,24.917871222076215,84.06862745098039,1610612758,5,0,2021-10-25T01:11:47Z,130000,-170.0,182.0,1,left,H. Barnes 24' 3PT step back (3 PTS),[203084],1610612758.0,SAC,step back,,,Barnes,H. Barnes,,,,,24.9,Made,3.0,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2021-10-25T01:12:01.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203952,87.72996057818659,41.17647058823529,1610612744,5,0,2021-10-25T01:12:10Z,140000,-44.0,63.0,1,right,MISS A. Wiggins 7' driving Hook,[203952],1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,7.67,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2021-10-25T01:12:05.9Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,5,0,2021-10-25T01:12:10Z,150000,,,0,,D. Green REBOUND (Off:1 Def:0),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
16,PT10M42.00S,2021-10-25T01:12:05.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203110,94.40999984741211,50.0,1610612744,5,0,2021-10-25T01:30:22Z,160000,0.0,0.0,1,right,MISS D. Green tip Layup,[203110],1610612744.0,GSW,tip,,,Green,D. Green,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2021-10-25T01:12:06.7Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,5,0,2021-10-25T01:30:22Z,170000,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,
18,PT10M36.00S,2021-10-25T01:12:11.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203952,91.67214191852825,97.30392156862744,1610612744,5,0,2021-10-25T01:12:16Z,180000,237.0,26.0,1,right,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,23.79,Missed,,,,,,,,,,,,,,,,,,,
19,PT10M33.00S,2021-10-25T01:12:14.8Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,5,0,2021-10-25T01:12:16Z,190000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,
20,PT10M18.00S,2021-10-25T01:12:30.4Z,1,REGULAR,2pt,Jump Shot,[],1630169,23.209592641261498,30.88235294117647,1610612758,5,0,2021-10-25T01:12:35Z,200000,96.0,166.0,1,left,MISS T. Haliburton 19' pullup Shot,[1630169],1610612758.0,SAC,pullup,,,Haliburton,T. Haliburton,,,,,19.13,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M14.00S,2021-10-25T01:12:34.4Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,5,0,2021-10-25T01:12:35Z,210000,,,0,,S. Curry REBOUND (Off:1 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,
22,PT10M08.00S,2021-10-25T01:12:46.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,5,0,2021-10-25T01:12:46Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT09M58.00S,2021-10-25T01:13:05.8Z,1,REGULAR,3pt,Jump Shot,[],201939,72.61826544021025,18.137254901960784,1610612744,5,0,2021-10-25T01:13:10Z,230000,-159.0,205.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2021-10-25T01:13:09.8Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,5,0,2021-10-25T01:13:10Z,240000,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,
25,PT09M54.00S,2021-10-25T01:13:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203952,94.40999984741211,50.0,1610612744,5,2,2021-10-25T01:13:09Z,250000,0.0,0.0,1,right,A. Wiggins tip Layup (2 PTS),[203952],1610612744.0,GSW,tip,,,Wiggins,A. Wiggins,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
26,PT09M42.00S,2021-10-25T01:13:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.30946123521682,55.88235294117647,1610612758,5,2,2021-10-25T01:13:25Z,260000,-29.0,16.0,1,left,MISS D. Fox Layup,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,3.36,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M39.00S,2021-10-25T01:13:25.0Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,5,2,2021-10-25T01:13:25Z,280000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M36.00S,2021-10-25T01:13:27.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,74.45795006570303,16.42156862745098,1610612744,5,2,2021-10-25T01:13:42Z,290000,-168.0,188.0,1,right,MISS J. Poole 25' running 3PT,[1629673],1610612744.0,GSW,running,,,Poole,J. Poole,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M35.00S,2021-10-25T01:13:28.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,5,2,2021-10-25T01:13:42Z,300000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,
31,PT09M35.00S,2021-10-25T01:13:38.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,5,2,2021-10-25T01:13:38Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT09M20.00S,2021-10-25T01:13:47.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,8.541392904073588,42.91513480392157,1610612758,5,2,2021-10-25T01:19:14Z,315000,35.0,28.0,1,left,MISS D. Fox driving Layup - blocked,"[1628368, 1629673]",1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,4.5,Missed,,,,,,,,,Poole,1629673.0,,,,,,,,,
61,PT09M20.00S,2021-10-25T01:13:47.4Z,1,REGULAR,block,,[],1629673,,,1610612758,5,2,2021-10-25T01:18:34Z,317500,,,0,,J. Poole BLOCK (1 BLK),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT09M19.00S,2021-10-25T01:13:48.4Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612758,5,2,2021-10-25T01:19:14Z,318750,,,0,,D. Fox REBOUND (Off:1 Def:0),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,60.0,1.0,0.0,1.0,,,,,,,,,,,
32,PT09M15.00S,2021-10-25T01:13:56.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,19.136005256241788,92.8921568627451,1610612758,5,2,2021-10-25T01:18:34Z,320000,-214.0,127.0,1,left,MISS D. Fox 24' fadeaway 3PT,[1628368],1610612758.0,SAC,fadeaway,,,Fox,D. Fox,,,,,24.95,Missed,,,,,,,,,,,,,,,,,,,
33,PT09M08.00S,2021-10-25T01:14:03.4Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,5,2,2021-10-25T01:36:34Z,330000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,
34,PT09M07.00S,2021-10-25T01:14:05.0Z,1,REGULAR,foul,personal,['3freethrow'],1630169,,,1610612744,5,2,2021-10-25T01:14:32Z,340000,,,0,,T. Haliburton shooting personal FOUL (1 PF) (Curry 3 FT),"[1630169, 201939]",1610612758.0,SAC,shooting,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,1628954.0,1.0,0.0,Curry,201939.0,,,,
36,PT09M07.00S,2021-10-25T01:14:37.8Z,1,REGULAR,freethrow,1 of 3,['fastbreak'],201939,,,1610612744,5,3,2021-10-25T01:14:37Z,360000,,,0,,S. Curry Free Throw 1 of 3 (1 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
37,PT09M07.00S,2021-10-25T01:14:52.0Z,1,REGULAR,freethrow,2 of 3,['fastbreak'],201939,,,1610612744,5,4,2021-10-25T01:14:52Z,370000,,,0,,S. Curry Free Throw 2 of 3 (2 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
38,PT09M07.00S,2021-10-25T01:15:07.7Z,1,REGULAR,freethrow,3 of 3,['fastbreak'],201939,,,1610612744,5,5,2021-10-25T01:15:07Z,380000,,,0,,S. Curry Free Throw 3 of 3 (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
39,PT08M51.00S,2021-10-25T01:15:24.6Z,1,REGULAR,3pt,Jump Shot,[],203090,8.09789750328515,2.696078431372549,1610612758,8,5,2021-10-25T01:15:29Z,390000,237.0,24.0,1,left,M. Harkless 3PT  (3 PTS) (T. Haliburton 2 AST),"[203090, 1630169]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.77,Made,3.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,,,,,,
41,PT08M33.00S,2021-10-25T01:15:42.4Z,1,REGULAR,2pt,Jump Shot,[],1629673,95.0886990801577,25.245098039215684,1610612744,8,7,2021-10-25T01:15:50Z,410000,-124.0,-6.0,1,right,J. Poole 12' driving floating Jump Shot (2 PTS) (S. Curry 1 AST),"[1629673, 201939]",1610612744.0,GSW,driving floating,,,Poole,J. Poole,,,,,12.4,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,,
42,PT08M12.00S,2021-10-25T01:16:03.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626158,9.149145860709593,55.14705882352941,1610612758,10,7,2021-10-25T01:16:08Z,420000,-26.0,34.0,1,left,R. Holmes Hook (4 PTS) (D. Fox 1 AST),"[1626158, 1628368]",1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,4.22,Made,4.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,,
44,PT08M07.00S,2021-10-25T01:16:17.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,10,7,2021-10-25T01:16:17Z,440000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M52.00S,2021-10-25T01:16:42.5Z,1,REGULAR,2pt,Jump Shot,[],201939,90.75229960578186,24.019607843137255,1610612744,10,7,2021-10-25T01:16:49Z,450000,-130.0,34.0,1,right,MISS S. Curry 13' bank Shot,[201939],1610612744.0,GSW,bank,,,Curry,S. Curry,,,,,13.44,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M48.00S,2021-10-25T01:16:46.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,10,7,2021-10-25T01:16:46Z,460000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,
48,PT07M45.00S,2021-10-25T01:16:50.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203090,7.30946123521682,49.754901960784316,1610612758,12,7,2021-10-25T01:16:59Z,470000,1.0,16.0,1,left,M. Harkless running Layup (5 PTS) (T. Haliburton 3 AST),"[203090, 1630169]",1610612758.0,SAC,running,,,Harkless,M. Harkless,,,,,1.62,Made,5.0,T. Haliburton,1630169.0,3.0,,,,,,,,,,,,,,,
50,PT07M32.00S,2021-10-25T01:17:03.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,71.17279894875165,74.26470588235294,1610612744,12,10,2021-10-25T01:17:10Z,490000,121.0,218.0,1,right,J. Poole 24' 3PT step back (5 PTS) (D. Green 1 AST),"[1629673, 203110]",1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,24.99,Made,5.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
52,PT07M28.00S,2021-10-25T01:17:14.6Z,1,REGULAR,turnover,out-of-bounds,[],1628368,,,1610612758,12,10,2021-10-25T01:17:23Z,510000,,,0,,D. Fox bad pass out-of-bounds TURNOVER (1 TO),[1628368],1610612758.0,SAC,bad pass,,,Fox,D. Fox,,,,,,,,,,,,,,,,,1628954.0,,,,,1.0,,,
53,PT07M17.00S,2021-10-25T01:17:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626172,92.85479632063075,44.36274509803921,1610612744,12,12,2021-10-25T01:17:38Z,520000,-28.0,15.0,1,right,K. Looney alley-oop Layup (2 PTS) (D. Green 2 AST),"[1626172, 203110]",1610612744.0,GSW,alley-oop,,,Looney,K. Looney,,,,,3.18,Made,2.0,D. Green,203110.0,2.0,,,,,,,,,,,,,,,
55,PT06M55.00S,2021-10-25T01:17:53.7Z,1,REGULAR,3pt,Jump Shot,[],203090,7.046649145860711,3.9215686274509802,1610612758,12,12,2021-10-25T01:17:57Z,540000,230.0,14.0,1,left,MISS M. Harkless 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.08,Missed,,,,,,,,,,,,,,,,,,,
56,PT06M52.00S,2021-10-25T01:17:56.7Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,12,12,2021-10-25T01:17:57Z,550000,,,0,,J. Poole REBOUND (Off:0 Def:2),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,
57,PT06M46.00S,2021-10-25T01:18:02.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203110,93.38042049934296,50.98039215686274,1610612744,12,14,2021-10-25T01:18:07Z,560000,5.0,10.0,1,right,D. Green cutting DUNK (2 PTS) (S. Curry 2 AST),"[203110, 201939]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,1.09,Made,2.0,S. Curry,201939.0,2.0,,,,,,,,,,,,,,,
