actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
18,PT10M35.00S,2021-11-23T03:12:29.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627777,75.77201051248358,86.51960784313727,1610612755,3,7,2021-11-23T03:12:35Z,180000,183.0,175.0,1,right,G. Niang 25' 3PT  (3 PTS) (F. Korkmaz 1 AST),"[1627777, 1627788]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,25.31,Made,3.0,,,,,,F. Korkmaz,1627788.0,1.0,,,,,,,,,,
20,PT10M22.00S,2021-11-23T03:12:42.1Z,1,REGULAR,3pt,Jump Shot,[],1630169,31.882391590013142,52.20588235294118,1610612758,3,7,2021-11-23T03:12:53Z,200000,-11.0,247.0,1,left,MISS T. Haliburton 24' 3PT,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,24.74,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2021-11-23T03:12:45.1Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612758,3,7,2021-11-23T03:13:46Z,210000,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,20.0,1.0,0.0,1.0,,,
22,PT10M19.00S,2021-11-23T03:12:52.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1626158,5.590000152587891,50.0,1610612758,5,7,2021-11-23T03:13:51Z,220000,0.0,0.0,1,left,R. Holmes tip DUNK (2 PTS),[1626158],1610612758.0,SAC,tip,,,Holmes,R. Holmes,,,,,0.0,Made,2.0,,,,,,,,,,,,,,,,,,
23,PT10M03.00S,2021-11-23T03:13:01.9Z,1,REGULAR,3pt,Jump Shot,[],1630178,74.85216819973719,84.06862745098039,1610612755,5,7,2021-11-23T03:13:11Z,230000,170.0,184.0,1,right,MISS T. Maxey 25' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,25.06,Missed,,,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2021-11-23T03:13:05.9Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,5,7,2021-11-23T03:13:11Z,240000,,,0,,R. Holmes REBOUND (Off:1 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,23.0,2.0,1.0,1.0,,,
25,PT09M54.00S,2021-11-23T03:13:11.1Z,1,REGULAR,3pt,Jump Shot,[],203090,22.026938239159,9.068627450980392,1610612758,5,7,2021-11-23T03:13:17Z,250000,205.0,155.0,1,left,MISS M. Harkless 25' 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,25.65,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M50.00S,2021-11-23T03:13:15.1Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,5,7,2021-11-23T03:13:17Z,260000,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,
27,PT09M45.00S,2021-11-23T03:13:19.4Z,1,REGULAR,3pt,Jump Shot,[],1627777,68.80749014454665,29.65686274509804,1610612755,5,7,2021-11-23T03:13:31Z,270000,-102.0,241.0,1,right,MISS G. Niang 26' pullup 3PT,[1627777],1610612755.0,PHI,pullup,,,Niang,G. Niang,,,,,26.13,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M42.00S,2021-11-23T03:13:22.4Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,5,7,2021-11-23T03:13:31Z,280000,,,0,,R. Holmes REBOUND (Off:1 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,27.0,3.0,2.0,1.0,,,
29,PT09M37.00S,2021-11-23T03:13:28.3Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,5,7,2021-11-23T03:13:34Z,290000,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 1627788]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,1.0,Korkmaz,1627788.0,,,,,,,
30,PT09M37.00S,2021-11-23T03:13:28.3Z,1,REGULAR,steal,,[],1627788,,,1610612755,5,7,2021-11-23T03:13:30Z,300000,,,0,,F. Korkmaz STEAL (1 STL),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M28.00S,2021-11-23T03:13:40.1Z,1,REGULAR,foul,personal,[],203090,,,1610612755,5,7,2021-11-23T03:14:05Z,310000,,,0,,M. Harkless personal FOUL (1 PF),"[203090, 1627788]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,201246.0,1.0,0.0,Korkmaz,1627788.0,,,,,,,,,,,,,
33,PT09M14.00S,2021-11-23T03:14:11.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627788,94.56307490144546,66.17647058823529,1610612755,5,7,2021-11-23T03:14:16Z,330000,81.0,-1.0,1,right,MISS F. Korkmaz 8' fadeaway Shot,[1627788],1610612755.0,PHI,fadeaway,,,Korkmaz,F. Korkmaz,,,,,8.09,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M10.00S,2021-11-23T03:14:15.4Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,5,7,2021-11-23T03:14:16Z,340000,,,0,,R. Holmes REBOUND (Off:1 Def:3),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,33.0,4.0,3.0,1.0,,,
35,PT09M08.00S,2021-11-23T03:14:17.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628368,5.338370565045992,54.41176470588235,1610612758,5,7,2021-11-23T03:14:23Z,350000,-22.0,-2.0,1,left,MISS D. Fox running Layup,[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,2.22,Missed,,,,,,,,,,,,,,,,,,,
36,PT09M06.00S,2021-11-23T03:14:19.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,5,7,2021-11-23T03:14:23Z,360000,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,
37,PT09M01.00S,2021-11-23T03:14:24.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629680,93.24901445466492,50.73529411764706,1610612755,5,9,2021-11-23T03:14:33Z,370000,4.0,11.0,1,right,M. Thybulle running DUNK (4 PTS) (T. Maxey 1 AST),"[1629680, 1630178]",1610612755.0,PHI,running,,,Thybulle,M. Thybulle,,,,,1.16,Made,4.0,,,,,,T. Maxey,1630178.0,1.0,,,,,,,,,,
39,PT08M46.00S,2021-11-23T03:14:39.3Z,1,REGULAR,turnover,lost ball,[],203084,,,1610612758,5,9,2021-11-23T03:14:47Z,390000,,,0,,H. Barnes lost ball TURNOVER (2 TO),"[203084, 1630178]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,2.0,Maxey,1630178.0,,,,,,,
40,PT08M46.00S,2021-11-23T03:14:39.3Z,1,REGULAR,steal,,[],1630178,,,1610612755,5,9,2021-11-23T03:14:42Z,400000,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M43.00S,2021-11-23T03:14:45.6Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612755,5,9,2021-11-23T03:15:14Z,410000,,,0,,D. Fox shooting personal FOUL (1 PF) (Maxey 2 FT),"[1628368, 1630178]",1610612758.0,SAC,shooting,,,Fox,D. Fox,,,,,,,,1155.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,,,,
43,PT08M43.00S,2021-11-23T03:15:12.6Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630178,,,1610612755,5,10,2021-11-23T03:15:12Z,430000,,,0,,T. Maxey Free Throw 1 of 2 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
44,PT08M43.00S,2021-11-23T03:15:34.9Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630178,,,1610612755,5,11,2021-11-23T03:15:34Z,440000,,,0,,T. Maxey Free Throw 2 of 2 (4 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
45,PT08M23.00S,2021-11-23T03:16:01.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628368,13.091327201051248,52.450980392156865,1610612758,7,11,2021-11-23T03:16:07Z,450000,-12.0,71.0,1,left,D. Fox 7' turnaround Hook (2 PTS),[1628368],1610612758.0,SAC,turnaround,,,Fox,D. Fox,,,,,7.17,Made,2.0,,,,,,,,,,,,,,,,,,
46,PT08M23.00S,2021-11-23T03:16:04.4Z,1,REGULAR,foul,personal,['1freethrow'],1630178,,,1610612758,7,11,2021-11-23T03:16:20Z,460000,,,0,,T. Maxey shooting personal FOUL (1 PF) (Fox 1 FT),"[1630178, 1628368]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,,,,1155.0,1.0,0.0,Fox,1628368.0,,,,,,,,,,,,,
48,PT08M23.00S,2021-11-23T03:16:21.6Z,1,REGULAR,freethrow,1 of 1,[],1628368,,,1610612758,8,11,2021-11-23T03:16:21Z,480000,,,0,,D. Fox Free Throw 1 of 1 (3 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
49,PT08M09.00S,2021-11-23T03:16:36.5Z,1,REGULAR,3pt,Jump Shot,[],1627777,87.46714848883047,3.431372549019608,1610612755,8,11,2021-11-23T03:16:41Z,490000,-233.0,65.0,1,right,MISS G. Niang 24' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,24.18,Missed,,,,,,,,,,,,,,,,,,,
50,PT08M06.00S,2021-11-23T03:16:39.5Z,1,REGULAR,rebound,defensive,[],203090,,,1610612758,8,11,2021-11-23T03:16:41Z,500000,,,0,,M. Harkless REBOUND (Off:0 Def:1),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,49.0,1.0,1.0,0.0,,,
51,PT08M00.00S,2021-11-23T03:16:47.8Z,1,REGULAR,foul,personal,['2freethrow'],1627788,,,1610612758,8,11,2021-11-23T03:16:57Z,510000,,,0,,F. Korkmaz shooting personal FOUL (1 PF) (Harkless 2 FT),"[1627788, 203090]",1610612755.0,PHI,shooting,,,Korkmaz,F. Korkmaz,,,,,,,,201246.0,1.0,0.0,Harkless,203090.0,,,,,,,,,,,,,
53,PT08M00.00S,2021-11-23T03:17:13.7Z,1,REGULAR,freethrow,1 of 2,[],203090,,,1610612758,9,11,2021-11-23T03:17:13Z,530000,,,0,,M. Harkless Free Throw 1 of 2 (1 PTS),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
54,PT08M00.00S,2021-11-23T03:17:30.4Z,1,REGULAR,freethrow,2 of 2,[],203090,,,1610612758,10,11,2021-11-23T03:17:30Z,540000,,,0,,M. Harkless Free Throw 2 of 2 (2 PTS),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
55,PT07M47.00S,2021-11-23T03:17:44.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,84.31340341655716,51.225490196078425,1610612755,10,11,2021-11-23T03:17:48Z,550000,6.0,95.0,1,right,MISS F. Korkmaz 9' floating Shot,[1627788],1610612755.0,PHI,floating,,,Korkmaz,F. Korkmaz,,,,,9.52,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M45.00S,2021-11-23T03:17:46.2Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,10,11,2021-11-23T03:17:48Z,560000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,55.0,1.0,1.0,0.0,,,
57,PT07M37.00S,2021-11-23T03:18:01.4Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612758,10,11,2021-11-23T03:18:12Z,570000,,,0,,T. Maxey shooting personal FOUL (2 PF) (Fox 2 FT),"[1630178, 1628368]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,,,,1628951.0,2.0,0.0,Fox,1628368.0,,,,,,,,,,,,,
59,PT07M37.00S,2021-11-23T03:18:20.4Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612758,11,11,2021-11-23T03:18:20Z,590000,,,0,,D. Fox Free Throw 1 of 2 (4 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
60,PT07M37.00S,2021-11-23T03:18:24.7Z,1,REGULAR,substitution,out,[],1630178,,,1610612758,11,11,2021-11-23T03:18:29Z,600000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M37.00S,2021-11-23T03:18:24.7Z,1,REGULAR,substitution,in,[],1629003,,,1610612758,11,11,2021-11-23T03:18:29Z,610000,,,0,,SUB in: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M37.00S,2021-11-23T03:18:37.2Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612758,12,11,2021-11-23T03:18:37Z,620000,,,0,,D. Fox Free Throw 2 of 2 (5 PTS),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,Made,5.0,,,,,,,,,,,,,,,,,,
63,PT07M19.00S,2021-11-23T03:18:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,94.03745072273325,61.274509803921575,1610612755,12,11,2021-11-23T03:19:01Z,630000,56.0,4.0,1,right,MISS A. Drummond Layup,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,5.65,Missed,,,,,,,,,,,,,,,,,,,
64,PT07M16.00S,2021-11-23T03:18:58.4Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,12,11,2021-11-23T03:19:01Z,640000,,,0,,R. Holmes REBOUND (Off:1 Def:4),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,63.0,5.0,4.0,1.0,,,
65,PT06M56.00S,2021-11-23T03:19:20.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,29.122864651773984,25.0,1610612758,15,11,2021-11-23T03:19:26Z,650000,125.0,221.0,1,left,D. Fox 25' 3PT step back (8 PTS),[1628368],1610612758.0,SAC,step back,,,Fox,D. Fox,,,,,25.42,Made,8.0,,,,,,,,,,,,,,,,,,
66,PT06M48.00S,2021-11-23T03:19:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,15,11,2021-11-23T03:19:33Z,660000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M48.00S,2021-11-23T03:21:54.2Z,1,REGULAR,substitution,out,[],1630169,,,1610612755,15,11,2021-11-23T03:22:23Z,670000,,,0,,SUB out: T. Haliburton,[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M48.00S,2021-11-23T03:21:54.2Z,1,REGULAR,substitution,out,[],203090,,,1610612755,15,11,2021-11-23T03:22:23Z,680000,,,0,,SUB out: M. Harkless,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M48.00S,2021-11-23T03:21:54.2Z,1,REGULAR,substitution,out,[],1626158,,,1610612755,15,11,2021-11-23T03:22:23Z,690000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M48.00S,2021-11-23T03:21:54.2Z,1,REGULAR,substitution,in,[],203458,,,1610612755,15,11,2021-11-23T03:22:23Z,700000,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M48.00S,2021-11-23T03:21:54.2Z,1,REGULAR,substitution,in,[],1630558,,,1610612755,15,11,2021-11-23T03:22:23Z,710000,,,0,,SUB in: D. Mitchell,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M48.00S,2021-11-23T03:21:54.2Z,1,REGULAR,substitution,in,[],1627741,,,1610612755,15,11,2021-11-23T03:22:23Z,720000,,,0,,SUB in: B. Hield,[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M40.00S,2021-11-23T03:22:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629003,67.49342969776609,54.90196078431373,1610612755,15,14,2021-11-23T03:22:39Z,730000,25.0,253.0,1,right,S. Milton 25' 3PT  (3 PTS) (F. Korkmaz 2 AST),"[1629003, 1627788]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,25.43,Made,3.0,,,,,,F. Korkmaz,1627788.0,2.0,,,,,,,,,,
74,PT06M20.00S,2021-11-23T03:22:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,11.514454664914586,55.88235294117647,1610612758,15,14,2021-11-23T03:24:53Z,740000,-29.0,56.0,1,left,MISS B. Hield 6' floating Shot - blocked,"[1627741, 203083]",1610612758.0,SAC,floating,,,Hield,B. Hield,,,,,6.3,Missed,,,,,,,,,,,,,,,,,Drummond,203083.0,
75,PT06M20.00S,2021-11-23T03:22:47.1Z,1,REGULAR,block,,[],203083,,,1610612758,15,14,2021-11-23T03:22:49Z,750000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M18.00S,2021-11-23T03:22:49.1Z,1,REGULAR,rebound,offensive,[],1627741,,,1610612758,15,14,2021-11-23T03:22:51Z,760000,,,0,,B. Hield REBOUND (Off:1 Def:0),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,74.0,1.0,0.0,1.0,,,
77,PT06M16.00S,2021-11-23T03:22:52.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203458,15.719448094612352,50.0,1610612758,15,14,2021-11-23T03:22:56Z,770000,0.0,95.0,1,left,MISS A. Len 9' floating Shot - blocked,"[203458, 203083]",1610612758.0,SAC,floating,,,Len,A. Len,,,,,9.53,Missed,,,,,,,,,,,,,,,,,Drummond,203083.0,
78,PT06M16.00S,2021-11-23T03:22:52.6Z,1,REGULAR,block,,[],203083,,,1610612758,15,14,2021-11-23T03:22:54Z,780000,,,0,,A. Drummond BLOCK (2 BLK),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M13.00S,2021-11-23T03:22:55.6Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,15,14,2021-11-23T03:22:56Z,790000,,,0,,A. Drummond REBOUND (Off:0 Def:3),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,77.0,3.0,3.0,0.0,,,
80,PT06M05.00S,2021-11-23T03:23:03.2Z,1,REGULAR,3pt,Jump Shot,[],1627788,93.38042049934296,3.431372549019608,1610612755,15,17,2021-11-23T03:23:08Z,800000,-233.0,10.0,1,right,F. Korkmaz 3PT  (3 PTS) (A. Drummond 2 AST),"[1627788, 203083]",1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,23.3,Made,3.0,,,,,,A. Drummond,203083.0,2.0,,,,,,,,,,
82,PT05M49.00S,2021-11-23T03:23:22.7Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203083,,,1610612758,15,17,2021-11-23T03:23:55Z,820000,,,0,,A. Drummond personal FOUL (1 PF) (Len 2 FT),"[203083, 203458]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,1155.0,1.0,0.0,Len,203458.0,,,,,,,,,,,,,
84,PT05M49.00S,2021-11-23T03:23:56.9Z,1,REGULAR,freethrow,1 of 2,[],203458,,,1610612758,16,17,2021-11-23T03:24:17Z,840000,,,0,,A. Len Free Throw 1 of 2 (1 PTS),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
85,PT05M49.00S,2021-11-23T03:23:56.9Z,1,REGULAR,freethrow,2 of 2,[],203458,,,1610612758,16,17,2021-11-23T03:24:17Z,850000,,,0,,MISS A. Len Free Throw 2 of 2,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,Missed,,,,,,,,,,,,,,,,,,,
86,PT05M47.00S,2021-11-23T03:23:58.9Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,16,17,2021-11-23T03:24:17Z,860000,,,0,,A. Drummond REBOUND (Off:0 Def:4),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,85.0,4.0,4.0,0.0,,,
87,PT05M31.00S,2021-11-23T03:24:31.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627788,84.57621550591328,58.57843137254902,1610612755,16,17,2021-11-23T03:29:10Z,870000,43.0,92.0,1,right,MISS F. Korkmaz 10' driving floating Shot,[1627788],1610612755.0,PHI,driving floating,,,Korkmaz,F. Korkmaz,,,,,10.2,Missed,,,,,,,,,,,,,,,,,,,
88,PT05M28.00S,2021-11-23T03:24:34.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612758,16,17,2021-11-23T03:24:37Z,880000,,,0,,B. Hield REBOUND (Off:1 Def:1),[1627741],1610612758.0,SAC,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,87.0,2.0,1.0,1.0,,,
89,PT05M14.00S,2021-11-23T03:24:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203458,8.754927726675426,47.05882352941176,1610612758,16,17,2021-11-23T03:29:48Z,890000,15.0,30.0,1,left,MISS A. Len driving Layup,[203458],1610612758.0,SAC,driving,,,Len,A. Len,,,,,3.32,Missed,,,,,,,,,,,,,,,,,,,
