actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-23T03:10:16.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-23T03:10:16Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-23T03:10:19.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2021-11-23T03:10:19Z,40000,,,0,,Jump Ball A. Drummond vs. R. Holmes: Tip to T. Maxey,"[1630178, 203083, 1626158]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2021-11-23T03:10:41.9Z,1,REGULAR,2pt,Jump Shot,[],1630178,75.64060446780552,66.42156862745098,1610612755,0,2,2021-11-23T03:10:47Z,70000,82.0,176.0,1,right,T. Maxey 19' pullup Jump Shot (2 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,19.47,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M18.00S,2021-11-23T03:11:01.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,7.440867279894875,40.68627450980392,1610612758,2,2,2021-11-23T03:11:40Z,80000,47.0,17.0,1,left,H. Barnes driving Layup (2 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,4.97,Made,2.0,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2021-11-23T03:11:05.5Z,1,REGULAR,foul,personal,['1freethrow'],1627777,,,1610612758,2,2,2021-11-23T03:11:19Z,90000,,,0,,G. Niang shooting personal FOUL (1 PF) (Barnes 1 FT),"[1627777, 203084]",1610612755.0,PHI,shooting,,,Niang,G. Niang,,,,,,,,1628951.0,1.0,0.0,Barnes,203084.0,,,,,,,,,,,,,
11,PT11M18.00S,2021-11-23T03:11:28.2Z,1,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,3,2,2021-11-23T03:11:28Z,110000,,,0,,H. Barnes Free Throw 1 of 1 (3 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2021-11-23T03:11:46.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629680,92.72339027595268,49.754901960784316,1610612755,3,4,2021-11-23T03:11:51Z,120000,-1.0,16.0,1,right,M. Thybulle cutting DUNK (2 PTS) (A. Drummond 1 AST),"[1629680, 203083]",1610612755.0,PHI,cutting,,,Thybulle,M. Thybulle,,,,,1.59,Made,2.0,,,,,,A. Drummond,203083.0,1.0,,,,,,,,,,
14,PT10M48.00S,2021-11-23T03:11:59.2Z,1,REGULAR,turnover,lost ball,[],203084,,,1610612758,3,4,2021-11-23T03:12:05Z,140000,,,0,,H. Barnes lost ball TURNOVER (1 TO),"[203084, 1629680]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,1.0,Thybulle,1629680.0,,,,,,,
15,PT10M48.00S,2021-11-23T03:11:59.2Z,1,REGULAR,steal,,[],1629680,,,1610612755,3,4,2021-11-23T03:12:02Z,150000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M48.00S,2021-11-23T03:12:05.0Z,1,REGULAR,foul,personal,[],203084,,,1610612755,3,4,2021-11-23T03:12:57Z,160000,,,0,,H. Barnes take personal FOUL (1 PF),"[203084, 1630178]",1610612758.0,SAC,take,,,Barnes,H. Barnes,,,,,,,,201246.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,,,,
