actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-25T03:10:40.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-25T03:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2021-11-25T03:10:45.9Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612757,0,0,2021-11-25T03:10:45Z,40000,,,0,,Jump Ball J. Nurkic vs. A. Len: Tip to D. Lillard,"[203081, 203994, 203458]",1610612757.0,POR,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Nurkic,203994.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-11-25T03:11:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203496,94.43166885676742,53.67647058823529,1610612757,0,0,2021-11-25T03:11:05Z,70000,18.0,0.0,1,right,MISS R. Covington Layup,[203496],1610612757.0,POR,,,,Covington,R. Covington,,,,,1.84,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-11-25T03:11:03.9Z,1,REGULAR,rebound,defensive,[],203458,,,1610612758,0,0,2021-11-25T03:11:04Z,80000,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2021-11-25T03:11:09.9Z,1,REGULAR,2pt,Jump Shot,[],1628368,18.74178712220762,31.61764705882353,1610612758,2,0,2021-11-25T03:11:14Z,90000,92.0,124.0,1,left,D. Fox 15' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,15.41,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M14.00S,2021-11-25T03:11:25.3Z,1,REGULAR,turnover,lost ball,[],203496,,,1610612757,2,0,2021-11-25T03:12:00Z,100000,,,0,,R. Covington lost ball TURNOVER (1 TO),"[203496, 1628368]",1610612757.0,POR,,,,Covington,R. Covington,,,,,,,,,,,,1.0,Fox,1628368.0,,,,,,,,,,,
11,PT11M14.00S,2021-11-25T03:11:25.3Z,1,REGULAR,steal,,[],1628368,,,1610612758,2,0,2021-11-25T03:11:29Z,110000,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2021-11-25T03:11:34.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203458,6.389618922470433,49.26470588235294,1610612758,4,0,2021-11-25T03:11:46Z,120000,4.0,8.0,1,left,A. Len alley-oop DUNK (2 PTS) (T. Haliburton 1 AST),"[203458, 1630169]",1610612758.0,SAC,alley-oop,,,Len,A. Len,,,,,0.85,Made,,,,,2.0,,,,T. Haliburton,1630169.0,1.0,,,,,,,,
14,PT10M51.00S,2021-11-25T03:11:47.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,89.56964520367937,51.9607843137255,1610612757,4,0,2021-11-25T03:11:55Z,140000,10.0,46.0,1,right,MISS J. Nurkic Hook,[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,4.65,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2021-11-25T03:11:49.6Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,4,0,2021-11-25T03:11:49Z,150000,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
16,PT10M48.00S,2021-11-25T03:11:51.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203994,91.5407358738502,49.754901960784316,1610612757,4,2,2021-11-25T03:12:07Z,160000,-1.0,27.0,1,right,J. Nurkic Hook (2 PTS),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,2.7,Made,,,,,2.0,,,,,,,,,,,,,,
17,PT10M34.00S,2021-11-25T03:12:06.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.338370565045992,53.18627450980392,1610612758,4,2,2021-11-25T03:13:28Z,170000,-16.0,-2.0,1,left,MISS D. Fox driving finger roll Layup,[1628368],1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,1.61,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2021-11-25T03:12:10.0Z,1,REGULAR,rebound,offensive,[],203090,,,1610612758,4,2,2021-11-25T03:12:10Z,180000,,,0,,M. Harkless REBOUND (Off:1 Def:0),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
19,PT10M30.00S,2021-11-25T03:12:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203090,5.590000152587891,50.0,1610612758,4,2,2021-11-25T03:12:10Z,190000,0.0,0.0,1,left,MISS M. Harkless tip Layup,[203090],1610612758.0,SAC,tip,,,Harkless,M. Harkless,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M29.00S,2021-11-25T03:12:10.7Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612758,4,2,2021-11-25T03:12:10Z,200000,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
21,PT10M26.00S,2021-11-25T03:12:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203090,7.046649145860711,43.38235294117647,1610612758,6,2,2021-11-25T03:14:00Z,210000,33.0,14.0,1,left,M. Harkless reverse Layup (2 PTS) (T. Haliburton 2 AST),"[203090, 1630169]",1610612758.0,SAC,reverse,,,Harkless,M. Harkless,,,,,3.58,Made,,,,,2.0,,,,T. Haliburton,1630169.0,2.0,,,,,,,,
23,PT10M21.00S,2021-11-25T03:12:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203468,94.69448094612353,53.67647058823529,1610612757,6,4,2021-11-25T03:12:34Z,230000,18.0,-3.0,1,right,C. McCollum running Layup (2 PTS),[203468],1610612757.0,POR,running,,,McCollum,C. McCollum,,,,,1.86,Made,,,,,2.0,,,,,,,,,,,,,,
24,PT10M04.00S,2021-11-25T03:12:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.652431011826544,51.71568627450981,1610612758,8,4,2021-11-25T03:12:47Z,240000,-9.0,10.0,1,left,H. Barnes driving Layup (2 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,1.32,Made,,,,,2.0,,,,,,,,,,,,,,
25,PT10M04.00S,2021-11-25T03:12:42.8Z,1,REGULAR,foul,personal,['1freethrow'],1626181,,,1610612758,8,4,2021-11-25T03:12:58Z,250000,,,0,,N. Powell shooting personal FOUL (1 PF) (Barnes 1 FT),"[1626181, 203084]",1610612757.0,POR,shooting,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,1627964.0,1.0,0.0,Barnes,203084.0,,,
27,PT10M04.00S,2021-11-25T03:13:01.1Z,1,REGULAR,freethrow,1 of 1,[],203084,,,1610612758,9,4,2021-11-25T03:13:01Z,270000,,,0,,H. Barnes Free Throw 1 of 1 (3 PTS),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,Made,,,,,3.0,,,,,,,,,,,,,,
