actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-06T02:10:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-06T02:10:14Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-06T02:10:17.7Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2021-11-06T02:10:17Z,40000,,,0,,Jump Ball M. Plumlee vs. R. Holmes: Tip to L. Ball,"[1630163, 203486, 1626158]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2021-11-06T02:10:37.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628970,89.17542706964521,37.00980392156863,1610612766,0,0,2021-11-06T02:10:43Z,70000,-65.0,49.0,1,right,MISS M. Bridges 8' Hook,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,8.16,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2021-11-06T02:10:40.6Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,0,0,2021-11-06T02:10:40Z,80000,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2021-11-06T02:10:42.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630169,6.652431011826544,50.0,1610612758,2,0,2021-11-06T02:10:50Z,90000,0.0,10.0,1,left,T. Haliburton running DUNK (2 PTS) (D. Fox 1 AST),"[1630169, 1628368]",1610612758.0,SAC,running,,,Haliburton,T. Haliburton,,,,,1.0,Made,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,,
11,PT11M19.00S,2021-11-06T02:10:53.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,92.46057818659659,96.81372549019608,1610612766,2,0,2021-11-06T02:11:00Z,110000,234.0,18.0,1,right,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,23.48,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2021-11-06T02:10:57.5Z,1,REGULAR,rebound,offensive,[],203486,,,1610612766,2,0,2021-11-06T02:10:57Z,120000,,,0,,M. Plumlee REBOUND (Off:1 Def:0),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
13,PT11M11.00S,2021-11-06T02:11:01.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,82.34231274638634,94.11764705882352,1610612766,2,3,2021-11-06T02:11:06Z,130000,221.0,113.0,1,right,L. Ball 24' 3PT  (3 PTS) (M. Plumlee 1 AST),"[1630163, 203486]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,24.81,Made,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,,
15,PT10M51.00S,2021-11-06T02:11:21.6Z,1,REGULAR,3pt,Jump Shot,[],203084,9.411957950065702,4.411764705882353,1610612758,5,3,2021-11-06T02:11:27Z,150000,228.0,36.0,1,left,H. Barnes 3PT  (3 PTS) (M. Harkless 1 AST),"[203084, 203090]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,23.07,Made,,,,,3.0,M. Harkless,203090.0,1.0,,,,,,,,,,,
17,PT10M44.00S,2021-11-06T02:11:28.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,84.1819973718791,96.56862745098039,1610612766,5,6,2021-11-06T02:11:38Z,170000,233.0,96.0,1,right,G. Hayward 25' 3PT running (3 PTS) (L. Ball 1 AST),"[202330, 1630163]",1610612766.0,CHA,running,,,Hayward,G. Hayward,,,,,25.19,Made,,,,,3.0,L. Ball,1630163.0,1.0,,,,,,,,,,,
19,PT10M33.00S,2021-11-06T02:11:39.7Z,1,REGULAR,3pt,Jump Shot,[],203090,32.53942181340342,53.92156862745098,1610612758,5,6,2021-11-06T02:11:46Z,190000,-20.0,253.0,1,left,MISS M. Harkless 25' 3PT,[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M28.00S,2021-11-06T02:11:44.7Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,5,6,2021-11-06T02:11:46Z,200000,,,0,,M. Plumlee REBOUND (Off:1 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,19.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
21,PT10M15.00S,2021-11-06T02:11:58.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202330,89.30683311432325,54.41176470588235,1610612766,5,8,2021-11-06T02:12:04Z,210000,22.0,48.0,1,right,G. Hayward Hook (5 PTS) (M. Bridges 1 AST),"[202330, 1628970]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,5.28,Made,,,,,5.0,M. Bridges,1628970.0,1.0,,,,,,,,,,,
23,PT10M06.00S,2021-11-06T02:12:06.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,15.062417871222076,49.26470588235294,1610612758,7,8,2021-11-06T02:12:13Z,230000,4.0,89.0,1,left,R. Holmes 8' floating Jump Shot (2 PTS) (H. Barnes 1 AST),"[1626158, 203084]",1610612758.0,SAC,floating,,,Holmes,R. Holmes,,,,,8.92,Made,,,,,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,,
25,PT09M46.00S,2021-11-06T02:12:27.2Z,1,REGULAR,3pt,Jump Shot,[],202330,68.80749014454665,66.42156862745098,1610612766,7,8,2021-11-06T02:13:31Z,250000,82.0,241.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.43,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M43.00S,2021-11-06T02:12:30.2Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,7,8,2021-11-06T02:12:33Z,260000,,,0,,R. Holmes REBOUND (Off:0 Def:2),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
27,PT09M33.00S,2021-11-06T02:12:41.1Z,1,REGULAR,3pt,Jump Shot,[],203090,5.863994743758213,96.81372549019608,1610612758,10,8,2021-11-06T02:12:53Z,270000,-234.0,3.0,1,left,M. Harkless 3PT  (3 PTS) (D. Fox 2 AST),"[203090, 1628368]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.41,Made,,,,,3.0,D. Fox,1628368.0,2.0,,,,,,,,,,,
29,PT09M17.00S,2021-11-06T02:12:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,93.64323258869908,45.09803921568628,1610612766,10,8,2021-11-06T02:13:01Z,290000,-25.0,7.0,1,right,MISS T. Rozier driving Layup,[1626179],1610612766.0,CHA,driving,,,Rozier,T. Rozier,,,,,2.56,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M15.00S,2021-11-06T02:12:57.6Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612758,10,8,2021-11-06T02:12:57Z,300000,,,0,,R. Holmes REBOUND (Off:0 Def:3),[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
31,PT09M05.00S,2021-11-06T02:13:07.5Z,1,REGULAR,3pt,Jump Shot,[],203090,6.389618922470433,97.05882352941177,1610612758,13,8,2021-11-06T02:13:13Z,310000,-235.0,8.0,1,left,M. Harkless 3PT  (6 PTS) (D. Fox 3 AST),"[203090, 1628368]",1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,23.54,Made,,,,,6.0,D. Fox,1628368.0,3.0,,,,,,,,,,,
33,PT08M53.00S,2021-11-06T02:13:19.3Z,1,REGULAR,3pt,Jump Shot,[],202330,73.80091984231275,83.08823529411765,1610612766,13,8,2021-11-06T02:13:26Z,330000,165.0,194.0,1,right,MISS G. Hayward 25' 3PT,[202330],1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M49.00S,2021-11-06T02:13:23.3Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,13,8,2021-11-06T02:13:26Z,340000,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
