actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-02-03T03:10:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-03T03:10:39Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-03T03:10:45.0Z,1,REGULAR,jumpball,recovered,[],201988,,,1610612751,0,0,2022-02-03T03:10:45Z,40000,,,0,,Jump Ball N. Claxton vs. R. Holmes: Tip to P. Mills,"[201988, 1629651, 1626158]",1610612751.0,BKN,startperiod,P. Mills,201988.0,Mills,P. Mills,Claxton,1629651.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-02-03T03:10:59.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,91.93495400788436,51.470588235294116,1610612751,0,2,2022-02-03T03:41:36Z,70000,7.0,23.0,1,right,N. Claxton cutting finger roll Layup (2 PTS) (J. Harden 1 AST),"[1629651, 201935]",1610612751.0,BKN,cutting finger roll,,,Claxton,N. Claxton,,,,,2.44,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-02-03T03:11:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,13.61695137976347,45.34313725490196,1610612758,2,2,2022-02-03T03:11:28Z,90000,23.0,75.0,1,left,H. Barnes 7' floating Jump Shot (2 PTS) (R. Holmes 1 AST),"[203084, 1626158]",1610612758.0,SAC,floating,,,Barnes,H. Barnes,,,,,7.9,Made,2.0,R. Holmes,1626158.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2022-02-03T03:11:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,92.59198423127464,44.11764705882353,1610612751,2,2,2022-02-03T03:11:38Z,110000,-29.0,17.0,1,right,MISS J. Harden driving Layup - blocked,"[201935, 203090]",1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,3.4,Missed,,,,,Harkless,203090.0,,,,,,,,,,,,
12,PT11M09.00S,2022-02-03T03:11:29.4Z,1,REGULAR,block,,[],203090,,,1610612751,2,2,2022-02-03T03:11:33Z,120000,,,0,,M. Harkless BLOCK (1 BLK),[203090],1610612758.0,SAC,,,,Harkless,M. Harkless,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2022-02-03T03:11:34.4Z,1,REGULAR,rebound,defensive,[],1630558,,,1610612758,2,2,2022-02-03T03:11:38Z,130000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT11M02.00S,2022-02-03T03:11:36.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,12.697109067017081,96.07843137254902,1610612758,2,2,2022-02-03T04:30:39Z,140000,-230.0,67.0,1,left,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,23.99,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2022-02-03T03:11:40.3Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,2,2,2022-02-03T03:11:49Z,150000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M44.00S,2022-02-03T03:11:54.8Z,1,REGULAR,2pt,Jump Shot,[],202681,91.27792378449409,67.40196078431373,1610612751,2,2,2022-02-03T03:12:02Z,160000,87.0,29.0,1,right,MISS K. Irving 9' turnaround bank Shot,[202681],1610612751.0,BKN,turnaround bank,,,Irving,K. Irving,,,,,9.19,Missed,,,,,,,,,,,,,,,,,,
