actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-08T03:40:27.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-08T03:40:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-08T03:40:30.5Z,1,REGULAR,jumpball,recovered,[],1626168,,,1610612758,0,0,2022-03-08T03:40:30Z,40000,,,0,,Jump Ball D. Sabonis vs. M. Robinson: Tip to T. Lyles,"[1626168, 1627734, 1629011]",1610612758.0,SAC,startperiod,T. Lyles,1626168.0,Lyles,T. Lyles,Sabonis,1627734.0,Robinson,1629011.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-03-08T03:40:48.5Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612758,0,0,2022-03-08T03:41:02Z,70000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1629011, 1627734]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,1626300.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,
9,PT11M39.00S,2022-03-08T03:41:15.0Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,1,0,2022-03-08T03:41:15Z,90000,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M39.00S,2022-03-08T03:41:32.0Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,2,0,2022-03-08T03:41:32Z,100000,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M27.00S,2022-03-08T03:41:46.3Z,1,REGULAR,3pt,Jump Shot,[],1629628,66.96780551905388,52.450980392156865,1610612752,2,0,2022-03-08T03:41:52Z,110000,12.0,258.0,1,right,MISS R. Barrett 25' pullup 3PT,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,,,,,,Missed,,25.83,,,,,,,,,,,,,
12,PT11M24.00S,2022-03-08T03:41:49.1Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,2,0,2022-03-08T03:41:49Z,120000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M21.00S,2022-03-08T03:41:52.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626168,22.552562417871222,10.53921568627451,1610612758,5,0,2022-03-08T03:42:02Z,130000,197.0,159.0,1,left,T. Lyles 25' 3PT running (3 PTS) (D. Fox 1 AST),"[1626168, 1628368]",1610612758.0,SAC,running,,,Lyles,T. Lyles,,,,,,,,,,Made,3.0,25.37,,,,,D. Fox,1628368.0,1.0,,,,,,
15,PT11M07.00S,2022-03-08T03:42:06.1Z,1,REGULAR,3pt,Jump Shot,[],203944,67.09921156373193,50.73529411764706,1610612752,5,0,2022-03-08T03:42:12Z,150000,4.0,257.0,1,right,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,,,,,,Missed,,25.68,,,,,,,,,,,,,
16,PT11M05.00S,2022-03-08T03:42:08.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,5,0,2022-03-08T03:42:12Z,160000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M58.00S,2022-03-08T03:42:15.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.5722733245729295,51.470588235294116,1610612758,7,0,2022-03-08T03:43:42Z,170000,-7.0,19.0,1,left,D. Sabonis driving Layup (4 PTS),[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,,,,,,Made,4.0,2.01,,,,,,,,,,,,,
