actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-02T23:10:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-02T23:10:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-02T23:10:26.6Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-01-02T23:10:26Z,40000,,,0,,Jump Ball O. Yurtseven vs. D. Jones: Tip to K. Lowry,"[200768, 1630209, 1627745]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Yurtseven,1630209.0,Jones,1627745.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-02T23:10:40.2Z,1,REGULAR,3pt,Jump Shot,[],1629639,72.09264126149803,21.07843137254902,1610612748,0,0,2022-01-02T23:10:49Z,70000,-145.0,210.0,1,right,MISS T. Herro 25' 3PT,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2022-01-02T23:10:47.2Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612758,0,0,2022-01-02T23:10:49Z,80000,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2022-01-02T23:10:52.9Z,1,REGULAR,turnover,lost ball,[],1627745,,,1610612758,0,0,2022-01-02T23:10:59Z,90000,,,0,,D. Jones lost ball TURNOVER (1 TO),"[1627745, 1628997]",1610612758.0,SAC,,,,Jones,D. Jones,,,,,,,,,,,1.0,Martin,1628997.0,,,,,,,,,,,,
10,PT11M31.00S,2022-01-02T23:10:52.9Z,1,REGULAR,steal,,[],1628997,,,1610612748,0,0,2022-01-02T23:10:55Z,100000,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2022-01-02T23:10:57.6Z,1,REGULAR,turnover,out-of-bounds,[],1630209,,,1610612748,0,0,2022-01-02T23:11:06Z,110000,,,0,,O. Yurtseven bad pass out-of-bounds TURNOVER (1 TO),[1630209],1610612748.0,MIA,bad pass,,,Yurtseven,O. Yurtseven,,,,,,,,,,,1.0,,,202035.0,,,,,,,,,,,
12,PT11M14.00S,2022-01-02T23:11:21.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628368,11.777266754270697,3.431372549019608,1610612758,0,0,2022-01-02T23:11:29Z,120000,233.0,58.0,1,left,MISS D. Fox 24' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,24.0,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-01-02T23:11:24.9Z,1,REGULAR,rebound,defensive,[],1630209,,,1610612748,0,0,2022-01-02T23:11:29Z,130000,,,0,,O. Yurtseven REBOUND (Off:0 Def:1),[1630209],1610612748.0,MIA,,,,Yurtseven,O. Yurtseven,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
14,PT11M00.00S,2022-01-02T23:11:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,85.23324572930355,35.53921568627451,1610612748,0,0,2022-01-02T23:11:42Z,140000,-72.0,86.0,1,right,MISS T. Herro 11' fadeaway Shot,[1629639],1610612748.0,MIA,fadeaway,,,Herro,T. Herro,,,,,11.26,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-01-02T23:11:40.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612758,0,0,2022-01-02T23:11:42Z,150000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612758.0,SAC,,,,Bagley III,M. Bagley III,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
