actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-10T03:10:20.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T03:10:20Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-10T03:10:24.0Z,1,REGULAR,jumpball,recovered,[],1628420,,,1610612743,0,0,2022-03-10T03:10:24Z,40000,,,0,,Jump Ball N. Jokic vs. A. Len: Tip to M. Morris,"[1628420, 203999, 203458]",1610612743.0,DEN,startperiod,M. Morris,1628420.0,Morris,M. Morris,Jokic,203999.0,Len,203458.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-03-10T03:10:40.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.77463863337714,46.07843137254902,1610612743,0,2,2022-03-10T03:10:47Z,70000,-20.0,6.0,1,right,N. Jokic reverse Layup (2 PTS),[203999],1610612743.0,DEN,reverse,,,Jokic,N. Jokic,,,,,2.05,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2022-03-10T03:10:58.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,5.732588699080158,45.588235294117645,1610612758,0,2,2022-03-10T03:11:05Z,80000,22.0,1.0,1,left,MISS D. Fox reverse Layup,[1628368],1610612758.0,SAC,reverse,,,Fox,D. Fox,,,,,2.21,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2022-03-10T03:11:01.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,2,2022-03-10T03:11:05Z,90000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M12.00S,2022-03-10T03:11:12.2Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,0,2,2022-03-10T03:11:23Z,100000,,,0,,A. Gordon step out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,step,,,Gordon,A. Gordon,,,,,,,,,,,,202058.0,1.0,,,,,,,,,,,,
11,PT10M57.00S,2022-03-10T03:11:34.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203200,19.66162943495401,25.245098039215684,1610612758,0,2,2022-03-10T03:11:44Z,110000,124.0,132.0,1,left,MISS J. Holiday 18' pullup Shot,[203200],1610612758.0,SAC,pullup,,,Holiday,J. Holiday,,,,,18.12,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2022-03-10T03:11:37.5Z,1,REGULAR,rebound,offensive,[],203458,,,1610612758,0,2,2022-03-10T03:11:37Z,120000,,,0,,A. Len REBOUND (Off:1 Def:0),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT10M51.00S,2022-03-10T03:11:40.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203084,28.86005256241787,18.627450980392158,1610612758,3,2,2022-03-10T03:11:46Z,130000,157.0,219.0,1,left,H. Barnes 26' 3PT  (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,26.92,Made,3.0,,,,,,,D. Fox,1628368.0,1.0,,,,,,,,,
15,PT10M36.00S,2022-03-10T03:11:59.3Z,1,REGULAR,foul,personal,[],1626168,,,1610612743,3,2,2022-03-10T03:12:22Z,150000,,,0,,T. Lyles personal FOUL (1 PF),"[1626168, 203932]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,202058.0,,,,,1.0,0.0,Gordon,203932.0,,,,,
