actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-10T03:10:22.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-10T03:10:22Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-10T03:10:26.0Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612750,0,0,2022-02-10T03:10:26Z,40000,,,0,,Jump Ball K. Towns vs. D. Sabonis: Tip to D. Russell,"[1626156, 1626157, 1627734]",1610612750.0,MIN,startperiod,D. Russell,1626156.0,Russell,D. Russell,Towns,1626157.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-02-10T03:10:37.4Z,1,REGULAR,3pt,Jump Shot,[],1626156,66.70499342969777,51.9607843137255,1610612750,0,3,2022-02-10T03:10:41Z,70000,10.0,260.0,1,right,D. Russell 26' 3PT  (3 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,26.07,Made,3.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,,
9,PT11M26.00S,2022-02-10T03:10:55.9Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,0,3,2022-02-10T03:11:00Z,90000,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1630183]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,1.0,McDaniels,1630183.0,,,,,,,,,,,,
10,PT11M26.00S,2022-02-10T03:10:55.9Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,3,2022-02-10T03:10:57Z,100000,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2022-02-10T03:10:58.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626156,93.24901445466492,50.49019607843137,1610612750,0,5,2022-02-10T03:11:04Z,110000,2.0,11.0,1,right,D. Russell running Layup (5 PTS) (J. McDaniels 1 AST),"[1626156, 1630183]",1610612750.0,MIN,running,,,Russell,D. Russell,,,,,1.13,Made,5.0,J. McDaniels,1630183.0,1.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2022-02-10T03:11:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.389618922470433,55.14705882352941,1610612758,2,5,2022-02-10T03:11:12Z,130000,-26.0,8.0,1,left,D. Sabonis Layup (2 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,2.68,Made,2.0,D. Fox,1628368.0,1.0,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-02-10T03:11:23.4Z,1,REGULAR,foul,offensive,[],1626157,,,1610612750,2,5,2022-02-10T03:11:31Z,150000,,,0,,K. Towns offensive FOUL (1 PF),"[1626157, 1628368]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,,,,204059.0,1.0,0.0,Fox,1628368.0,,,,,,,
17,PT11M02.00S,2022-02-10T03:11:23.4Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612750,2,5,2022-02-10T03:11:23Z,170000,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,,,,,,,1.0,,,204059.0,,,,,,,,,,,
18,PT10M45.00S,2022-02-10T03:11:51.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,9.674770039421814,43.872549019607845,1610612758,2,5,2022-02-10T03:11:56Z,180000,31.0,38.0,1,left,MISS D. Fox floating Shot,[1628368],1610612758.0,SAC,floating,,,Fox,D. Fox,,,,,4.91,Missed,,,,,,,,,,,,,,,,,,,
