actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-20T03:10:18.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T03:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-20T03:10:22.6Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612758,0,0,2021-11-20T03:10:22Z,40000,,,0,,Jump Ball R. Holmes vs. S. Barnes: Tip to T. Haliburton,"[1630169, 1626158, 1630567]",1610612758.0,SAC,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Holmes,1626158.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-20T03:10:34.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,15.850854139290407,53.92156862745098,1610612758,0,0,2021-11-20T03:10:43Z,70000,-20.0,96.0,1,left,MISS D. Fox 9' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,9.85,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-11-20T03:10:38.5Z,1,REGULAR,rebound,defensive,[],203920,,,1610612761,0,0,2021-11-20T03:10:43Z,80000,,,0,,K. Birch REBOUND (Off:0 Def:1),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-11-20T03:10:55.2Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,0,0,2021-11-20T03:11:01Z,90000,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 1630169]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,1.0,Haliburton,1630169.0,,,,,,,,,,,,
10,PT11M23.00S,2021-11-20T03:10:55.2Z,1,REGULAR,steal,,[],1630169,,,1610612758,0,0,2021-11-20T03:10:59Z,100000,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612758.0,SAC,,,,Haliburton,T. Haliburton,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2021-11-20T03:10:59.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630169,5.732588699080158,49.26470588235294,1610612758,2,0,2021-11-20T03:11:07Z,110000,4.0,1.0,1,left,T. Haliburton running DUNK (2 PTS),[1630169],1610612758.0,SAC,running,,,Haliburton,T. Haliburton,,,,,0.4,Made,,,,,,,,2.0,,,,,,,,,,,
12,PT10M54.00S,2021-11-20T03:11:25.3Z,1,REGULAR,2pt,Jump Shot,[],1627832,91.40932982917214,13.480392156862745,1610612761,2,0,2021-11-20T03:13:19Z,120000,-183.0,28.0,1,right,MISS F. VanVleet 18' floating Shot,[1627832],1610612761.0,TOR,floating,,,VanVleet,F. VanVleet,,,,,18.48,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2021-11-20T03:11:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,2,0,2021-11-20T03:11:35Z,130000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-11-20T03:11:29.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612761,2,0,2021-11-20T03:12:20Z,140000,,,0,,TOR shot clock Team TURNOVER,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,1626302.0,,,,,,,,,,
15,PT10M42.00S,2021-11-20T03:11:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626158,6.258212877792378,53.431372549019606,1610612758,2,0,2021-11-20T03:15:18Z,150000,-17.0,6.0,1,left,MISS R. Holmes driving Layup,[1626158],1610612758.0,SAC,driving,,,Holmes,R. Holmes,,,,,1.83,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M36.00S,2021-11-20T03:11:53.2Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,2,0,2021-11-20T03:12:00Z,160000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M35.00S,2021-11-20T03:11:54.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629018,93.38042049934296,41.911764705882355,1610612761,2,0,2021-11-20T03:12:07Z,170000,-40.0,10.0,1,right,MISS G. Trent Jr. running Layup,[1629018],1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,4.15,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M32.00S,2021-11-20T03:11:57.4Z,1,REGULAR,rebound,defensive,[],1629002,,,1610612758,2,0,2021-11-20T03:12:07Z,180000,,,0,,C. Metu REBOUND (Off:0 Def:1),[1629002],1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
19,PT10M26.00S,2021-11-20T03:12:06.0Z,1,REGULAR,foul,personal,[],1627832,,,1610612758,2,0,2021-11-20T03:12:11Z,190000,,,0,,F. VanVleet personal FOUL (1 PF),"[1627832, 203084]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,1626302.0,1.0,0.0,Barnes,203084.0,,,,,,
21,PT10M21.00S,2021-11-20T03:12:24.1Z,1,REGULAR,3pt,Jump Shot,[],1630169,31.488173455978973,34.80392156862745,1610612758,5,0,2021-11-20T03:12:30Z,210000,76.0,243.0,1,left,T. Haliburton 25' 3PT pullup (5 PTS),[1630169],1610612758.0,SAC,pullup,,,Haliburton,T. Haliburton,,,,,25.51,Made,,,,,,,,5.0,,,,,,,,,,,
22,PT10M09.00S,2021-11-20T03:12:43.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612761,5,0,2021-11-20T03:12:43Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2021-11-20T03:13:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203920,82.34231274638634,41.42156862745098,1610612761,5,2,2021-11-20T03:18:07Z,230000,-43.0,113.0,1,right,K. Birch 12' floating Jump Shot (2 PTS) (F. VanVleet 1 AST),"[203920, 1627832]",1610612761.0,TOR,floating,,,Birch,K. Birch,,,,,12.13,Made,,,,,,,,2.0,,,,,,F. VanVleet,1627832.0,1.0,,,
25,PT09M40.00S,2021-11-20T03:13:21.5Z,1,REGULAR,turnover,bad pass,[],1629002,,,1610612758,5,2,2021-11-20T03:13:26Z,250000,,,0,,C. Metu bad pass TURNOVER (1 TO),"[1629002, 203920]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,,,,,,,1.0,Birch,203920.0,,,,,,,,,,,,
26,PT09M40.00S,2021-11-20T03:13:21.5Z,1,REGULAR,steal,,[],203920,,,1610612761,5,2,2021-11-20T03:13:24Z,260000,,,0,,K. Birch STEAL (1 STL),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2021-11-20T03:13:34.3Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612761,5,2,2021-11-20T03:13:38Z,270000,,,0,,P. Siakam bad pass TURNOVER (2 TO),"[1627783, 1630169]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,2.0,Haliburton,1630169.0,,,,,,,,,,,,
