actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
410,PT08M37.00S,2026-02-25T01:34:07.3Z,3,REGULAR,steal,,[],1629614,,,1610612754,70,81,2026-02-25T01:34:08Z,3960000,False,,,0,,A. Nembhard STEAL (1 STL),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
411,PT08M33.00S,2026-02-25T01:34:11.2Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642880,6.652431011826544,48.77450980392157,1610612754,70,81,2026-02-25T01:34:16Z,3970000,False,6.0,10.0,1,left,MISS K. Jones running finger roll Layup,[1642880],1610612754.0,IND,running finger roll,,,Jones,K. Jones,,,,,Restricted Area,0-8 Center,1.17,Missed,,,,,,,,,,,,,,,,,,
412,PT08M31.00S,2026-02-25T01:34:13.2Z,3,REGULAR,rebound,offensive,[],1629614,,,1610612754,70,81,2026-02-25T01:34:16Z,3980000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:0),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,411.0,1.0,0.0,1.0,,,,,,,,,,
413,PT08M31.00S,2026-02-25T01:34:13.7Z,3,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629614,5.590000152587891,50.0,1610612754,72,81,2026-02-25T01:34:18Z,3990000,False,0.0,0.0,1,left,A. Nembhard tip Layup (16 PTS),[1629614],1610612754.0,IND,tip,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,0.0,Made,16.0,,,,,,,,,,,,,,,,,
414,PT08M18.00S,2026-02-25T01:34:26.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,87.20433639947439,48.03921568627451,1610612755,72,81,2026-02-25T01:34:30Z,4000000,False,-10.0,68.0,1,right,MISS T. Maxey 6' turnaround fadeaway Shot,[1630178],1610612755.0,PHI,turnaround fadeaway,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,6.85,Missed,,,,,,,,,,,,,,,,,,
415,PT08M16.00S,2026-02-25T01:34:28.7Z,3,REGULAR,rebound,defensive,[],1641716,,,1610612754,72,81,2026-02-25T01:34:30Z,4010000,False,,,0,,J. Walker REBOUND (Off:3 Def:4),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,414.0,7.0,4.0,3.0,,,,,,,,,,
416,PT08M09.00S,2026-02-25T01:34:35.6Z,3,REGULAR,turnover,lost ball,[],1641716,,,1610612754,72,81,2026-02-25T01:34:38Z,4020000,False,,,0,,J. Walker lost ball TURNOVER (1 TO),"[1641716, 1630178]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Maxey,1630178.0
417,PT08M09.00S,2026-02-25T01:34:35.6Z,3,REGULAR,steal,,[],1630178,,,1610612755,72,81,2026-02-25T01:34:37Z,4030000,False,,,0,,T. Maxey STEAL (2 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
418,PT08M05.00S,2026-02-25T01:34:39.9Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642845,94.1688567674113,50.49019607843137,1610612755,72,83,2026-02-25T01:34:42Z,4040000,False,2.0,2.0,1,right,V. Edgecombe running finger roll Layup (18 PTS) (T. Maxey 7 AST),"[1642845, 1630178]",1610612755.0,PHI,running finger roll,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,0.34,Made,18.0,T. Maxey,1630178.0,7.0,,,,,,,,,,,,,,
420,PT08M05.00S,2026-02-25T01:34:42.4Z,3,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,72,83,2026-02-25T01:34:42Z,4060000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,PT07M51.00S,2026-02-25T01:37:52.2Z,3,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612754,72,83,2026-02-25T01:38:01Z,4070000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Sheppard 2 FT),"[1630178, 1641767]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627524.0,1.0,0.0,Sheppard,1641767.0,,,,,
423,PT07M51.00S,2026-02-25T01:38:18.5Z,3,REGULAR,freethrow,1 of 2,[],1641767,,,1610612754,73,83,2026-02-25T01:38:18Z,4090000,False,,,0,,B. Sheppard Free Throw 1 of 2 (11 PTS),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
424,PT07M51.00S,2026-02-25T01:38:19.1Z,3,REGULAR,substitution,out,[],1641716,,,1610612754,73,83,2026-02-25T01:38:21Z,4100000,False,,,0,,SUB out: J. Walker,[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
425,PT07M51.00S,2026-02-25T01:38:19.1Z,3,REGULAR,substitution,in,[],1641738,,,1610612754,73,83,2026-02-25T01:38:21Z,4110000,False,,,0,,SUB in: K. Brown,[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
426,PT07M51.00S,2026-02-25T01:38:35.2Z,3,REGULAR,freethrow,2 of 2,[],1641767,,,1610612754,74,83,2026-02-25T01:38:35Z,4120000,False,,,0,,B. Sheppard Free Throw 2 of 2 (12 PTS),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
427,PT07M33.00S,2026-02-25T01:38:55.5Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,89.30683311432325,57.107843137254896,1610612755,74,83,2026-02-25T01:39:00Z,4130000,False,36.0,48.0,1,right,MISS J. Embiid floating Shot,[203954],1610612755.0,PHI,floating,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,5.97,Missed,,,,,,,,,,,,,,,,,,
428,PT07M30.00S,2026-02-25T01:38:58.5Z,3,REGULAR,rebound,offensive,[],1631230,,,1610612755,74,83,2026-02-25T01:39:00Z,4140000,False,,,0,,D. Barlow REBOUND (Off:1 Def:2),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,427.0,3.0,2.0,1.0,,,,,,,,,,
429,PT07M29.00S,2026-02-25T01:39:00.1Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1642845,71.04139290407359,14.215686274509803,1610612755,74,86,2026-02-25T01:39:03Z,4150000,False,-179.0,220.0,1,right,V. Edgecombe 28' 3PT  (21 PTS) (D. Barlow 1 AST),"[1642845, 1631230]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,28.33,Made,21.0,D. Barlow,1631230.0,1.0,,,,,,,,,,,,,,
431,PT07M12.00S,2026-02-25T01:39:16.3Z,3,REGULAR,3pt,Jump Shot,[],1641738,25.443495400788436,87.5,1610612754,74,86,2026-02-25T01:39:21Z,4170000,False,-188.0,187.0,1,left,MISS K. Brown 26' 3PT,[1641738],1610612754.0,IND,,,,Brown,K. Brown,,,,,Above the Break 3,24+ Left Center,26.46,Missed,,,,,,,,,,,,,,,,,,
432,PT07M10.00S,2026-02-25T01:39:18.3Z,3,REGULAR,rebound,defensive,[],1630178,,,1610612755,74,86,2026-02-25T01:39:21Z,4180000,False,,,0,,T. Maxey REBOUND (Off:1 Def:7),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,431.0,8.0,7.0,1.0,,,,,,,,,,
