actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-06T00:10:49.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-06T00:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-06T00:10:51.4Z,1,REGULAR,jumpball,recovered,[],1629611,,,1610612751,0,0,2025-11-06T00:10:51Z,40000,False,,,0,,Jump Ball N. Claxton vs. I. Jackson: Tip to T. Mann,"[1629611, 1629651, 1630543]",1610612751.0,BKN,startperiod,T. Mann,1629611.0,Mann,T. Mann,Claxton,1629651.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-11-06T00:11:26.2Z,1,REGULAR,3pt,Jump Shot,[],1629008,28.465834428383708,75.98039215686273,1610612751,0,3,2025-11-06T00:11:30Z,80000,False,-130.0,215.0,1,left,M. Porter Jr. 25' 3PT  (3 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,25.13,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2025-11-06T00:11:41.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,81.8166885676741,34.55882352941176,1610612754,0,3,2025-11-06T00:11:45Z,90000,False,-77.0,118.0,1,right,MISS P. Siakam 14' step back Shot,[1627783],1610612754.0,IND,step back,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Left,14.13,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2025-11-06T00:11:45.8Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612751,0,3,2025-11-06T00:11:45Z,100000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M07.00S,2025-11-06T00:11:56.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,17.0335085413929,50.73529411764706,1610612751,0,3,2025-11-06T00:12:52Z,110000,False,-4.0,108.0,1,left,MISS N. Claxton 10' floating Shot,[1629651],1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,10.77,Missed,,,,,,,,,,,,,,,,,,
12,PT11M05.00S,2025-11-06T00:11:58.3Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,0,3,2025-11-06T00:12:00Z,120000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M57.00S,2025-11-06T00:12:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641716,93.11760840998686,46.568627450980394,1610612754,2,3,2025-11-06T00:12:10Z,130000,False,-17.0,12.0,1,right,J. Walker driving finger roll Layup (2 PTS) (P. Siakam 1 AST),"[1641716, 1627783]",1610612754.0,IND,driving finger roll,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,2.11,Made,2.0,,,,,P. Siakam,1627783.0,1.0,,,,,,,,,,
15,PT10M32.00S,2025-11-06T00:12:30.2Z,1,REGULAR,2pt,Jump Shot,[],1629611,19.793035479632064,72.54901960784314,1610612751,2,3,2025-11-06T00:12:37Z,150000,False,-113.0,134.0,1,left,MISS T. Mann 17' pullup Shot,[1629611],1610612751.0,BKN,pullup,,,Mann,T. Mann,,,,,Mid-Range,16-24 Left Center,17.48,Missed,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2025-11-06T00:12:32.2Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,2,3,2025-11-06T00:12:35Z,160000,False,,,0,,J. Walker REBOUND (Off:0 Def:2),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Left Center,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,,,
