actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-02T00:10:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-02T00:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-02T00:10:55.7Z,1,REGULAR,jumpball,recovered,[],1629731,,,1610612739,0,0,2025-12-02T00:10:55Z,40000,False,,,0,,Jump Ball E. Mobley vs. J. Huff: Tip to D. Wade,"[1629731, 1630596, 1630643]",1610612739.0,CLE,startperiod,D. Wade,1629731.0,Wade,D. Wade,Mobley,1630596.0,Huff,1630643.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-12-02T00:11:10.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,66.44218134034165,48.03921568627451,1610612739,0,0,2025-12-02T00:11:22Z,70000,False,-10.0,263.0,1,right,MISS D. Hunter 26' step back 3PT,[1629631],1610612739.0,CLE,step back,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-12-02T00:11:14.9Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612739,0,0,2025-12-02T00:11:25Z,80000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:0),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2025-12-02T00:11:16.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628378,86.5473061760841,64.2156862745098,1610612739,0,0,2025-12-02T00:11:25Z,90000,False,71.0,74.0,1,right,MISS D. Mitchell 10' Jump Shot,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Right,10.26,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2025-12-02T00:11:16.6Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,0,0,2025-12-02T00:11:20Z,100000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,In The Paint (Non-RA),8-16 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M29.00S,2025-12-02T00:11:27.0Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612754,0,0,2025-12-02T00:11:39Z,120000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Siakam 2 FT),"[1628378, 1627783]",1610612739.0,CLE,shooting,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,2003.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,
14,PT11M29.00S,2025-12-02T00:11:55.9Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612754,1,0,2025-12-02T00:11:55Z,140000,False,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
15,PT11M29.00S,2025-12-02T00:12:12.9Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612754,2,0,2025-12-02T00:12:12Z,150000,False,,,0,,P. Siakam Free Throw 2 of 2 (2 PTS),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
16,PT11M15.00S,2025-12-02T00:12:28.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,88.25558475689881,45.588235294117645,1610612739,2,2,2025-12-02T00:14:02Z,160000,False,-22.0,58.0,1,right,E. Mobley 6' driving floating Jump Shot (2 PTS),[1630596],1610612739.0,CLE,driving floating,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,6.2,Made,,,,,,,,,,2.0,,,,,,,,
17,PT10M56.00S,2025-12-02T00:12:49.7Z,1,REGULAR,turnover,out-of-bounds,[],1630643,,,1610612754,2,2,2025-12-02T00:12:53Z,170000,False,,,0,,J. Huff lost ball out-of-bounds TURNOVER (1 TO),[1630643],1610612754.0,IND,lost ball,,,Huff,J. Huff,,,,,Left Corner 3,24+ Left,,,,,,,1627534.0,,,,,,1.0,,,,,,,
18,PT10M49.00S,2025-12-02T00:13:00.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630596,66.44218134034165,52.69607843137255,1610612739,2,2,2025-12-02T00:13:05Z,180000,False,13.0,263.0,1,right,MISS E. Mobley 26' pullup 3PT,[1630596],1610612739.0,CLE,pullup,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,26.32,Missed,,,,,,,,,,,,,,,,,,
19,PT10M45.00S,2025-12-02T00:13:04.6Z,1,REGULAR,rebound,offensive,[],1628378,,,1610612739,2,2,2025-12-02T00:13:04Z,190000,False,,,0,,D. Mitchell REBOUND (Off:2 Def:0),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,18.0,2.0,0.0,2.0,,,,,,,,,,,,,,
21,PT10M38.00S,2025-12-02T00:13:11.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629631,67.36202365308804,66.17647058823529,1610612739,2,5,2025-12-02T00:13:17Z,210000,False,81.0,254.0,1,right,D. Hunter 26' 3PT  (3 PTS) (J. Tyson 1 AST),"[1629631, 1642281]",1610612739.0,CLE,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,26.69,Made,,,,,,,,,,3.0,,J. Tyson,1642281.0,1.0,,,,
23,PT10M18.00S,2025-12-02T00:13:31.9Z,1,REGULAR,turnover,lost ball,[],1629614,,,1610612754,2,5,2025-12-02T00:13:35Z,230000,False,,,0,,A. Nembhard lost ball TURNOVER (1 TO),"[1629614, 1642281]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Tyson,1642281.0,,
24,PT10M18.00S,2025-12-02T00:13:31.9Z,1,REGULAR,steal,,[],1642281,,,1610612739,2,5,2025-12-02T00:13:33Z,240000,False,,,0,,J. Tyson STEAL (1 STL),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M09.00S,2025-12-02T00:13:40.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642281,91.40932982917214,55.392156862745104,1610612739,2,7,2025-12-02T00:13:44Z,250000,False,27.0,28.0,1,right,J. Tyson driving floating bank Jump Shot (2 PTS) (D. Hunter 1 AST),"[1642281, 1629631]",1610612739.0,CLE,driving floating bank,,,Tyson,J. Tyson,,,,,Restricted Area,0-8 Center,3.91,Made,,,,,,,,,,2.0,,D. Hunter,1629631.0,1.0,,,,
