actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-07T23:11:07.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-07T23:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-07T23:11:10.1Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612750,0,0,2026-04-07T23:11:10Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Huff: Tip to A. Dosunmu,"[1630245, 203497, 1630643]",1610612750.0,MIN,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Gobert,203497.0,Huff,1630643.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-04-07T23:11:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630245,87.46714848883047,57.59803921568627,1610612750,0,0,2026-04-07T23:11:31Z,70000,False,38.0,65.0,1,right,MISS A. Dosunmu 7' driving floating Shot,[1630245],1610612750.0,MIN,driving floating,,,Dosunmu,A. Dosunmu,,,,,In The Paint (Non-RA),0-8 Center,7.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-04-07T23:11:24.3Z,1,REGULAR,rebound,offensive,[],201144,,,1610612750,0,0,2026-04-07T23:11:25Z,80000,False,,,0,,M. Conley REBOUND (Off:1 Def:0),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-04-07T23:11:29.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630245,69.33311432325887,82.84313725490196,1610612750,0,0,2026-04-07T23:11:35Z,90000,False,164.0,236.0,1,right,MISS A. Dosunmu 28' pullup 3PT,[1630245],1610612750.0,MIN,pullup,,,Dosunmu,A. Dosunmu,,,,,Above the Break 3,24+ Right Center,28.73,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2026-04-07T23:11:33.3Z,1,REGULAR,rebound,defensive,[],1630679,,,1610612754,0,0,2026-04-07T23:11:35Z,100000,False,,,0,,E. Thompson REBOUND (Off:0 Def:1),[1630679],1610612754.0,IND,,,,Thompson,E. Thompson,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M32.00S,2026-04-07T23:11:34.8Z,1,REGULAR,turnover,lost ball,[],1630679,,,1610612754,0,0,2026-04-07T23:11:38Z,110000,False,,,0,,E. Thompson lost ball TURNOVER (1 TO),"[1630679, 201144]",1610612754.0,IND,,,,Thompson,E. Thompson,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Conley,201144.0,,,,,,,,,,,
12,PT11M32.00S,2026-04-07T23:11:34.8Z,1,REGULAR,steal,,[],201144,,,1610612750,0,0,2026-04-07T23:11:36Z,120000,False,,,0,,M. Conley STEAL (1 STL),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2026-04-07T23:11:44.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",201144,87.72996057818659,49.50980392156863,1610612750,0,0,2026-04-07T23:12:37Z,130000,False,-2.0,63.0,1,right,MISS M. Conley 6' driving floating Shot,[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,6.28,Missed,,,,,,,,,,,,,,,,,,
14,PT11M21.00S,2026-04-07T23:11:46.3Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,0,0,2026-04-07T23:11:48Z,140000,False,,,0,,J. Huff REBOUND (Off:0 Def:1),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
