actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-31T20:11:06.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-31T20:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-31T20:11:08.1Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2025-12-31T20:11:08Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. J. Huff: Tip to J. Suggs,"[1630591, 1628976, 1630643]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Huff,1630643.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-12-31T20:11:23.7Z,1,REGULAR,turnover,lost ball,[],1631094,,,1610612753,0,0,2025-12-31T20:15:14Z,70000,False,,,0,,P. Banchero lost ball TURNOVER (1 TO),"[1631094, 1630643]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,1.0,Huff,1630643.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-31T20:11:23.7Z,1,REGULAR,steal,,[],1630643,,,1610612754,0,0,2025-12-31T20:14:48Z,80000,False,,,0,,J. Huff STEAL (1 STL),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2025-12-31T20:11:39.4Z,1,REGULAR,foul,offensive,[],1630643,,,1610612754,0,0,2025-12-31T20:12:37Z,90000,False,,,0,,J. Huff offensive FOUL (1 PF),"[1630643, 1630591]",1610612754.0,IND,,,,Huff,J. Huff,,,,,Mid-Range,16-24 Left,,,,101283.0,1.0,0.0,Suggs,1630591.0,,,,,,,,,,,,
11,PT11M28.00S,2025-12-31T20:11:39.4Z,1,REGULAR,turnover,offensive foul,[],1630643,,,1610612754,0,0,2025-12-31T20:11:39Z,110000,False,,,0,,J. Huff offensive foul TURNOVER (1 TO),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Mid-Range,16-24 Left,1.0,,,101283.0,,,,,,,,,,,,,,,,
12,PT11M17.00S,2025-12-31T20:12:03.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631094,16.507884362680684,42.40196078431372,1610612753,0,2,2025-12-31T20:12:07Z,120000,False,38.0,103.0,1,left,P. Banchero 10' turnaround Jump Shot (2 PTS) (A. Black 1 AST),"[1631094, 1641710]",1610612753.0,ORL,turnaround,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,10.95,Made,2.0,A. Black,1641710.0,1.0,,,,,,
14,PT11M05.00S,2025-12-31T20:12:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631097,81.2910643889619,56.127450980392155,1610612754,2,2,2025-12-31T20:12:20Z,140000,False,31.0,123.0,1,right,B. Mathurin 12' pullup Jump Shot (2 PTS),[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,12.71,Made,2.0,,,,,,,,,
15,PT10M57.00S,2025-12-31T20:12:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630591,8.492115637319317,52.94117647058824,1610612753,2,2,2025-12-31T20:12:27Z,150000,False,-15.0,27.0,1,left,MISS J. Suggs driving Layup,[1630591],1610612753.0,ORL,driving,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,3.1,Missed,,,,,,,,,,
16,PT10M55.00S,2025-12-31T20:12:25.8Z,1,REGULAR,rebound,defensive,[],1642277,,,1610612754,2,2,2025-12-31T20:12:27Z,160000,False,,,0,,J. Furphy REBOUND (Off:0 Def:1),[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,
17,PT10M55.00S,2025-12-31T20:12:28.1Z,1,REGULAR,turnover,traveling,[],1629614,,,1610612754,2,2,2025-12-31T20:12:32Z,170000,False,,,0,,A. Nembhard traveling TURNOVER (1 TO),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,1.0,,,202037.0,,,,,,,,,,,,,,,,
18,PT10M52.00S,2025-12-31T20:12:52.2Z,1,REGULAR,foul,personal,[],1642277,,,1610612753,2,2,2025-12-31T20:13:00Z,180000,False,,,0,,J. Furphy personal FOUL (1 PF),"[1642277, 1641710]",1610612754.0,IND,,,,Furphy,J. Furphy,,,,,In The Paint (Non-RA),8-16 Left,,,,1179.0,1.0,0.0,Black,1641710.0,,,,,,,,,,,,
20,PT10M37.00S,2025-12-31T20:13:30.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1641710,16.90210249671485,39.46078431372549,1610612753,2,4,2025-12-31T20:13:33Z,200000,False,53.0,106.0,1,left,A. Black 11' pullup Jump Shot (2 PTS),[1641710],1610612753.0,ORL,pullup,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,11.87,Made,2.0,,,,,,,,,
