actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-23T23:45:08.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-23T23:45:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-23T23:45:10.5Z,1,REGULAR,jumpball,recovered,[],1628392,,,1610612760,0,0,2025-10-23T23:45:10Z,40000,False,,,0,,Jump Ball C. Holmgren vs. I. Jackson: Tip to I. Hartenstein,"[1628392, 1631096, 1630543]",1610612760.0,OKC,startperiod,I. Hartenstein,1628392.0,Hartenstein,I. Hartenstein,Holmgren,1631096.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-10-23T23:45:28.2Z,1,REGULAR,3pt,Jump Shot,[],1630598,76.16622864651774,12.009803921568627,1610612760,0,0,2025-10-23T23:45:34Z,70000,False,-190.0,172.0,1,right,MISS A. Wiggins 25' 3PT,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-10-23T23:45:31.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2025-10-23T23:45:34Z,80000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Above the Break 3,24+ Left Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2025-10-23T23:45:55.5Z,1,REGULAR,foul,offensive,[],1629652,,,1610612760,0,0,2025-10-23T23:46:01Z,100000,False,,,0,,L. Dort offensive FOUL (1 PF),"[1629652, 1630174]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,201639.0,1.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,
12,PT11M30.00S,2025-10-23T23:45:55.5Z,1,REGULAR,turnover,offensive foul,[],1629652,,,1610612760,0,0,2025-10-23T23:45:55Z,120000,False,,,0,,L. Dort offensive foul TURNOVER (1 TO),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,201639.0,,,,,1.0,,,,,,,,,,,
13,PT11M14.00S,2025-10-23T23:46:23.7Z,1,REGULAR,foul,offensive,[],1630543,,,1610612754,0,0,2025-10-23T23:46:33Z,130000,False,,,0,,I. Jackson offensive FOUL (1 PF),"[1630543, 1629652]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,1155.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,
15,PT11M14.00S,2025-10-23T23:46:23.7Z,1,REGULAR,turnover,offensive foul,[],1630543,,,1610612754,0,0,2025-10-23T23:46:23Z,150000,False,,,0,,I. Jackson offensive foul TURNOVER (1 TO),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,In The Paint (Non-RA),8-16 Center,,,,1155.0,,,,,1.0,,,,,,,,,,,
16,PT11M01.00S,2025-10-23T23:46:45.9Z,1,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612760,0,0,2025-10-23T23:46:52Z,160000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1629614, 1628983]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,,,,1155.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,
18,PT11M01.00S,2025-10-23T23:47:06.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628983,,,1610612760,0,1,2025-10-23T23:47:25Z,180000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
