actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-29T00:40:33.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-29T00:40:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-29T00:40:35.4Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2025-11-29T00:40:35Z,40000,False,,,0,,Jump Ball J. Huff vs. A. Sarr: Tip to P. Siakam,"[1627783, 1630643, 1642259]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Huff,1630643.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-29T00:40:49.8Z,1,REGULAR,3pt,Jump Shot,[],1631097,77.87450722733246,92.15686274509804,1610612754,3,0,2025-11-29T00:40:59Z,70000,False,211.0,155.0,1,right,B. Mathurin 26' 3PT  (3 PTS) (B. Sheppard 1 AST),"[1631097, 1641767]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,26.19,Made,3.0,B. Sheppard,1641767.0,1.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-11-29T00:41:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,9.411957950065702,49.754901960784316,1610612764,3,0,2025-11-29T00:41:16Z,90000,False,1.0,36.0,1,left,MISS K. Middleton driving Layup - blocked,"[203114, 1641716]",1610612764.0,WAS,driving,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,3.6,Missed,,,,,Walker,1641716.0,,,,,,,,,,,,
10,PT11M21.00S,2025-11-29T00:41:10.5Z,1,REGULAR,block,,[],1641716,,,1610612764,3,0,2025-11-29T00:41:12Z,100000,False,,,0,,J. Walker BLOCK (1 BLK),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2025-11-29T00:41:12.5Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,3,0,2025-11-29T00:41:16Z,110000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M13.00S,2025-11-29T00:41:19.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,87.07293035479631,45.83333333333333,1610612754,3,0,2025-11-29T00:41:25Z,120000,False,-21.0,69.0,1,right,MISS P. Siakam 7' fadeaway Shot,[1627783],1610612754.0,IND,fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.21,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2025-11-29T00:41:22.7Z,1,REGULAR,rebound,offensive,[],1630643,,,1610612754,3,0,2025-11-29T00:41:22Z,130000,False,,,0,,J. Huff REBOUND (Off:1 Def:0),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT11M06.00S,2025-11-29T00:41:26.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627783,64.20827858081472,38.23529411764706,1610612754,3,0,2025-11-29T00:41:33Z,140000,False,-59.0,284.0,1,right,MISS P. Siakam 28' 3PT,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,28.99,Missed,,,,,,,,,,,,,,,,,,
15,PT11M02.00S,2025-11-29T00:41:30.9Z,1,REGULAR,rebound,defensive,[],203468,,,1610612764,3,0,2025-11-29T00:41:33Z,150000,False,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M53.00S,2025-11-29T00:41:39.8Z,1,REGULAR,3pt,Jump Shot,[],203468,31.225361366622867,17.647058823529413,1610612764,3,0,2025-11-29T00:41:44Z,160000,False,162.0,241.0,1,left,MISS C. McCollum 29' 3PT,[203468],1610612764.0,WAS,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,29.03,Missed,,,,,,,,,,,,,,,,,,
17,PT10M50.00S,2025-11-29T00:41:42.8Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,3,0,2025-11-29T00:41:44Z,170000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M34.00S,2025-11-29T00:41:58.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631097,92.46057818659659,52.94117647058824,1610612754,3,0,2025-11-29T00:43:27Z,180000,False,15.0,18.0,1,right,MISS B. Mathurin driving Hook,[1631097],1610612754.0,IND,driving,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,,,,,,,,
