actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-03T00:12:04.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-03T00:12:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-03T00:12:06.7Z,1,REGULAR,jumpball,recovered,[],1630174,,,1610612754,0,0,2026-02-03T00:12:06Z,40000,False,,,0,,Jump Ball J. Huff vs. A. Sengun: Tip to A. Nesmith,"[1630174, 1630643, 1630578]",1610612754.0,IND,startperiod,A. Nesmith,1630174.0,Nesmith,A. Nesmith,Huff,1630643.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-03T00:12:18.9Z,1,REGULAR,turnover,lost ball,[],1629614,,,1610612754,0,0,2026-02-03T00:12:21Z,70000,False,,,0,,A. Nembhard lost ball TURNOVER (1 TO),"[1629614, 1641708]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Right Center,1.0,Thompson,1641708.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2026-02-03T00:12:18.9Z,1,REGULAR,steal,,[],1641708,,,1610612745,0,0,2026-02-03T00:12:20Z,80000,False,,,0,,A. Thompson STEAL (1 STL),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2026-02-03T00:12:24.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630578,89.83245729303549,43.872549019607845,1610612745,0,0,2026-02-03T00:12:30Z,90000,False,-31.0,43.0,1,right,MISS A. Sengun running Layup,[1630578],1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,,5.29,Missed,,,,,,,,,,,,,,,
10,PT11M36.00S,2026-02-03T00:12:27.4Z,1,REGULAR,rebound,offensive,[],1631106,,,1610612745,0,0,2026-02-03T00:12:27Z,100000,False,,,0,,T. Eason REBOUND (Off:1 Def:0),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,
11,PT11M25.00S,2026-02-03T00:12:38.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630578,92.19776609724047,48.03921568627451,1610612745,0,2,2026-02-03T00:12:45Z,110000,False,-10.0,21.0,1,right,A. Sengun driving Hook (2 PTS) (J. Smith Jr. 1 AST),"[1630578, 1631095]",1610612745.0,HOU,driving,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,2.3,Made,,,,,2.0,J. Smith Jr.,1631095.0,1.0,,,,,,,
13,PT11M17.00S,2026-02-03T00:12:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630174,8.229303547963205,62.00980392156863,1610612754,0,2,2026-02-03T00:14:13Z,130000,False,-60.0,25.0,1,left,MISS A. Nesmith 6' driving floating Shot - blocked,"[1630174, 1631106]",1610612754.0,IND,driving floating,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,6.5,Missed,,,,,,,,,Eason,1631106.0,,,,,
14,PT11M17.00S,2026-02-03T00:12:46.0Z,1,REGULAR,block,,[],1631106,,,1610612754,0,2,2026-02-03T00:12:49Z,140000,False,,,0,,T. Eason BLOCK (1 BLK),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2026-02-03T00:12:49.0Z,1,REGULAR,rebound,defensive,[],1631106,,,1610612745,0,2,2026-02-03T00:12:51Z,150000,False,,,0,,T. Eason REBOUND (Off:1 Def:1),[1631106],1610612745.0,HOU,,,,Eason,T. Eason,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,,
16,PT11M12.00S,2026-02-03T00:12:52.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631095,66.04796320630749,52.450980392156865,1610612745,0,2,2026-02-03T00:13:23Z,160000,False,12.0,267.0,1,right,MISS J. Smith Jr. 26' running 3PT,[1631095],1610612745.0,HOU,running,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,26.69,Missed,,,,,,,,,,,,,,,
17,PT11M08.00S,2026-02-03T00:12:56.1Z,1,REGULAR,rebound,defensive,[],1642277,,,1610612754,0,2,2026-02-03T00:13:09Z,170000,False,,,0,,J. Furphy REBOUND (Off:0 Def:1),[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Above the Break 3,24+ Center,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,
18,PT10M56.00S,2026-02-03T00:13:07.6Z,1,REGULAR,turnover,lost ball,[],1629614,,,1610612754,0,2,2026-02-03T00:13:11Z,180000,False,,,0,,A. Nembhard lost ball TURNOVER (2 TO),"[1629614, 1642263]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,2.0,Sheppard,1642263.0,,,,,,,,,,,,,,,,,
19,PT10M56.00S,2026-02-03T00:13:07.6Z,1,REGULAR,steal,,[],1642263,,,1610612745,0,2,2026-02-03T00:13:09Z,190000,False,,,0,,R. Sheppard STEAL (1 STL),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
20,PT10M53.00S,2026-02-03T00:13:10.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642263,91.93495400788436,52.20588235294118,1610612745,0,4,2026-02-03T00:13:15Z,200000,False,11.0,23.0,1,right,R. Sheppard running DUNK (2 PTS) (A. Thompson 1 AST),"[1642263, 1641708]",1610612745.0,HOU,running,,,Sheppard,R. Sheppard,,,,,Restricted Area,0-8 Center,,,,2.58,Made,,,,,2.0,A. Thompson,1641708.0,1.0,,,,,,,
22,PT10M36.00S,2026-02-03T00:13:27.3Z,1,REGULAR,3pt,Jump Shot,[],1630643,31.882391590013142,51.225490196078425,1610612754,3,4,2026-02-03T00:13:31Z,220000,False,-6.0,247.0,1,left,J. Huff 24' 3PT  (3 PTS) (P. Siakam 1 AST),"[1630643, 1627783]",1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Center,,,,24.73,Made,,,,,3.0,P. Siakam,1627783.0,1.0,,,,,,,
