actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-18T23:40:30.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-18T23:40:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-18T23:40:32.0Z,1,REGULAR,jumpball,recovered,[],204456,,,1610612754,0,0,2026-03-18T23:40:32Z,40000,False,,,0,,Jump Ball I. Zubac vs. D. Clingan: Tip to T. McConnell,"[204456, 1627826, 1642270]",1610612754.0,IND,startperiod,T. McConnell,204456.0,McConnell,T. McConnell,Zubac,1627826.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-03-18T23:40:44.2Z,1,REGULAR,3pt,Jump Shot,[],1630174,66.70499342969777,32.59803921568628,1610612754,0,0,2026-03-18T23:40:48Z,70000,False,-87.0,260.0,1,right,MISS A. Nesmith 27' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,27.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-03-18T23:40:47.2Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,0,2026-03-18T23:40:48Z,80000,False,,,0,,D. Clingan REBOUND (Off:0 Def:1),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2026-03-18T23:40:55.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201950,5.995400788436268,49.50980392156863,1610612757,0,0,2026-03-18T23:53:21Z,90000,False,2.0,4.0,1,left,MISS J. Holiday cutting Layup - blocked,"[201950, 1627826]",1610612757.0,POR,cutting,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,0.46,Missed,,,,,Zubac,1627826.0,,,,,,,,,,,,
10,PT11M34.00S,2026-03-18T23:40:55.2Z,1,REGULAR,block,,[],1627826,,,1610612757,0,0,2026-03-18T23:40:57Z,100000,False,,,0,,I. Zubac BLOCK (1 BLK),[1627826],1610612754.0,IND,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M31.00S,2026-03-18T23:40:58.2Z,1,REGULAR,rebound,defensive,[],1641771,,,1610612754,0,0,2026-03-18T23:40:59Z,110000,False,,,0,,J. Slawson REBOUND (Off:0 Def:1),[1641771],1610612754.0,IND,,,,Slawson,J. Slawson,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M24.00S,2026-03-18T23:41:05.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,92.9862023653088,64.95098039215686,1610612754,0,0,2026-03-18T23:55:28Z,120000,False,75.0,13.0,1,right,MISS I. Zubac 7' driving Hook,[1627826],1610612754.0,IND,driving,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),0-8 Center,7.6,Missed,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2026-03-18T23:41:07.3Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,0,2026-03-18T23:41:09Z,130000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M12.00S,2026-03-18T23:41:19.6Z,1,REGULAR,foul,personal,['2freethrow'],1630174,,,1610612757,0,0,2026-03-18T23:41:25Z,150000,False,,,0,,A. Nesmith shooting personal FOUL (1 PF) (Clingan 2 FT),"[1630174, 1642270]",1610612754.0,IND,shooting,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,,,1629183.0,1.0,0.0,Clingan,1642270.0,,,,,,,
17,PT11M12.00S,2026-03-18T23:41:41.8Z,1,REGULAR,freethrow,1 of 2,[],1642270,,,1610612757,0,1,2026-03-18T23:41:41Z,170000,False,,,0,,D. Clingan Free Throw 1 of 2 (1 PTS),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
18,PT11M12.00S,2026-03-18T23:41:54.8Z,1,REGULAR,freethrow,2 of 2,[],1642270,,,1610612757,0,2,2026-03-18T23:41:54Z,180000,False,,,0,,D. Clingan Free Throw 2 of 2 (2 PTS),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
19,PT10M51.00S,2026-03-18T23:42:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641771,91.27792378449409,44.11764705882353,1610612754,0,2,2026-03-18T23:42:22Z,190000,False,-29.0,29.0,1,right,MISS J. Slawson driving floating Shot,[1641771],1610612754.0,IND,driving floating,,,Slawson,J. Slawson,,,,,Restricted Area,0-8 Center,4.16,Missed,,,,,,,,,,,,,,,,,,
20,PT10M49.00S,2026-03-18T23:42:19.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,2,2026-03-18T23:42:22Z,200000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M37.00S,2026-03-18T23:42:31.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,12.959921156373195,50.49019607843137,1610612757,0,4,2026-03-18T23:42:36Z,210000,False,-2.0,69.0,1,left,D. Avdija 6' turnaround fadeaway Jump Shot (2 PTS),[1630166],1610612757.0,POR,turnaround fadeaway,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,6.93,Made,,,,,,,,,,,,2.0,,,,,,
22,PT10M23.00S,2026-03-18T23:42:45.2Z,1,REGULAR,3pt,Jump Shot,[],1641771,66.04796320630749,54.90196078431373,1610612754,0,4,2026-03-18T23:42:50Z,220000,False,25.0,267.0,1,right,MISS J. Slawson 26' 3PT,[1641771],1610612754.0,IND,,,,Slawson,J. Slawson,,,,,Above the Break 3,24+ Center,26.77,Missed,,,,,,,,,,,,,,,,,,
23,PT10M23.00S,2026-03-18T23:42:45.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,4,2026-03-18T23:42:50Z,230000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Center,,,22.0,,,,,,,,,,,,,,,,,
26,PT10M03.00S,2026-03-18T23:43:30.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641739,7.703679369250986,51.9607843137255,1610612757,0,6,2026-03-18T23:43:46Z,260000,False,-10.0,20.0,1,left,T. Camara alley-oop Layup (2 PTS) (J. Holiday 1 AST),"[1641739, 201950]",1610612757.0,POR,alley-oop,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,2.22,Made,,,,,,,,,,,,2.0,J. Holiday,201950.0,1.0,,,
28,PT09M46.00S,2026-03-18T23:43:46.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641716,92.72339027595268,49.50980392156863,1610612754,0,6,2026-03-18T23:43:49Z,280000,False,-2.0,16.0,1,right,MISS J. Walker driving Layup,[1641716],1610612754.0,IND,driving,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.61,Missed,,,,,,,,,,,,,,,,,,
29,PT09M44.00S,2026-03-18T23:43:49.1Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612754,0,6,2026-03-18T23:43:49Z,290000,False,,,0,,I. Zubac REBOUND (Off:1 Def:0),[1627826],1610612754.0,IND,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,28.0,1.0,0.0,1.0,,,,,,,,,,,,,,
32,PT09M38.00S,2026-03-18T23:43:54.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,69.72733245729303,76.47058823529412,1610612754,0,6,2026-03-18T23:43:59Z,320000,False,132.0,232.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,26.72,Missed,,,,,,,,,,,,,,,,,,
33,PT09M36.00S,2026-03-18T23:43:56.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,0,6,2026-03-18T23:43:59Z,330000,False,,,0,,D. Avdija REBOUND (Off:0 Def:3),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,32.0,3.0,3.0,0.0,,,,,,,,,,,,,,
34,PT09M24.00S,2026-03-18T23:44:09.2Z,1,REGULAR,3pt,Jump Shot,[],203924,27.414586070959263,82.1078431372549,1610612757,0,6,2026-03-18T23:44:13Z,340000,False,-161.0,205.0,1,left,MISS J. Grant 26' 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Above the Break 3,24+ Left Center,26.05,Missed,,,,,,,,,,,,,,,,,,
