actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-11-04T00:11:25.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-04T00:11:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-11-04T00:11:26.3Z,1,REGULAR,jumpball,recovered,[],1630174,,,1610612754,0,0,2025-11-04T00:11:26Z,40000,False,,,0,,Jump Ball I. Jackson vs. M. Turner: Tip to A. Nesmith,"[1630174, 1630543, 1626167]",1610612754.0,IND,startperiod,A. Nesmith,1630174.0,Nesmith,A. Nesmith,Jackson,1630543.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-11-04T00:11:43.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631245,91.80354796320631,51.470588235294116,1610612754,0,0,2025-11-04T00:11:47Z,70000,False,7.0,25.0,1,right,MISS Q. Jackson driving Layup - blocked,"[1631245, 1626167]",1610612754.0,IND,driving,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,2.56,Missed,Turner,1626167.0,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-11-04T00:11:43.0Z,1,REGULAR,block,,[],1626167,,,1610612754,0,0,2025-11-04T00:11:45Z,80000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2025-11-04T00:11:47.0Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,0,0,2025-11-04T00:11:47Z,90000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M34.00S,2025-11-04T00:11:52.4Z,1,REGULAR,foul,offensive,[],203507,,,1610612749,0,0,2025-11-04T00:12:01Z,100000,False,,,0,,G. Antetokounmpo offensive FOUL (1 PF),"[203507, 1631245]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,,,203054.0,1.0,0.0,Jackson,1631245.0,,,,,,,
12,PT11M34.00S,2025-11-04T00:11:52.4Z,1,REGULAR,turnover,offensive foul,[],203507,,,1610612749,0,0,2025-11-04T00:11:52Z,120000,False,,,0,,G. Antetokounmpo offensive foul TURNOVER (1 TO),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,,,203054.0,,,,,1.0,,,,,,
13,PT11M23.00S,2025-11-04T00:12:21.2Z,1,REGULAR,turnover,bad pass,[],1627783,,,1610612754,0,0,2025-11-04T00:12:23Z,130000,False,,,0,,P. Siakam bad pass TURNOVER (1 TO),"[1627783, 203507]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,Antetokounmpo,203507.0,,,,
14,PT11M23.00S,2025-11-04T00:12:21.2Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2025-11-04T00:12:22Z,140000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2025-11-04T00:12:25.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203507,8.623521681997373,53.92156862745098,1610612749,0,2,2025-11-04T00:12:29Z,150000,False,-20.0,29.0,1,left,G. Antetokounmpo running finger roll Layup (2 PTS),[203507],1610612749.0,MIL,running finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,3.47,Made,,,,,,,,,,,,,,,2.0,,,
16,PT11M10.00S,2025-11-04T00:12:34.0Z,1,REGULAR,2pt,Jump Shot,[],1627783,90.88370565045992,27.696078431372552,1610612754,0,2,2025-11-04T00:13:39Z,160000,False,-112.0,33.0,1,right,MISS P. Siakam 11' turnaround fadeaway Shot,[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,11.63,Missed,,,,,,,,,,,,,,,,,,
17,PT11M07.00S,2025-11-04T00:12:37.0Z,1,REGULAR,rebound,offensive,[],1630543,,,1610612754,0,2,2025-11-04T00:13:39Z,170000,False,,,0,,I. Jackson REBOUND (Off:1 Def:0),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Left,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,
18,PT11M05.00S,2025-11-04T00:12:39.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630174,69.85873850197109,22.30392156862745,1610612754,0,2,2025-11-04T00:12:43Z,180000,False,-138.0,231.0,1,right,MISS A. Nesmith 26' 3PT,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Left Center,26.92,Missed,,,,,,,,,,,,,,,,,,
19,PT11M01.00S,2025-11-04T00:12:43.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,2,2025-11-04T00:12:43Z,190000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
20,PT10M56.00S,2025-11-04T00:12:49.4Z,1,REGULAR,foul,personal,['2freethrow'],1630543,,,1610612749,0,2,2025-11-04T00:13:01Z,200000,False,,,0,,I. Jackson shooting personal FOUL (1 PF) (Turner 2 FT),"[1630543, 1626167]",1610612754.0,IND,shooting,,,Jackson,I. Jackson,,,,,Mid-Range,8-16 Right,,,,,,,,,1627529.0,1.0,0.0,Turner,1626167.0,,,,,,,
22,PT10M56.00S,2025-11-04T00:13:21.2Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612749,0,2,2025-11-04T00:15:12Z,220000,False,,,0,,MISS M. Turner Free Throw 1 of 2,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
23,PT10M56.00S,2025-11-04T00:13:21.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612749,0,2,2025-11-04T00:15:12Z,230000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
24,PT10M56.00S,2025-11-04T00:13:21.2Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612749,0,3,2025-11-04T00:15:12Z,240000,False,,,0,,M. Turner Free Throw 2 of 2 (1 PTS),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
