actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-13T00:42:44.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-13T00:42:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-13T00:42:46.4Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2026-01-13T00:42:46Z,40000,False,,,0,,Jump Ball J. Huff vs. N. Queta: Tip to P. Siakam,"[1627783, 1630643, 1629674]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Huff,1630643.0,Queta,1629674.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-01-13T00:43:00.1Z,1,REGULAR,2pt,Jump Shot,[],1629614,90.09526938239159,74.01960784313727,1610612754,0,0,2026-01-13T00:43:45Z,70000,False,120.0,41.0,1,right,MISS A. Nembhard 12' fadeaway Shot,[1629614],1610612754.0,IND,fadeaway,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Right,12.68,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-01-13T00:43:02.1Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,0,0,2026-01-13T00:43:03Z,80000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2026-01-13T00:43:20.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629674,6.521024967148489,49.754901960784316,1610612738,0,2,2026-01-13T00:43:23Z,90000,False,1.0,9.0,1,left,N. Queta DUNK (2 PTS) (P. Pritchard 1 AST),"[1629674, 1630202]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Restricted Area,0-8 Center,0.89,Made,,,,,2.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,
11,PT11M03.00S,2026-01-13T00:43:41.6Z,1,REGULAR,turnover,out-of-bounds,[],1642277,,,1610612754,0,2,2026-01-13T00:43:47Z,110000,False,,,0,,J. Furphy step out-of-bounds TURNOVER (1 TO),[1642277],1610612754.0,IND,step,,,Furphy,J. Furphy,,,,,Right Corner 3,24+ Right,,,,,,,,,,,2003.0,1.0,,,,,,,,
12,PT10M41.00S,2026-01-13T00:44:12.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630202,14.273981603153747,70.83333333333334,1610612738,0,2,2026-01-13T00:44:16Z,120000,False,-104.0,82.0,1,left,MISS P. Pritchard 13' pullup Shot,[1630202],1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Mid-Range,8-16 Left,13.24,Missed,,,,,,,,,,,,,,,,,,
13,PT10M39.00S,2026-01-13T00:44:14.1Z,1,REGULAR,rebound,defensive,[],1642277,,,1610612754,0,2,2026-01-13T00:44:16Z,130000,False,,,0,,J. Furphy REBOUND (Off:0 Def:1),[1642277],1610612754.0,IND,,,,Furphy,J. Furphy,,,,,Mid-Range,8-16 Left,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M31.00S,2026-01-13T00:44:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,85.62746386333771,52.94117647058824,1610612754,2,2,2026-01-13T00:44:26Z,140000,False,15.0,83.0,1,right,P. Siakam 8' turnaround fadeaway Jump Shot (2 PTS),[1627783],1610612754.0,IND,turnaround fadeaway,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,8.39,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M13.00S,2026-01-13T00:44:40.1Z,1,REGULAR,turnover,bad pass,[],1629674,,,1610612738,2,2,2026-01-13T00:44:42Z,160000,False,,,0,,N. Queta bad pass TURNOVER (1 TO),"[1629674, 1627783]",1610612738.0,BOS,,,,Queta,N. Queta,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,1.0,Siakam,1627783.0,,,,,,
