actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-04-12T22:11:13.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-12T22:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-12T22:11:15.4Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612765,0,0,2026-04-12T22:11:15Z,40000,False,,,0,,Jump Ball P. Reed vs. M. Potter: Tip to T. Harris,"[202699, 1630194, 1630695]",1610612765.0,DET,startperiod,T. Harris,202699.0,Harris,T. Harris,Reed,1630194.0,Potter,1630695.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-04-12T22:11:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,13.354139290407357,50.73529411764706,1610612765,0,0,2026-04-12T22:11:51Z,70000,False,-4.0,73.0,1,left,MISS C. Cunningham 7' driving floating Shot - blocked,"[1630595, 1641771]",1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,Slawson,1641771.0,,,,,,,,,,,,,,,,
8,PT11M44.00S,2026-04-12T22:11:28.4Z,1,REGULAR,block,,[],1641771,,,1610612765,0,0,2026-04-12T22:11:30Z,80000,False,,,0,,J. Slawson BLOCK (1 BLK),[1641771],1610612754.0,IND,,,,Slawson,J. Slawson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M41.00S,2026-04-12T22:11:31.4Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,0,0,2026-04-12T22:11:34Z,90000,False,,,0,,C. Cunningham REBOUND (Off:1 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M38.00S,2026-04-12T22:11:34.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202699,5.338370565045992,53.67647058823529,1610612765,0,0,2026-04-12T22:11:38Z,100000,False,-18.0,-2.0,1,left,MISS T. Harris driving Layup,[202699],1610612765.0,DET,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.85,Missed,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2026-04-12T22:11:36.2Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612754,0,0,2026-04-12T22:11:38Z,110000,False,,,0,,M. Potter REBOUND (Off:0 Def:1),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M17.00S,2026-04-12T22:11:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631245,92.06636005256242,65.68627450980392,1610612754,0,0,2026-04-12T22:12:32Z,120000,False,78.0,22.0,1,right,MISS Q. Jackson 8' driving floating Shot,[1631245],1610612754.0,IND,driving floating,,,Jackson,Q. Jackson,,,,,In The Paint (Non-RA),8-16 Right,8.15,Missed,,,,,,,,,,,,,,,,,,
13,PT11M15.00S,2026-04-12T22:11:56.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2026-04-12T22:11:58Z,130000,False,,,0,,C. Cunningham REBOUND (Off:1 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Right,,,,,12.0,2.0,1.0,1.0,,,,,,,,,,,,
14,PT11M07.00S,2026-04-12T22:12:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,6.915243101182654,47.794117647058826,1610612765,0,2,2026-04-12T22:12:09Z,140000,False,11.0,13.0,1,left,P. Reed cutting Layup (2 PTS) (A. Thompson 1 AST),"[1630194, 1641709]",1610612765.0,DET,cutting,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,1.67,Made,,,,,,,2.0,A. Thompson,1641709.0,1.0,,,,,,,,
16,PT10M53.00S,2026-04-12T22:12:18.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631245,91.93495400788436,54.65686274509803,1610612754,2,2,2026-04-12T22:12:23Z,160000,False,23.0,23.0,1,right,Q. Jackson cutting finger roll Layup (2 PTS) (E. Thompson 1 AST),"[1631245, 1630679]",1610612754.0,IND,cutting finger roll,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,3.3,Made,,,,,,,2.0,E. Thompson,1630679.0,1.0,,,,,,,,
18,PT10M39.00S,2026-04-12T22:12:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630194,6.521024967148489,47.05882352941176,1610612765,2,4,2026-04-12T22:13:29Z,180000,False,15.0,9.0,1,left,P. Reed cutting Layup (4 PTS) (C. Cunningham 1 AST),"[1630194, 1630595]",1610612765.0,DET,cutting,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,,,4.0,C. Cunningham,1630595.0,1.0,,,,,,,,
20,PT10M30.00S,2026-04-12T22:12:42.6Z,1,REGULAR,3pt,Jump Shot,[],1630695,67.23061760840999,59.068627450980394,1610612754,2,4,2026-04-12T22:12:47Z,200000,False,45.0,256.0,1,right,MISS M. Potter 25' 3PT,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Center,25.95,Missed,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2026-04-12T22:12:44.6Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612765,2,4,2026-04-12T22:12:51Z,210000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612765.0,DET,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Center,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M18.00S,2026-04-12T22:12:53.6Z,1,REGULAR,turnover,lost ball,[],1641709,,,1610612765,2,4,2026-04-12T22:12:59Z,220000,False,,,0,,A. Thompson lost ball TURNOVER (1 TO),"[1641709, 1631245]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Jackson,1631245.0,,,,,
23,PT10M18.00S,2026-04-12T22:12:53.6Z,1,REGULAR,steal,,[],1631245,,,1610612754,2,4,2026-04-12T22:12:55Z,230000,False,,,0,,Q. Jackson STEAL (1 STL),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
24,PT10M14.00S,2026-04-12T22:12:58.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630679,77.4802890932983,6.372549019607843,1610612754,2,4,2026-04-12T22:13:15Z,240000,False,-218.0,159.0,1,right,MISS E. Thompson 27' running 3PT,[1630679],1610612754.0,IND,running,,,Thompson,E. Thompson,,,,,Above the Break 3,24+ Left Center,27.0,Missed,,,,,,,,,,,,,,,,,,
25,PT10M10.00S,2026-04-12T22:13:02.4Z,1,REGULAR,rebound,offensive,[],1630695,,,1610612754,2,4,2026-04-12T22:13:02Z,250000,False,,,0,,M. Potter REBOUND (Off:1 Def:1),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Left Center,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,
26,PT10M08.00S,2026-04-12T22:13:04.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1631245,67.49342969776609,63.725490196078425,1610612754,2,4,2026-04-12T22:13:09Z,260000,False,69.0,253.0,1,right,MISS Q. Jackson 26' 3PT,[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Center,26.22,Missed,,,,,,,,,,,,,,,,,,
27,PT10M08.00S,2026-04-12T22:13:04.1Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,2,4,2026-04-12T22:13:09Z,270000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT10M00.00S,2026-04-12T22:13:15.1Z,1,REGULAR,foul,personal,[],1641771,,,1610612765,2,4,2026-04-12T22:13:26Z,280000,False,,,0,,J. Slawson personal FOUL (1 PF),"[1641771, 202699]",1610612754.0,IND,,,,Slawson,J. Slawson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,204058.0,1.0,0.0,Harris,202699.0
30,PT09M57.00S,2026-04-12T22:13:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630595,24.78646517739816,86.76470588235294,1610612765,2,4,2026-04-12T22:13:38Z,300000,False,-184.0,180.0,1,left,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,25.76,Missed,,,,,,,,,,,,,,,,,,
31,PT09M54.00S,2026-04-12T22:13:37.1Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612754,2,4,2026-04-12T22:13:38Z,310000,False,,,0,,M. Potter REBOUND (Off:1 Def:2),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Left Center,,,,,30.0,3.0,2.0,1.0,,,,,,,,,,,,
32,PT09M45.00S,2026-04-12T22:13:45.6Z,1,REGULAR,turnover,lost ball,[],1630695,,,1610612754,2,4,2026-04-12T22:13:49Z,320000,False,,,0,,M. Potter lost ball TURNOVER (1 TO),"[1630695, 1630194]",1610612754.0,IND,,,,Potter,M. Potter,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,Reed,1630194.0,,,,,
33,PT09M45.00S,2026-04-12T22:13:45.6Z,1,REGULAR,steal,,[],1630194,,,1610612765,2,4,2026-04-12T22:13:47Z,330000,False,,,0,,P. Reed STEAL (1 STL),[1630194],1610612765.0,DET,,,,Reed,P. Reed,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
34,PT09M41.00S,2026-04-12T22:13:49.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1630194,8.623521681997373,52.20588235294118,1610612765,2,6,2026-04-12T22:15:45Z,340000,False,-11.0,29.0,1,left,P. Reed running Layup (6 PTS),[1630194],1610612765.0,DET,running,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,3.06,Made,,,,,,,6.0,,,,,,,,,,,
35,PT09M41.00S,2026-04-12T22:13:52.6Z,1,REGULAR,violation,defensive goaltending,[],1641771,,,1610612765,2,6,2026-04-12T22:14:02Z,350000,False,,,0,,J. Slawson defensive goaltending VIOLATION,[1641771],1610612754.0,IND,,,,Slawson,J. Slawson,,,,,,,,,,,,,,,,,,,,,,1627534.0,,,,
36,PT09M41.00S,2026-04-12T22:13:58.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,2,6,2026-04-12T22:13:58Z,360000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M24.00S,2026-04-12T22:17:13.3Z,1,REGULAR,3pt,Jump Shot,[],1630679,63.6826544021025,55.392156862745104,1610612754,2,6,2026-04-12T22:17:17Z,370000,False,27.0,289.0,1,right,MISS E. Thompson 29' 3PT,[1630679],1610612754.0,IND,,,,Thompson,E. Thompson,,,,,Above the Break 3,24+ Center,29.02,Missed,,,,,,,,,,,,,,,,,,
38,PT09M22.00S,2026-04-12T22:17:15.3Z,1,REGULAR,rebound,defensive,[],1641709,,,1610612765,2,6,2026-04-12T22:17:17Z,380000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Center,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,,,
39,PT09M09.00S,2026-04-12T22:17:29.3Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,2,6,2026-04-12T22:17:32Z,390000,False,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1641771]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,1.0,Slawson,1641771.0,,,,,
40,PT09M09.00S,2026-04-12T22:17:29.3Z,1,REGULAR,steal,,[],1641771,,,1610612754,2,6,2026-04-12T22:17:30Z,400000,False,,,0,,J. Slawson STEAL (1 STL),[1641771],1610612754.0,IND,,,,Slawson,J. Slawson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
41,PT09M05.00S,2026-04-12T22:17:32.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631245,91.27792378449409,52.450980392156865,1610612754,4,6,2026-04-12T22:17:37Z,410000,False,12.0,29.0,1,right,Q. Jackson running Layup (4 PTS) (J. Slawson 1 AST),"[1631245, 1641771]",1610612754.0,IND,running,,,Jackson,Q. Jackson,,,,,Restricted Area,0-8 Center,3.2,Made,,,,,,,4.0,J. Slawson,1641771.0,1.0,,,,,,,,
43,PT08M42.00S,2026-04-12T22:17:56.2Z,1,REGULAR,3pt,Jump Shot,[],202699,29.517082785808146,78.18627450980392,1610612765,4,9,2026-04-12T22:18:00Z,430000,False,-141.0,225.0,1,left,T. Harris 26' 3PT  (3 PTS) (C. Cunningham 2 AST),"[202699, 1630595]",1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,26.55,Made,,,,,,,3.0,C. Cunningham,1630595.0,2.0,,,,,,,,
45,PT08M23.00S,2026-04-12T22:18:14.7Z,1,REGULAR,3pt,Jump Shot,[],1630695,81.68528252299606,97.05882352941177,1610612754,4,9,2026-04-12T22:18:17Z,450000,False,235.0,120.0,1,right,MISS M. Potter 26' 3PT,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Right Center,26.4,Missed,,,,,,,,,,,,,,,,,,
46,PT08M21.00S,2026-04-12T22:18:16.7Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,4,9,2026-04-12T22:18:17Z,460000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,,45.0,2.0,2.0,0.0,,,,,,,,,,,,
47,PT08M08.00S,2026-04-12T22:18:29.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630194,5.075558475689881,48.529411764705884,1610612765,4,11,2026-04-12T22:18:33Z,470000,False,7.0,-5.0,1,left,P. Reed driving DUNK (8 PTS) (D. Robinson 1 AST),"[1630194, 1629130]",1610612765.0,DET,driving,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,0.88,Made,,,,,,,8.0,D. Robinson,1629130.0,1.0,,,,,,,,
