actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-25T23:11:19.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-25T23:11:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-25T23:11:23.1Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2026-03-25T23:11:23Z,40000,False,,,0,,Jump Ball J. Huff vs. J. Hayes: Tip to P. Siakam,"[1627783, 1630643, 1629637]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Huff,1630643.0,Hayes,1629637.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-03-25T23:11:37.7Z,1,REGULAR,turnover,lost ball,[],1641716,,,1610612754,0,0,2026-03-25T23:11:40Z,70000,False,,,0,,J. Walker lost ball TURNOVER (1 TO),"[1641716, 1631222]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,1.0,LaRavia,1631222.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-03-25T23:11:37.7Z,1,REGULAR,steal,,[],1631222,,,1610612747,0,0,2026-03-25T23:11:39Z,80000,False,,,0,,J. LaRavia STEAL (1 STL),[1631222],1610612747.0,LAL,,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2026-03-25T23:11:42.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629637,5.206964520367937,47.549019607843135,1610612747,0,2,2026-03-25T23:11:46Z,90000,False,12.0,-4.0,1,left,J. Hayes running alley-oop DUNK (2 PTS) (L. James 1 AST),"[1629637, 2544]",1610612747.0,LAL,running alley-oop,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,1.28,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,
11,PT11M23.00S,2026-03-25T23:12:16.0Z,1,REGULAR,jumpball,recovered,[],1641716,,,1610612754,0,2,2026-03-25T23:12:16Z,110000,False,,,0,,Jump Ball P. Siakam vs. J. LaRavia: Tip to J. Walker,"[1641716, 1627783, 1631222]",1610612754.0,IND,heldball,J. Walker,1641716.0,Walker,J. Walker,Siakam,1627783.0,LaRavia,1631222.0,,,,,,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2026-03-25T23:12:25.7Z,1,REGULAR,turnover,bad pass,[],1629614,,,1610612754,0,2,2026-03-25T23:12:29Z,140000,False,,,0,,A. Nembhard bad pass TURNOVER (1 TO),"[1629614, 1630559]",1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Left,1.0,Reaves,1630559.0,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2026-03-25T23:12:25.7Z,1,REGULAR,steal,,[],1630559,,,1610612747,0,2,2026-03-25T23:12:28Z,150000,False,,,0,,A. Reaves STEAL (1 STL),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2026-03-25T23:12:41.7Z,1,REGULAR,foul,technical,['1freethrow'],1630643,,,1610612747,0,2,2026-03-25T23:12:46Z,160000,False,,,0,,J. Huff defensive-3-second technical FOUL (1 Tech),[1630643],1610612754.0,IND,defensive-3-second,,,Huff,J. Huff,,,,,,,,,,,,,,,,200833.0,0.0,1.0,,,,,,,,
17,PT11M04.00S,2026-03-25T23:12:54.4Z,1,REGULAR,freethrow,1 of 1,[],1630559,,,1610612747,0,3,2026-03-25T23:12:54Z,170000,False,,,0,,A. Reaves technical Free Throw 1 of 1 (1 PTS),[1630559],1610612747.0,LAL,technical,,,Reaves,A. Reaves,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
18,PT10M56.00S,2026-03-25T23:13:12.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629029,33.85348226018397,59.55882352941176,1610612747,0,6,2026-03-25T23:13:16Z,180000,False,-48.0,266.0,1,left,L. Dončić 27' 3PT step back (3 PTS) (J. Hayes 1 AST),"[1629029, 1629637]",1610612747.0,LAL,step back,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,,27.0,Made,3.0,J. Hayes,1629637.0,1.0,,,,,,,,,,,
