actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
192,PT12M00.00S,2026-01-03T00:40:06.2Z,2,REGULAR,substitution,out,['startperiod'],1630577,,,1610612759,31,30,2026-01-03T00:40:25Z,1900000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT12M00.00S,2026-01-03T00:40:06.2Z,2,REGULAR,substitution,in,['startperiod'],1627783,,,1610612759,31,30,2026-01-03T00:40:25Z,1910000,False,,,0,,SUB in: P. Siakam,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT12M00.00S,2026-01-03T00:40:06.2Z,2,REGULAR,substitution,in,['startperiod'],1628368,,,1610612759,31,30,2026-01-03T00:40:25Z,1920000,False,,,0,,SUB in: D. Fox,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT12M00.00S,2026-01-03T00:40:06.2Z,2,REGULAR,substitution,in,['startperiod'],1628436,,,1610612759,31,30,2026-01-03T00:40:25Z,1930000,False,,,0,,SUB in: L. Kornet,[1628436],1610612759.0,SAS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
196,PT12M00.00S,2026-01-03T00:40:06.2Z,2,REGULAR,substitution,in,['startperiod'],1630322,,,1610612759,31,30,2026-01-03T00:40:25Z,1940000,False,,,0,,SUB in: L. Waters III,[1630322],1610612759.0,SAS,,,,Waters III,L. Waters III,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT12M00.00S,2026-01-03T00:40:38.1Z,2,REGULAR,period,start,[],0,,,1610612754,31,30,2026-01-03T00:40:38Z,1950000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT11M45.00S,2026-01-03T00:40:51.5Z,2,REGULAR,turnover,bad pass,[],204456,,,1610612754,31,30,2026-01-03T00:40:54Z,1960000,False,,,0,,T. McConnell bad pass TURNOVER (1 TO),"[204456, 1642844]",1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,1.0,Harper,1642844.0
199,PT11M45.00S,2026-01-03T00:40:51.5Z,2,REGULAR,steal,,[],1642844,,,1610612759,31,30,2026-01-03T00:40:53Z,1970000,False,,,0,,D. Harper STEAL (1 STL),[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
200,PT11M41.00S,2026-01-03T00:40:56.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642844,5.601182654402102,56.372549019607845,1610612759,31,32,2026-01-03T00:40:59Z,1980000,False,-32.0,0.0,1,left,D. Harper running Layup (5 PTS),[1642844],1610612759.0,SAS,running,,,Harper,D. Harper,,,,,Restricted Area,0-8 Center,3.19,Made,,,,,5.0,,,,,,,,,,,,,
202,PT11M26.00S,2026-01-03T00:41:30.2Z,2,REGULAR,foul,personal,[],1629640,,,1610612754,31,32,2026-01-03T00:42:00Z,2000000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1629640, 1627783]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1151.0,1.0,0.0,Siakam,1627783.0,,,,,
204,PT11M23.00S,2026-01-03T00:41:53.9Z,2,REGULAR,foul,offensive,[],1630174,,,1610612754,31,32,2026-01-03T00:41:57Z,2020000,False,,,0,,A. Nesmith offensive FOUL (2 PF),"[1630174, 1628368]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1151.0,2.0,0.0,Fox,1628368.0,,,,,
206,PT11M23.00S,2026-01-03T00:41:53.9Z,2,REGULAR,turnover,offensive foul,[],1630174,,,1610612754,31,32,2026-01-03T00:41:53Z,2040000,False,,,0,,A. Nesmith offensive foul TURNOVER (1 TO),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1151.0,,,,,,,1.0,,
207,PT11M08.00S,2026-01-03T00:42:21.0Z,2,REGULAR,turnover,bad pass,[],1629640,,,1610612759,31,32,2026-01-03T00:42:23Z,2050000,False,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1629640, 1627783]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,1.0,Siakam,1627783.0
208,PT11M08.00S,2026-01-03T00:42:21.0Z,2,REGULAR,steal,,[],1627783,,,1610612754,31,32,2026-01-03T00:42:22Z,2060000,False,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
209,PT10M56.00S,2026-01-03T00:42:33.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1641716,70.77858081471747,22.058823529411764,1610612754,34,32,2026-01-03T00:42:36Z,2070000,False,-140.0,222.0,1,right,J. Walker 26' 3PT  (5 PTS) (P. Siakam 3 AST),"[1641716, 1627783]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,26.25,Made,,,,,5.0,P. Siakam,1627783.0,3.0,,,,,,,,,,
211,PT10M39.00S,2026-01-03T00:42:49.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642844,15.982260183968464,62.00980392156863,1610612759,34,34,2026-01-03T00:42:53Z,2090000,False,-60.0,98.0,1,left,D. Harper 11' pullup Jump Shot (7 PTS),[1642844],1610612759.0,SAS,pullup,,,Harper,D. Harper,,,,,In The Paint (Non-RA),8-16 Left,11.47,Made,,,,,7.0,,,,,,,,,,,,,
212,PT10M25.00S,2026-01-03T00:43:04.0Z,2,REGULAR,3pt,Jump Shot,[],1630643,69.72733245729303,23.284313725490197,1610612754,34,34,2026-01-03T00:43:07Z,2100000,False,-134.0,232.0,1,right,MISS J. Huff 26' 3PT,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Left Center,26.78,Missed,,,,,,,,,,,,,,,,,,
213,PT10M23.00S,2026-01-03T00:43:06.0Z,2,REGULAR,rebound,defensive,[],1629640,,,1610612759,34,34,2026-01-03T00:43:07Z,2110000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,212.0,1.0,1.0,0.0,,,,,,,,,,,,,,
214,PT10M16.00S,2026-01-03T00:43:13.6Z,2,REGULAR,turnover,lost ball,[],1629640,,,1610612759,34,34,2026-01-03T00:43:15Z,2120000,False,,,0,,K. Johnson lost ball TURNOVER (2 TO),"[1629640, 204456]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,2.0,McConnell,204456.0
215,PT10M16.00S,2026-01-03T00:43:13.6Z,2,REGULAR,steal,,[],204456,,,1610612754,34,34,2026-01-03T00:51:44Z,2130000,False,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
216,PT10M10.00S,2026-01-03T00:43:18.9Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630174,68.54467805519053,66.17647058823529,1610612754,34,34,2026-01-03T00:43:22Z,2140000,False,81.0,243.0,1,right,MISS A. Nesmith 25' running 3PT,[1630174],1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,25.63,Missed,,,,,,,,,,,,,,,,,,
217,PT10M07.00S,2026-01-03T00:43:21.9Z,2,REGULAR,rebound,defensive,[],1629640,,,1610612759,34,34,2026-01-03T00:43:22Z,2150000,False,,,0,,K. Johnson REBOUND (Off:0 Def:2),[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,216.0,2.0,2.0,0.0,,,,,,,,,,,,,,
218,PT09M54.00S,2026-01-03T00:43:35.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629640,12.697109067017081,43.872549019607845,1610612759,34,34,2026-01-03T00:50:22Z,2160000,False,31.0,67.0,1,left,MISS K. Johnson 7' driving Layup - blocked,"[1629640, 1630643]",1610612759.0,SAS,driving,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.36,Missed,,,,,,,,,,,,,,Huff,1630643.0,,,
219,PT09M54.00S,2026-01-03T00:43:35.4Z,2,REGULAR,block,,[],1630643,,,1610612759,34,34,2026-01-03T00:43:37Z,2170000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
220,PT09M52.00S,2026-01-03T00:43:37.4Z,2,REGULAR,rebound,offensive,[],1628368,,,1610612759,34,34,2026-01-03T00:43:38Z,2180000,False,,,0,,D. Fox REBOUND (Off:1 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,,,218.0,2.0,1.0,1.0,,,,,,,,,,,,,,
221,PT09M51.00S,2026-01-03T00:43:38.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628368,5.863994743758213,95.34313725490196,1610612759,34,37,2026-01-03T00:43:41Z,2190000,False,-227.0,3.0,1,left,D. Fox 3PT  (5 PTS),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Left Corner 3,24+ Left,22.67,Made,,,,,5.0,,,,,,,,,,,,,
222,PT09M38.00S,2026-01-03T00:43:50.7Z,2,REGULAR,turnover,bad pass,[],1630174,,,1610612754,34,37,2026-01-03T00:43:53Z,2200000,False,,,0,,A. Nesmith bad pass TURNOVER (2 TO),"[1630174, 1642844]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,2.0,Harper,1642844.0
223,PT09M38.00S,2026-01-03T00:43:50.7Z,2,REGULAR,steal,,[],1642844,,,1610612759,34,37,2026-01-03T00:43:52Z,2210000,False,,,0,,D. Harper STEAL (2 STL),[1642844],1610612759.0,SAS,,,,Harper,D. Harper,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
224,PT09M35.00S,2026-01-03T00:43:53.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642844,6.258212877792378,51.71568627450981,1610612759,34,39,2026-01-03T00:43:58Z,2220000,False,-9.0,6.0,1,left,D. Harper running DUNK (9 PTS),[1642844],1610612759.0,SAS,running,,,Harper,D. Harper,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,9.0,,,,,,,,,,,,,
225,PT09M35.00S,2026-01-03T00:43:56.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,34,39,2026-01-03T00:43:56Z,2230000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT09M35.00S,2026-01-03T00:46:16.6Z,2,REGULAR,substitution,out,[],1630174,,,1610612754,34,39,2026-01-03T00:46:47Z,2240000,False,,,0,,SUB out: A. Nesmith,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT09M35.00S,2026-01-03T00:46:16.6Z,2,REGULAR,substitution,out,[],1629640,,,1610612754,34,39,2026-01-03T00:46:47Z,2250000,False,,,0,,SUB out: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT09M35.00S,2026-01-03T00:46:16.6Z,2,REGULAR,substitution,in,[],1641767,,,1610612754,34,39,2026-01-03T00:46:47Z,2260000,False,,,0,,SUB in: B. Sheppard,[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT09M35.00S,2026-01-03T00:46:16.6Z,2,REGULAR,substitution,in,[],1630577,,,1610612754,34,39,2026-01-03T00:46:47Z,2270000,False,,,0,,SUB in: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT09M17.00S,2026-01-03T00:47:19.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204456,86.41590013140605,48.28431372549019,1610612754,36,39,2026-01-03T00:52:20Z,2280000,False,-9.0,75.0,1,right,T. McConnell 7' pullup Jump Shot (6 PTS),[204456],1610612754.0,IND,pullup,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,7.57,Made,,,,,6.0,,,,,,,,,,,,,
231,PT08M59.00S,2026-01-03T00:47:36.5Z,2,REGULAR,3pt,Jump Shot,[],1630577,21.632720105124836,89.95098039215686,1610612759,36,39,2026-01-03T00:47:40Z,2290000,False,-200.0,151.0,1,left,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
232,PT08M56.00S,2026-01-03T00:47:39.5Z,2,REGULAR,rebound,defensive,[],204456,,,1610612754,36,39,2026-01-03T00:47:40Z,2300000,False,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Above the Break 3,24+ Left Center,,,231.0,1.0,1.0,0.0,,,,,,,,,,,,,,
233,PT08M50.00S,2026-01-03T00:47:45.8Z,2,REGULAR,3pt,Jump Shot,[],204456,69.59592641261499,65.68627450980392,1610612754,36,39,2026-01-03T00:53:07Z,2310000,False,78.0,233.0,1,right,MISS T. McConnell 24' 3PT,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Above the Break 3,24+ Right Center,24.61,Missed,,,,,,,,,,,,,,,,,,
234,PT08M47.00S,2026-01-03T00:47:48.8Z,2,REGULAR,rebound,defensive,[],1630577,,,1610612759,36,39,2026-01-03T00:47:51Z,2320000,False,,,0,,J. Champagnie REBOUND (Off:2 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,233.0,4.0,2.0,2.0,,,,,,,,,,,,,,
235,PT08M38.00S,2026-01-03T00:47:58.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,11.12023653088042,56.86274509803921,1610612759,36,41,2026-01-03T00:53:28Z,2330000,False,-34.0,52.0,1,left,D. Fox 6' driving floating Jump Shot (7 PTS),[1628368],1610612759.0,SAS,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,6.23,Made,,,,,7.0,,,,,,,,,,,,,
236,PT08M20.00S,2026-01-03T00:48:19.8Z,2,REGULAR,foul,technical,['1freethrow'],1642844,,,1610612754,36,41,2026-01-03T00:48:32Z,2340000,False,,,0,,D. Harper defensive-3-second technical FOUL (1 Tech),[1642844],1610612759.0,SAS,defensive-3-second,,,Harper,D. Harper,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1193.0,0.0,1.0,,,,,,,
237,PT08M20.00S,2026-01-03T00:48:38.6Z,2,REGULAR,freethrow,1 of 1,[],1641716,,,1610612754,37,41,2026-01-03T00:48:38Z,2350000,False,,,0,,J. Walker technical Free Throw 1 of 1 (6 PTS),[1641716],1610612754.0,IND,technical,,,Walker,J. Walker,,,,,,,,Made,,,,,6.0,,,,,,,,,,,,,
238,PT08M20.00S,2026-01-03T00:48:39.4Z,2,REGULAR,substitution,out,[],204456,,,1610612754,37,41,2026-01-03T00:48:59Z,2360000,False,,,0,,SUB out: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT08M20.00S,2026-01-03T00:48:39.4Z,2,REGULAR,substitution,out,[],1630643,,,1610612754,37,41,2026-01-03T00:48:59Z,2370000,False,,,0,,SUB out: J. Huff,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT08M20.00S,2026-01-03T00:48:39.4Z,2,REGULAR,substitution,in,[],1629614,,,1610612754,37,41,2026-01-03T00:48:59Z,2380000,False,,,0,,SUB in: A. Nembhard,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT08M20.00S,2026-01-03T00:48:39.4Z,2,REGULAR,substitution,in,[],1630695,,,1610612754,37,41,2026-01-03T00:48:59Z,2390000,False,,,0,,SUB in: M. Potter,[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT08M16.00S,2026-01-03T00:49:14.8Z,2,REGULAR,turnover,out-of-bounds,[],1630695,,,1610612754,37,41,2026-01-03T00:49:19Z,2400000,False,,,0,,M. Potter bad pass out-of-bounds TURNOVER (1 TO),[1630695],1610612754.0,IND,bad pass,,,Potter,M. Potter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1193.0,,,,,,,1.0,,
243,PT08M07.00S,2026-01-03T00:49:30.4Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628368,14.799605781865965,46.81372549019608,1610612759,37,43,2026-01-03T00:49:33Z,2410000,False,16.0,87.0,1,left,D. Fox 8' fadeaway Jump Shot (9 PTS),[1628368],1610612759.0,SAS,fadeaway,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,8.8,Made,,,,,9.0,,,,,,,,,,,,,
