actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-12T23:10:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-12T23:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-12T23:10:33.5Z,1,REGULAR,jumpball,recovered,[],1630679,,,1610612754,0,0,2026-03-12T23:10:33Z,40000,False,,,0,,Jump Ball I. Zubac vs. O. Ighodaro: Tip to E. Thompson,"[1630679, 1627826, 1642345]",1610612754.0,IND,startperiod,E. Thompson,1630679.0,Thompson,E. Thompson,Zubac,1627826.0,Ighodaro,1642345.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-03-12T23:10:52.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641716,92.9862023653088,52.20588235294118,1610612754,2,0,2026-03-12T23:10:56Z,70000,False,11.0,13.0,1,right,J. Walker driving Layup (2 PTS),[1641716],1610612754.0,IND,driving,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.73,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2026-03-12T23:11:04.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,23.99802890932983,46.568627450980394,1610612756,2,2,2026-03-12T23:11:07Z,80000,False,17.0,173.0,1,left,D. Booker 17' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,17.4,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M13.00S,2026-03-12T23:11:16.9Z,1,REGULAR,2pt,Jump Shot,[],1629614,76.16622864651774,39.21568627450981,1610612754,4,2,2026-03-12T23:11:20Z,90000,False,-54.0,172.0,1,right,A. Nembhard 17' pullup Jump Shot (2 PTS),[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Center,17.98,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M57.00S,2026-03-12T23:11:34.4Z,1,REGULAR,foul,personal,['2freethrow'],1641738,,,1610612756,4,2,2026-03-12T23:11:45Z,100000,False,,,0,,K. Brown shooting personal FOUL (1 PF) (Ighodaro 2 FT),"[1641738, 1642345]",1610612754.0,IND,shooting,,,Brown,K. Brown,,,,,Restricted Area,0-8 Center,,,,2002.0,1.0,0.0,Ighodaro,1642345.0,,,,,,,,,,,,
12,PT10M57.00S,2026-03-12T23:12:04.2Z,1,REGULAR,freethrow,1 of 2,[],1642345,,,1610612756,4,3,2026-03-12T23:12:21Z,120000,False,,,0,,O. Ighodaro Free Throw 1 of 2 (1 PTS),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2026-03-12T23:12:04.2Z,1,REGULAR,freethrow,2 of 2,[],1642345,,,1610612756,4,3,2026-03-12T23:12:21Z,130000,False,,,0,,MISS O. Ighodaro Free Throw 2 of 2,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2026-03-12T23:12:06.2Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612754,4,3,2026-03-12T23:12:21Z,140000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612754.0,IND,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M46.00S,2026-03-12T23:12:29.8Z,1,REGULAR,2pt,Jump Shot,[],1629614,91.14651773981603,26.96078431372549,1610612754,6,3,2026-03-12T23:12:39Z,150000,False,-115.0,31.0,1,right,A. Nembhard 11' fadeaway Jump Shot (4 PTS),[1629614],1610612754.0,IND,fadeaway,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Left,11.92,Made,4.0,,,,,,,,,,,,,,,,,
