actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-27T00:10:28.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-27T00:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2026-02-27T00:10:30.1Z,1,REGULAR,jumpball,recovered,[],1641706,,,1610612766,0,0,2026-02-27T00:10:30Z,40000,False,,,0,,Jump Ball M. Diabaté vs. J. Huff: Tip to B. Miller,"[1641706, 1631217, 1630643]",1610612766.0,CHA,startperiod,B. Miller,1641706.0,Miller,B. Miller,Diabaté,1631217.0,Huff,1630643.0,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2026-02-27T00:10:48.8Z,1,REGULAR,3pt,Jump Shot,[],1641706,82.47371879106439,1.9607843137254901,1610612766,0,0,2026-02-27T00:10:52Z,70000,False,-240.0,112.0,1,right,MISS B. Miller 26' 3PT,[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,26.51,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2026-02-27T00:10:51.6Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,0,0,2026-02-27T00:10:51Z,80000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2026-02-27T00:11:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630167,7.178055190538765,42.64705882352941,1610612754,2,0,2026-02-27T00:11:05Z,90000,False,37.0,15.0,1,left,O. Toppin driving Layup (2 PTS) (A. Nembhard 1 AST),"[1630167, 1629614]",1610612754.0,IND,driving,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,3.97,Made,,,,,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,
11,PT11M16.00S,2026-02-27T00:11:10.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,65.52233902759527,45.588235294117645,1610612766,2,0,2026-02-27T00:11:33Z,110000,False,-22.0,272.0,1,right,MISS L. Ball 27' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,27.25,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2026-02-27T00:11:11.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,2,0,2026-02-27T00:11:14Z,120000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Center,,,11.0,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2026-02-27T00:11:39.0Z,1,REGULAR,3pt,Jump Shot,[],1629614,33.85348226018397,40.44117647058824,1610612754,2,0,2026-02-27T00:11:44Z,140000,False,48.0,266.0,1,left,MISS A. Nembhard 27' pullup 3PT,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,27.0,Missed,,,,,,,,,,,,,,,,,,
15,PT10M50.00S,2026-02-27T00:11:43.0Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,2,0,2026-02-27T00:11:44Z,150000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M45.00S,2026-02-27T00:11:47.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630163,91.27792378449409,53.431372549019606,1610612766,2,2,2026-02-27T00:11:52Z,160000,False,17.0,29.0,1,right,L. Ball running finger roll Layup (2 PTS) (B. Miller 1 AST),"[1630163, 1641706]",1610612766.0,CHA,running finger roll,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,3.41,Made,,,,,2.0,B. Miller,1641706.0,1.0,,,,,,,,,,
18,PT10M34.00S,2026-02-27T00:11:58.7Z,1,REGULAR,3pt,Jump Shot,[],1630167,18.478975032851512,96.32352941176471,1610612754,2,2,2026-02-27T00:12:05Z,180000,False,-232.0,121.0,1,left,MISS O. Toppin 26' 3PT,[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,26.14,Missed,,,,,,,,,,,,,,,,,,
19,PT10M30.00S,2026-02-27T00:12:02.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,2,2,2026-02-27T00:12:05Z,190000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Above the Break 3,24+ Left Center,,,18.0,,,,,,,,,,,,,,,,,
21,PT10M20.00S,2026-02-27T00:12:23.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,78.40013140604468,7.598039215686274,1610612766,2,2,2026-02-27T00:12:27Z,210000,False,-212.0,151.0,1,right,MISS M. Bridges 26' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
22,PT10M17.00S,2026-02-27T00:12:26.3Z,1,REGULAR,rebound,defensive,[],1641716,,,1610612754,2,2,2026-02-27T00:12:27Z,220000,False,,,0,,J. Walker REBOUND (Off:0 Def:1),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M11.00S,2026-02-27T00:12:32.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629614,12.959921156373195,50.245098039215684,1610612754,2,2,2026-02-27T00:12:36Z,230000,False,-1.0,69.0,1,left,MISS A. Nembhard 6' running Layup - blocked,"[1629614, 1642851]",1610612754.0,IND,running,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,6.93,Missed,,,,,,,,,Knueppel,1642851.0,,,,,,,,
24,PT10M11.00S,2026-02-27T00:12:32.0Z,1,REGULAR,block,,[],1642851,,,1610612754,2,2,2026-02-27T00:12:33Z,240000,False,,,0,,K. Knueppel BLOCK (1 BLK),[1642851],1610612766.0,CHA,,,,Knueppel,K. Knueppel,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M09.00S,2026-02-27T00:12:34.0Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,2,2,2026-02-27T00:12:36Z,250000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT10M08.00S,2026-02-27T00:12:44.9Z,1,REGULAR,turnover,out-of-bounds,[],1641706,,,1610612766,2,2,2026-02-27T00:12:49Z,270000,False,,,0,,B. Miller bad pass out-of-bounds TURNOVER (1 TO),[1641706],1610612766.0,CHA,bad pass,,,Miller,B. Miller,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,201246.0,1.0,,,,,,
28,PT09M51.00S,2026-02-27T00:13:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630643,7.835085413929041,46.568627450980394,1610612754,4,2,2026-02-27T00:13:15Z,280000,False,17.0,21.0,1,left,J. Huff Layup (2 PTS) (A. Nembhard 2 AST),"[1630643, 1629614]",1610612754.0,IND,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,2.72,Made,,,,,2.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,
30,PT09M46.00S,2026-02-27T00:13:20.3Z,1,REGULAR,turnover,backcourt,[],1630163,,,1610612766,4,2,2026-02-27T00:15:57Z,300000,False,,,0,,L. Ball backcourt TURNOVER (1 TO),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,201246.0,1.0,,,,,,
31,PT09M42.00S,2026-02-27T00:13:44.0Z,1,REGULAR,violation,kicked ball,[],1631217,,,1610612754,4,2,2026-02-27T00:13:47Z,310000,False,,,0,,M. Diabaté kicked ball VIOLATION,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,202027.0,,,,,,,
32,PT09M27.00S,2026-02-27T00:14:17.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630643,5.863994743758213,63.970588235294116,1610612754,6,2,2026-02-27T00:14:21Z,320000,False,-70.0,3.0,1,left,J. Huff 6' turnaround bank Jump Shot (4 PTS) (A. Nembhard 3 AST),"[1630643, 1629614]",1610612754.0,IND,turnaround bank,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,6.99,Made,,,,,4.0,A. Nembhard,1629614.0,3.0,,,,,,,,,,
34,PT09M18.00S,2026-02-27T00:14:26.5Z,1,REGULAR,turnover,lost ball,[],1641706,,,1610612766,6,2,2026-02-27T00:14:28Z,340000,False,,,0,,B. Miller lost ball TURNOVER (2 TO),"[1641706, 1641716]",1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,2.0,Walker,1641716.0,,,,
35,PT09M18.00S,2026-02-27T00:14:26.5Z,1,REGULAR,steal,,[],1641716,,,1610612754,6,2,2026-02-27T00:14:27Z,350000,False,,,0,,J. Walker STEAL (1 STL),[1641716],1610612754.0,IND,,,,Walker,J. Walker,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
36,PT09M16.00S,2026-02-27T00:14:29.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641716,5.206964520367937,51.9607843137255,1610612754,8,2,2026-02-27T00:14:38Z,360000,False,-10.0,-4.0,1,left,J. Walker running DUNK (2 PTS) (B. Sheppard 1 AST),"[1641716, 1641767]",1610612754.0,IND,running,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,2.0,B. Sheppard,1641767.0,1.0,,,,,,,,,,
