actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2026-03-01T22:10:36.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-01T22:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-03-01T22:10:38.2Z,1,REGULAR,jumpball,recovered,[],1641716,,,1610612754,0,0,2026-03-01T22:10:38Z,40000,False,,,0,,Jump Ball J. Huff vs. O. Prosper: Tip to J. Walker,"[1641716, 1630643, 1641765]",1610612754.0,IND,startperiod,J. Walker,1641716.0,Walker,J. Walker,Huff,1630643.0,Prosper,1641765.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-03-01T22:10:56.9Z,1,REGULAR,2pt,Jump Shot,[],1630167,85.62746386333771,31.372549019607842,1610612754,0,0,2026-03-01T22:11:28Z,70000,False,-93.0,83.0,1,right,MISS O. Toppin 12' driving floating Shot - blocked,"[1630167, 1641713]",1610612754.0,IND,driving floating,,,Toppin,O. Toppin,,,,,Mid-Range,8-16 Left,12.45,Missed,Jackson,1641713.0,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-03-01T22:10:56.9Z,1,REGULAR,block,,[],1641713,,,1610612754,0,0,2026-03-01T22:10:58Z,80000,False,,,0,,G. Jackson BLOCK (1 BLK),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2026-03-01T22:10:57.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2026-03-01T22:11:28Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Mid-Range,8-16 Left,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M36.00S,2026-03-01T22:12:06.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630167,95.22010512483574,18.137254901960784,1610612754,2,0,2026-03-01T22:12:10Z,110000,False,-159.0,-8.0,1,right,O. Toppin 15' Jump Shot (2 PTS) (K. Jones 1 AST),"[1630167, 1642880]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Mid-Range,8-16 Left,15.95,Made,,,,2.0,K. Jones,1642880.0,1.0,,,,,,,,,,,
13,PT11M17.00S,2026-03-01T22:12:25.5Z,1,REGULAR,turnover,lost ball,[],1642383,,,1610612763,2,0,2026-03-01T22:12:28Z,130000,False,,,0,,W. Clayton Jr. lost ball TURNOVER (1 TO),"[1642383, 1630167]",1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,Toppin,1630167.0,,,,,,,,
14,PT11M17.00S,2026-03-01T22:12:25.5Z,1,REGULAR,steal,,[],1630167,,,1610612754,2,0,2026-03-01T22:12:27Z,140000,False,,,0,,O. Toppin STEAL (1 STL),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M14.00S,2026-03-01T22:12:28.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641716,91.93495400788436,50.98039215686274,1610612754,4,0,2026-03-01T22:12:32Z,150000,False,5.0,23.0,1,right,J. Walker running finger roll Layup (2 PTS) (O. Toppin 1 AST),"[1641716, 1630167]",1610612754.0,IND,running finger roll,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,2.38,Made,,,,2.0,O. Toppin,1630167.0,1.0,,,,,,,,,,,
17,PT11M03.00S,2026-03-01T22:12:39.3Z,1,REGULAR,3pt,Jump Shot,[],1642377,31.488173455978973,53.92156862745098,1610612763,4,3,2026-03-01T22:12:43Z,170000,False,-20.0,243.0,1,left,J. Wells 24' 3PT  (3 PTS) (S. Pippen Jr. 1 AST),"[1642377, 1630590]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,24.43,Made,,,,3.0,S. Pippen Jr.,1630590.0,1.0,,,,,,,,,,,
19,PT10M53.00S,2026-03-01T22:12:49.1Z,1,REGULAR,turnover,lost ball,[],1641716,,,1610612754,4,3,2026-03-01T22:12:51Z,190000,False,,,0,,J. Walker lost ball TURNOVER (1 TO),"[1641716, 1642383]",1610612754.0,IND,,,,Walker,J. Walker,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1.0,Clayton Jr.,1642383.0,,,,,,,,
20,PT10M53.00S,2026-03-01T22:12:49.1Z,1,REGULAR,steal,,[],1642383,,,1610612763,4,3,2026-03-01T22:12:50Z,200000,False,,,0,,W. Clayton Jr. STEAL (1 STL),[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
21,PT10M49.00S,2026-03-01T22:12:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630590,6.783837056504599,54.166666666666664,1610612763,4,5,2026-03-01T22:12:56Z,210000,False,-21.0,11.0,1,left,S. Pippen Jr. running finger roll Layup (2 PTS) (W. Clayton Jr. 1 AST),"[1630590, 1642383]",1610612763.0,MEM,running finger roll,,,Pippen Jr.,S. Pippen Jr.,,,,,Restricted Area,0-8 Center,2.37,Made,,,,2.0,W. Clayton Jr.,1642383.0,1.0,,,,,,,,,,,
23,PT10M34.00S,2026-03-01T22:13:09.9Z,1,REGULAR,foul,personal,['2freethrow'],1630590,,,1610612754,4,5,2026-03-01T22:13:16Z,230000,False,,,0,,S. Pippen Jr. shooting personal FOUL (1 PF) (Toppin 2 FT),"[1630590, 1630167]",1610612763.0,MEM,shooting,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1628481.0,1.0,0.0,Toppin,1630167.0,,,
25,PT10M34.00S,2026-03-01T22:13:34.4Z,1,REGULAR,freethrow,1 of 2,[],1630167,,,1610612754,5,5,2026-03-01T22:13:34Z,250000,False,,,0,,O. Toppin Free Throw 1 of 2 (3 PTS),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,Made,,,,3.0,,,,,,,,,,,,,,
26,PT10M34.00S,2026-03-01T22:13:49.3Z,1,REGULAR,freethrow,2 of 2,[],1630167,,,1610612754,6,5,2026-03-01T22:13:49Z,260000,False,,,0,,O. Toppin Free Throw 2 of 2 (4 PTS),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,,,,Made,,,,4.0,,,,,,,,,,,,,,
27,PT10M17.00S,2026-03-01T22:14:08.2Z,1,REGULAR,turnover,bad pass,[],1642377,,,1610612763,6,5,2026-03-01T22:14:12Z,270000,False,,,0,,J. Wells bad pass TURNOVER (1 TO),"[1642377, 1641767]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,Sheppard,1641767.0,,,,,,,,
28,PT10M17.00S,2026-03-01T22:14:08.2Z,1,REGULAR,steal,,[],1641767,,,1610612754,6,5,2026-03-01T22:14:09Z,280000,False,,,0,,B. Sheppard STEAL (1 STL),[1641767],1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
29,PT10M12.00S,2026-03-01T22:14:13.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642880,92.72339027595268,54.41176470588235,1610612754,8,5,2026-03-01T22:14:20Z,290000,False,22.0,16.0,1,right,K. Jones running reverse Layup (2 PTS) (J. Walker 1 AST),"[1642880, 1641716]",1610612754.0,IND,running reverse,,,Jones,K. Jones,,,,,Restricted Area,0-8 Center,2.72,Made,,,,2.0,J. Walker,1641716.0,1.0,,,,,,,,,,,
31,PT09M58.00S,2026-03-01T22:14:27.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,5.995400788436268,53.67647058823529,1610612763,8,7,2026-03-01T22:14:32Z,310000,False,-18.0,4.0,1,left,J. Wells driving Layup (5 PTS) (W. Clayton Jr. 2 AST),"[1642377, 1642383]",1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,1.88,Made,,,,5.0,W. Clayton Jr.,1642383.0,2.0,,,,,,,,,,,
33,PT09M49.00S,2026-03-01T22:14:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642880,90.3580814717477,37.745098039215684,1610612754,8,7,2026-03-01T22:16:26Z,330000,False,-61.0,38.0,1,right,MISS K. Jones 7' driving floating bank Shot,[1642880],1610612754.0,IND,driving floating bank,,,Jones,K. Jones,,,,,In The Paint (Non-RA),0-8 Center,7.22,Missed,,,,,,,,,,,,,,,,,,
34,PT09M47.00S,2026-03-01T22:14:38.5Z,1,REGULAR,rebound,offensive,[],1630643,,,1610612754,8,7,2026-03-01T22:16:26Z,340000,False,,,0,,J. Huff REBOUND (Off:1 Def:0),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,33.0,,,,,,,,,,,,,1.0,0.0,1.0
35,PT09M41.00S,2026-03-01T22:14:45.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642880,69.07030223390277,26.225490196078432,1610612754,8,7,2026-03-01T22:14:49Z,350000,False,-119.0,238.0,1,right,MISS K. Jones 26' 3PT,[1642880],1610612754.0,IND,,,,Jones,K. Jones,,,,,Above the Break 3,24+ Left Center,26.62,Missed,,,,,,,,,,,,,,,,,,
36,PT09M38.00S,2026-03-01T22:14:48.1Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,8,7,2026-03-01T22:14:49Z,360000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Left Center,,,,,35.0,,,,,,,,,,,,,1.0,1.0,0.0
37,PT09M30.00S,2026-03-01T22:14:56.2Z,1,REGULAR,3pt,Jump Shot,[],1641713,28.07161629434954,16.911764705882355,1610612763,8,10,2026-03-01T22:14:59Z,370000,False,165.0,211.0,1,left,G. Jackson 26' 3PT  (3 PTS) (J. Wells 1 AST),"[1641713, 1642377]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,26.84,Made,,,,3.0,J. Wells,1642377.0,1.0,,,,,,,,,,,
39,PT09M16.00S,2026-03-01T22:15:09.5Z,1,REGULAR,turnover,lost ball,[],1641767,,,1610612754,8,10,2026-03-01T22:15:12Z,390000,False,,,0,,B. Sheppard lost ball TURNOVER (1 TO),"[1641767, 1642383]",1610612754.0,IND,,,,Sheppard,B. Sheppard,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,Clayton Jr.,1642383.0,,,,,,,,
40,PT09M16.00S,2026-03-01T22:15:09.5Z,1,REGULAR,steal,,[],1642383,,,1610612763,8,10,2026-03-01T22:15:10Z,400000,False,,,0,,W. Clayton Jr. STEAL (2 STL),[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
41,PT09M12.00S,2026-03-01T22:15:13.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1641765,6.389618922470433,46.32352941176471,1610612763,8,12,2026-03-01T22:15:20Z,410000,False,18.0,8.0,1,left,O. Prosper running alley-oop Layup (2 PTS) (W. Clayton Jr. 3 AST),"[1641765, 1642383]",1610612763.0,MEM,running alley-oop,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,1.99,Made,,,,2.0,W. Clayton Jr.,1642383.0,3.0,,,,,,,,,,,
43,PT08M59.00S,2026-03-01T22:15:26.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630643,91.5407358738502,53.67647058823529,1610612754,10,12,2026-03-01T22:15:29Z,430000,False,18.0,27.0,1,right,J. Huff alley-oop DUNK (2 PTS) (O. Toppin 2 AST),"[1630643, 1630167]",1610612754.0,IND,alley-oop,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,3.27,Made,,,,2.0,O. Toppin,1630167.0,2.0,,,,,,,,,,,
45,PT08M35.00S,2026-03-01T22:15:49.9Z,1,REGULAR,3pt,Jump Shot,[],1642383,33.065045992115635,53.67647058823529,1610612763,10,12,2026-03-01T22:15:56Z,450000,False,-18.0,258.0,1,left,MISS W. Clayton Jr. 25' 3PT,[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,Above the Break 3,24+ Center,25.9,Missed,,,,,,,,,,,,,,,,,,
46,PT08M32.00S,2026-03-01T22:15:52.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,10,12,2026-03-01T22:15:56Z,460000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Above the Break 3,24+ Center,,,,,45.0,,,,,,,,,,,,,,,
48,PT08M32.00S,2026-03-01T22:15:56.5Z,1,REGULAR,substitution,out,[],1641713,,,1610612763,10,12,2026-03-01T22:16:03Z,480000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M32.00S,2026-03-01T22:15:56.5Z,1,REGULAR,substitution,in,[],1641712,,,1610612763,10,12,2026-03-01T22:16:03Z,490000,False,,,0,,SUB in: R. Rupert,[1641712],1610612763.0,MEM,,,,Rupert,R. Rupert,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M25.00S,2026-03-01T22:16:15.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642377,5.469776609724048,96.32352941176471,1610612763,10,12,2026-03-01T22:16:19Z,500000,False,-232.0,-1.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
51,PT08M22.00S,2026-03-01T22:16:18.0Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,10,12,2026-03-01T22:16:19Z,510000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Left Corner 3,24+ Left,,,,,50.0,,,,,,,,,,,,,1.0,1.0,0.0
52,PT08M14.00S,2026-03-01T22:16:26.4Z,1,REGULAR,3pt,Jump Shot,[],1630643,66.83639947437582,56.61764705882353,1610612754,13,12,2026-03-01T22:16:34Z,520000,False,33.0,259.0,1,right,J. Huff 26' 3PT  (5 PTS) (K. Jones 2 AST),"[1630643, 1642880]",1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Center,26.13,Made,,,,5.0,K. Jones,1642880.0,2.0,,,,,,,,,,,
54,PT08M01.00S,2026-03-01T22:16:38.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630590,11.908672798948752,44.11764705882353,1610612763,13,12,2026-03-01T22:20:48Z,540000,False,29.0,59.0,1,left,MISS S. Pippen Jr. 6' driving floating Shot,[1630590],1610612763.0,MEM,driving floating,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.63,Missed,,,,,,,,,,,,,,,,,,
55,PT07M59.00S,2026-03-01T22:16:40.8Z,1,REGULAR,rebound,defensive,[],1630643,,,1610612754,13,12,2026-03-01T22:16:42Z,550000,False,,,0,,J. Huff REBOUND (Off:1 Def:1),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,In The Paint (Non-RA),0-8 Center,,,,,54.0,,,,,,,,,,,,,2.0,1.0,1.0
56,PT07M51.00S,2026-03-01T22:16:48.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641716,87.07293035479631,45.09803921568628,1610612754,15,12,2026-03-01T22:16:52Z,560000,False,-25.0,69.0,1,right,J. Walker 7' driving floating Jump Shot (4 PTS) (O. Toppin 3 AST),"[1641716, 1630167]",1610612754.0,IND,driving floating,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,7.32,Made,,,,4.0,O. Toppin,1630167.0,3.0,,,,,,,,,,,
58,PT07M50.00S,2026-03-01T22:16:54.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,15,12,2026-03-01T22:16:54Z,580000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M50.00S,2026-03-01T22:18:52.4Z,1,REGULAR,substitution,out,[],1642383,,,1610612763,15,12,2026-03-01T22:19:37Z,590000,False,,,0,,SUB out: W. Clayton Jr.,[1642383],1610612763.0,MEM,,,,Clayton Jr.,W. Clayton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M50.00S,2026-03-01T22:18:52.4Z,1,REGULAR,substitution,in,[],1642914,,,1610612763,15,12,2026-03-01T22:19:37Z,600000,False,,,0,,SUB in: J. Small,[1642914],1610612763.0,MEM,,,,Small,J. Small,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M40.00S,2026-03-01T22:20:10.0Z,1,REGULAR,foul,technical,['1freethrow'],1630643,,,1610612763,15,12,2026-03-01T22:20:17Z,610000,False,,,0,,J. Huff defensive-3-second technical FOUL (1 Tech),[1630643],1610612754.0,IND,defensive-3-second,,,Huff,J. Huff,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,2004.0,0.0,1.0,,,,,
