actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-24T00:40:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-24T00:40:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-24T00:40:51.7Z,1,REGULAR,jumpball,recovered,[],1626171,,,1610612749,0,0,2025-12-24T00:40:51Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Huff: Tip to B. Portis,"[1626171, 1626167, 1630643]",1610612749.0,MIL,startperiod,B. Portis,1626171.0,Portis,B. Portis,Turner,1626167.0,Huff,1630643.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-24T00:41:05.2Z,1,REGULAR,3pt,Jump Shot,[],1626167,30.042706964520367,20.833333333333336,1610612749,0,0,2025-12-24T00:41:09Z,70000,False,146.0,230.0,1,left,MISS M. Turner 27' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,27.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-12-24T00:41:09.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,0,0,2025-12-24T00:41:09Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2025-12-24T00:41:30.0Z,1,REGULAR,3pt,Jump Shot,[],1631097,78.9257555847569,93.38235294117648,1610612754,3,0,2025-12-24T00:41:34Z,100000,False,217.0,146.0,1,right,B. Mathurin 26' 3PT  (3 PTS) (A. Nembhard 1 AST),"[1631097, 1629614]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,26.12,Made,,3.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,,
12,PT11M07.00S,2025-12-24T00:41:49.2Z,1,REGULAR,foul,personal,[],1631097,,,1610612749,3,0,2025-12-24T00:41:55Z,120000,False,,,0,,B. Mathurin personal FOUL (1 PF),"[1631097, 1628398]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Mid-Range,8-16 Left,,,,,,,,201245.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,
15,PT10M54.00S,2025-12-24T00:42:38.1Z,1,REGULAR,turnover,out-of-bounds,[],1631260,,,1610612749,3,0,2025-12-24T00:42:42Z,150000,False,,,0,,A. Green bad pass out-of-bounds TURNOVER (1 TO),[1631260],1610612749.0,MIL,bad pass,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628487.0,,,,,1.0,,,,,,,
16,PT10M46.00S,2025-12-24T00:42:51.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630643,64.99671484888306,51.225490196078425,1610612754,3,0,2025-12-24T00:42:56Z,160000,False,6.0,277.0,1,right,MISS J. Huff 27' 3PT,[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Center,27.66,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2025-12-24T00:42:55.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,3,0,2025-12-24T00:42:56Z,170000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,16.0,,,,,,,,,,,1.0,1.0,0.0,,,,
18,PT10M38.00S,2025-12-24T00:42:59.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626167,9.411957950065702,1.4705882352941175,1610612749,3,0,2025-12-24T00:43:10Z,180000,False,243.0,36.0,1,left,MISS M. Turner 24' running 3PT,[1626167],1610612749.0,MIL,running,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,24.53,Missed,,,,,,,,,,,,,,,,,,
