actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-10-31T23:10:40.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-31T23:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-31T23:10:42.8Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2025-10-31T23:10:42Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. I. Jackson: Tip to J. Johnson,"[1630552, 204001, 1630543]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Porziņģis,204001.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-10-31T23:10:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,4.944152431011826,42.15686274509804,1610612737,0,2,2025-10-31T23:11:02Z,70000,False,39.0,-6.0,1,left,J. Johnson driving finger roll Layup (2 PTS),[1630552],1610612737.0,ATL,driving finger roll,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,3.97,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2025-10-31T23:11:20.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641716,90.75229960578186,46.07843137254902,1610612754,0,2,2025-10-31T23:14:11Z,80000,False,-20.0,34.0,1,right,MISS J. Walker driving floating Shot - blocked,"[1641716, 1642258]",1610612754.0,IND,driving floating,,,Walker,J. Walker,,,,,Restricted Area,0-8 Center,3.96,Missed,,Risacher,1642258.0,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-10-31T23:11:20.0Z,1,REGULAR,block,,[],1642258,,,1610612754,0,2,2025-10-31T23:13:25Z,90000,False,,,0,,Z. Risacher BLOCK (1 BLK),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-10-31T23:11:22.0Z,1,REGULAR,rebound,defensive,[],204001,,,1610612737,0,2,2025-10-31T23:13:25Z,100000,False,,,0,,K. Porziņģis REBOUND (Off:0 Def:1),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT11M06.00S,2025-10-31T23:11:41.4Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612737,0,2,2025-10-31T23:13:58Z,135000,False,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 1631245]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,,,,,,,,,,1.0,Jackson,1631245.0,,,,,,,,
28,PT11M06.00S,2025-10-31T23:11:41.4Z,1,REGULAR,steal,,[],1631245,,,1610612754,0,2,2025-10-31T23:13:58Z,137500,False,,,0,,Q. Jackson STEAL (1 STL),[1631245],1610612754.0,IND,,,,Jackson,Q. Jackson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2025-10-31T23:11:49.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641716,65.65374507227332,46.81372549019608,1610612754,3,2,2025-10-31T23:13:58Z,140000,False,-16.0,270.0,1,right,J. Walker 27' 3PT pullup (3 PTS),[1641716],1610612754.0,IND,pullup,,,Walker,J. Walker,,,,,Above the Break 3,24+ Center,27.09,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2025-10-31T23:12:00.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,6.258212877792378,50.0,1610612737,3,4,2025-10-31T23:16:32Z,150000,False,0.0,6.0,1,left,D. Daniels driving floating bank Jump Shot (2 PTS),[1630700],1610612737.0,ATL,driving floating bank,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,0.63,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M24.00S,2025-10-31T23:12:16.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,94.69448094612353,55.88235294117647,1610612754,5,4,2025-10-31T23:12:20Z,160000,False,29.0,-3.0,1,right,P. Siakam driving Layup (2 PTS) (J. Walker 1 AST),"[1627783, 1641716]",1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.95,Made,2.0,,,,,,,,,,J. Walker,1641716.0,1.0,,,,,
18,PT10M14.00S,2025-10-31T23:12:27.0Z,1,REGULAR,3pt,Jump Shot,[],204001,34.37910643889619,19.607843137254903,1610612737,5,4,2025-10-31T23:12:30Z,180000,False,152.0,271.0,1,left,MISS K. Porziņģis 31' 3PT,[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Right Center,31.05,Missed,,,,,,,,,,,,,,,,,,
