actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-10T23:40:43.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-10T23:40:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-10T23:40:45.2Z,1,REGULAR,jumpball,recovered,[],1630679,,,1610612754,0,0,2026-04-10T23:40:45Z,40000,False,,,0,,Jump Ball M. Potter vs. A. Bona: Tip to E. Thompson,"[1630679, 1630695, 1641737]",1610612754.0,IND,startperiod,E. Thompson,1630679.0,Thompson,E. Thompson,Potter,1630695.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-04-10T23:40:57.7Z,1,REGULAR,foul,personal,[],202331,,,1610612754,0,0,2026-04-10T23:41:02Z,70000,False,,,0,,P. George personal FOUL (1 PF),"[202331, 1641738]",1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,1626300.0,1.0,0.0,Brown,1641738.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2026-04-10T23:41:23.0Z,1,REGULAR,turnover,out-of-bounds,[],1641716,,,1610612754,0,0,2026-04-10T23:41:27Z,90000,False,,,0,,J. Walker bad pass out-of-bounds TURNOVER (1 TO),[1641716],1610612754.0,IND,bad pass,,,Walker,J. Walker,,,,,Above the Break 3,24+ Right Center,1626300.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M31.00S,2026-04-10T23:41:38.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642845,31.61957950065703,49.754901960784316,1610612755,0,0,2026-04-10T23:41:43Z,100000,False,1.0,245.0,1,left,MISS V. Edgecombe 24' pullup 3PT,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Center,,,,,,,24.47,Missed,,,,,,,,,,,,
11,PT11M28.00S,2026-04-10T23:41:41.8Z,1,REGULAR,rebound,defensive,[],1630695,,,1610612754,0,0,2026-04-10T23:41:43Z,110000,False,,,0,,M. Potter REBOUND (Off:0 Def:1),[1630695],1610612754.0,IND,,,,Potter,M. Potter,,,,,Above the Break 3,24+ Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M14.00S,2026-04-10T23:41:54.8Z,1,REGULAR,2pt,Jump Shot,[],1630679,93.51182654402102,27.450980392156865,1610612754,0,0,2026-04-10T23:41:58Z,120000,False,-113.0,8.0,1,right,MISS E. Thompson 11' pullup Shot,[1630679],1610612754.0,IND,pullup,,,Thompson,E. Thompson,,,,,Mid-Range,8-16 Left,,,,,,,11.3,Missed,,,,,,,,,,,,
13,PT11M11.00S,2026-04-10T23:41:57.8Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,0,0,2026-04-10T23:41:58Z,130000,False,,,0,,A. Bona REBOUND (Off:0 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,8-16 Left,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M05.00S,2026-04-10T23:42:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,12.171484888304862,47.30392156862745,1610612755,0,2,2026-04-10T23:42:09Z,140000,False,13.0,62.0,1,left,T. Maxey 6' driving finger roll Layup (2 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,6.34,Made,,,,,2.0,,,,,,,
15,PT11M05.00S,2026-04-10T23:42:07.8Z,1,REGULAR,foul,personal,['1freethrow'],1641716,,,1610612755,0,2,2026-04-10T23:42:13Z,150000,False,,,0,,J. Walker shooting personal FOUL (1 PF) (Maxey 1 FT),"[1641716, 1630178]",1610612754.0,IND,shooting,,,Walker,J. Walker,,,,,In The Paint (Non-RA),0-8 Center,1626300.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,,,,,,,
17,PT11M05.00S,2026-04-10T23:42:30.0Z,1,REGULAR,freethrow,1 of 1,[],1630178,,,1610612755,0,3,2026-04-10T23:42:30Z,170000,False,,,0,,T. Maxey Free Throw 1 of 1 (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,Made,,,,,3.0,,,,,,,
