actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-24T00:40:21.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-24T00:40:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-24T00:40:23.7Z,1,REGULAR,jumpball,recovered,[],1630171,,,1610612741,0,0,2025-12-24T00:40:23Z,40000,False,,,0,,Jump Ball N. Vučević vs. O. Okongwu: Tip to I. Okoro,"[1630171, 202696, 1630168]",1610612741.0,CHI,startperiod,I. Okoro,1630171.0,Okoro,I. Okoro,Vučević,202696.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-12-24T00:40:36.2Z,1,REGULAR,turnover,out-of-bounds,[],1629632,,,1610612741,0,0,2025-12-24T00:40:43Z,70000,False,,,0,,C. White bad pass out-of-bounds TURNOVER (1 TO),[1629632],1610612741.0,CHI,bad pass,,,White,C. White,,,,,Restricted Area,0-8 Center,1626301.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2025-12-24T00:40:48.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629638,17.0335085413929,56.372549019607845,1610612737,2,0,2025-12-24T00:40:54Z,80000,False,-32.0,108.0,1,left,N. Alexander-Walker 11' Jump Shot (2 PTS) (T. Young 1 AST),"[1629638, 1629027]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),8-16 Center,,,11.22,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,,
10,PT11M18.00S,2025-12-24T00:41:07.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,73.66951379763469,17.647058823529413,1610612741,2,0,2025-12-24T00:41:12Z,100000,False,-162.0,195.0,1,right,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,25.34,Missed,,,,,,,,,,,,,,,,
11,PT11M15.00S,2025-12-24T00:41:10.7Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,2,0,2025-12-24T00:41:12Z,110000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M04.00S,2025-12-24T00:41:22.7Z,1,REGULAR,3pt,Jump Shot,[],1629638,4.812746386333772,97.05882352941177,1610612737,5,0,2025-12-24T00:41:27Z,120000,False,-235.0,-7.0,1,left,N. Alexander-Walker 3PT  (5 PTS) (T. Young 2 AST),"[1629638, 1629027]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Left Corner 3,24+ Left,,,23.54,Made,5.0,T. Young,1629027.0,2.0,,,,,,,,,,,,
14,PT10M50.00S,2025-12-24T00:41:35.6Z,1,REGULAR,3pt,Jump Shot,[],202696,67.36202365308804,46.568627450980394,1610612741,5,0,2025-12-24T00:41:40Z,140000,False,-17.0,254.0,1,right,MISS N. Vučević 25' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,25.49,Missed,,,,,,,,,,,,,,,,
15,PT10M46.00S,2025-12-24T00:41:39.6Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,5,0,2025-12-24T00:41:40Z,150000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M38.00S,2025-12-24T00:41:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,11.251642575558476,50.73529411764706,1610612737,7,0,2025-12-24T00:41:53Z,160000,False,-4.0,53.0,1,left,J. Johnson driving floating Jump Shot (2 PTS) (T. Young 3 AST),"[1630552, 1629027]",1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,5.34,Made,2.0,T. Young,1629027.0,3.0,,,,,,,,,,,,
