actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-12T23:40:48.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-12T23:40:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-12T23:40:51.1Z,1,REGULAR,jumpball,recovered,[],1642879,,,1610612751,0,0,2026-03-12T23:40:51Z,40000,False,,,0,,Jump Ball N. Claxton vs. O. Okongwu: Tip to B. Saraf,"[1642879, 1629651, 1630168]",1610612751.0,BKN,startperiod,B. Saraf,1642879.0,Saraf,B. Saraf,Claxton,1629651.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-03-12T23:41:07.0Z,1,REGULAR,foul,personal,['2freethrow'],1630168,,,1610612751,0,0,2026-03-12T23:41:25Z,70000,False,,,0,,O. Okongwu shooting personal FOUL (1 PF) (Saraf 2 FT),"[1630168, 1642879]",1610612737.0,ATL,shooting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1627961.0,1.0,0.0,Saraf,1642879.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2026-03-12T23:41:32.2Z,1,REGULAR,freethrow,1 of 2,[],1642879,,,1610612751,0,1,2026-03-12T23:41:32Z,90000,False,,,0,,B. Saraf Free Throw 1 of 2 (1 PTS),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M42.00S,2026-03-12T23:41:48.9Z,1,REGULAR,freethrow,2 of 2,[],1642879,,,1610612751,0,2,2026-03-12T23:41:48Z,100000,False,,,0,,B. Saraf Free Throw 2 of 2 (2 PTS),[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2026-03-12T23:42:08.1Z,1,REGULAR,3pt,Jump Shot,[],1629638,96.40275952693824,96.81372549019608,1610612737,3,2,2026-03-12T23:42:14Z,110000,False,234.0,-19.0,1,right,N. Alexander-Walker 3PT  (3 PTS) (C. Kispert 1 AST),"[1629638, 1630557]",1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.48,C. Kispert,1630557.0,1.0,,,,,,,,,
13,PT11M07.00S,2026-03-12T23:42:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,4.418528252299605,51.71568627450981,1610612751,3,4,2026-03-12T23:42:30Z,130000,False,-9.0,-11.0,1,left,N. Claxton driving Layup (2 PTS) (B. Saraf 1 AST),"[1629651, 1642879]",1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.4,B. Saraf,1642879.0,1.0,,,,,,,,,
15,PT10M54.00S,2026-03-12T23:42:37.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630168,84.05059132720105,48.529411764705884,1610612737,3,4,2026-03-12T23:42:43Z,150000,False,-7.0,97.0,1,right,MISS O. Okongwu 9' driving floating Shot,[1630168],1610612737.0,ATL,driving floating,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,9.77,,,,,,,,,,,,
16,PT10M52.00S,2026-03-12T23:42:39.6Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,3,4,2026-03-12T23:42:43Z,160000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M46.00S,2026-03-12T23:42:48.1Z,1,REGULAR,turnover,out-of-bounds,[],1642874,,,1610612751,3,4,2026-03-12T23:42:55Z,170000,False,,,0,,D. Wolf bad pass out-of-bounds TURNOVER (1 TO),[1642874],1610612751.0,BKN,bad pass,,,Wolf,D. Wolf,,,,,In The Paint (Non-RA),0-8 Center,202026.0,,,,,,,,,,,,,,,1.0,,,,
