actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-22T23:44:14.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-22T23:44:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-10-22T23:44:21.2Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2025-10-22T23:44:21Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. J. Poeltl: Tip to J. Johnson,"[1630552, 204001, 1627751]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Porziņģis,204001.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-10-22T23:44:29.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,8.229303547963205,43.38235294117647,1610612737,0,0,2025-10-22T23:44:45Z,70000,False,33.0,25.0,1,left,MISS K. Porziņģis driving floating bank Shot,[204001],1610612737.0,ATL,driving floating bank,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,4.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-10-22T23:44:32.1Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,0,0,2025-10-22T23:44:36Z,80000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M31.00S,2025-10-22T23:44:45.0Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612761,0,0,2025-10-22T23:44:51Z,90000,False,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612761.0,TOR,bad pass,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,,,,2882.0,1.0,,,,,,,,,,,,
10,PT11M26.00S,2025-10-22T23:45:05.7Z,1,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612737,0,0,2025-10-22T23:45:52Z,100000,False,,,0,,S. Barnes shooting personal FOUL (1 PF) (Johnson 2 FT),"[1630567, 1630552]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627541.0,,1.0,0.0,Johnson,1630552.0,,,,,,,,
12,PT11M26.00S,2025-10-22T23:45:53.3Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630552,,,1610612737,1,0,2025-10-22T23:45:53Z,120000,False,,,0,,J. Johnson Free Throw 1 of 2 (1 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
13,PT11M26.00S,2025-10-22T23:46:11.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630552,,,1610612737,2,0,2025-10-22T23:46:11Z,130000,False,,,0,,J. Johnson Free Throw 2 of 2 (2 PTS),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
14,PT11M21.00S,2025-10-22T23:46:21.0Z,1,REGULAR,foul,personal,[],1630700,,,1610612761,2,0,2025-10-22T23:46:26Z,140000,False,,,0,,D. Daniels personal FOUL (1 PF),"[1630700, 1629628]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,201638.0,,1.0,0.0,Barrett,1629628.0,,,,,,,,
16,PT11M07.00S,2025-10-22T23:46:46.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,92.59198423127464,52.94117647058824,1610612761,2,2,2025-10-22T23:47:26Z,160000,False,15.0,17.0,1,right,B. Ingram driving finger roll Layup (2 PTS) (S. Barnes 1 AST),"[1627742, 1630567]",1610612761.0,TOR,driving finger roll,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,,,,,,2.0,S. Barnes,1630567.0,1.0,,,,
18,PT10M57.00S,2025-10-22T23:47:00.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,13.485545335085414,62.745098039215684,1610612737,2,2,2025-10-22T23:47:17Z,180000,False,-64.0,74.0,1,left,MISS K. Porziņģis 9' turnaround Shot - blocked,"[204001, 1627751]",1610612737.0,ATL,turnaround,,,Porziņģis,K. Porziņģis,,,,,In The Paint (Non-RA),8-16 Left,9.79,Missed,,,,,,,,,,,,,,,Poeltl,1627751.0,,
19,PT10M57.00S,2025-10-22T23:47:00.1Z,1,REGULAR,block,,[],1627751,,,1610612737,2,2,2025-10-22T23:47:03Z,190000,False,,,0,,J. Poeltl BLOCK (1 BLK),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
20,PT10M56.00S,2025-10-22T23:47:01.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,2,2,2025-10-22T23:47:17Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,In The Paint (Non-RA),8-16 Left,,,18.0,,,,,,,,,,,,,,,,,
22,PT10M55.00S,2025-10-22T23:47:19.6Z,1,REGULAR,foul,personal,['2freethrow'],1629628,,,1610612737,2,2,2025-10-22T23:47:38Z,220000,False,,,0,,R. Barrett shooting personal FOUL (1 PF) (Porziņģis 2 FT),"[1629628, 204001]",1610612761.0,TOR,shooting,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,,1.0,0.0,Porziņģis,204001.0,,,,,,,,
24,PT10M55.00S,2025-10-22T23:47:46.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],204001,,,1610612737,3,2,2025-10-22T23:47:46Z,240000,False,,,0,,K. Porziņģis Free Throw 1 of 2 (1 PTS),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
25,PT10M55.00S,2025-10-22T23:48:00.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],204001,,,1610612737,4,2,2025-10-22T23:48:00Z,250000,False,,,0,,K. Porziņģis Free Throw 2 of 2 (2 PTS),[204001],1610612737.0,ATL,,,,Porziņģis,K. Porziņģis,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
