actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-12-06T00:40:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T00:40:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-06T00:41:06.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2025-12-06T00:41:06Z,40000,False,,,0,,Jump Ball N. Jokić vs. O. Okongwu: Tip to Team (DEN),"[203999, 1630168]",1610612743.0,DEN,startperiod,Team (DEN),Jokić,203999.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2025-12-06T00:41:13.1Z,1,REGULAR,2pt,Jump Shot,[],1629661,93.64323258869908,76.9607843137255,1610612743,0,0,2025-12-06T00:41:19Z,70000,False,135.0,7.0,1,right,MISS C. Johnson 13' Jump Shot,[1629661],1610612743.0,DEN,,,,,,,Mid-Range,8-16 Right,13.5,Missed,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2025-12-06T00:41:17.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,0,2025-12-06T00:41:17Z,80000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,,,,Mid-Range,8-16 Right,,,Okongwu,O. Okongwu,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-12-06T00:41:27.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,7.966491458607096,47.05882352941176,1610612737,2,0,2025-12-06T00:41:33Z,90000,False,15.0,22.0,1,left,D. Daniels driving floating Jump Shot (2 PTS) (O. Okongwu 1 AST),"[1630700, 1630168]",1610612737.0,ATL,driving floating,,,,,,Restricted Area,0-8 Center,2.68,Made,Daniels,D. Daniels,,,,,2.0,O. Okongwu,1630168.0,1.0,,,,,,,,,,,
11,PT11M22.00S,2025-12-06T00:41:44.4Z,1,REGULAR,3pt,Jump Shot,[],1629661,66.83639947437582,38.23529411764706,1610612743,2,0,2025-12-06T00:41:51Z,110000,False,-59.0,259.0,1,right,MISS C. Johnson 26' pullup 3PT,[1629661],1610612743.0,DEN,pullup,,,,,,Above the Break 3,24+ Center,26.58,Missed,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,
12,PT11M18.00S,2025-12-06T00:41:47.9Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,2,0,2025-12-06T00:41:47Z,120000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:2),[1630168],1610612737.0,ATL,,,,,,,Above the Break 3,24+ Center,,,Okongwu,O. Okongwu,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
13,PT11M12.00S,2025-12-06T00:41:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630168,29.911300919842315,34.55882352941176,1610612737,5,0,2025-12-06T00:41:59Z,130000,False,77.0,229.0,1,left,O. Okongwu 24' 3PT  (3 PTS) (J. Johnson 1 AST),"[1630168, 1630552]",1610612737.0,ATL,,,,,,,Above the Break 3,24+ Right Center,24.14,Made,Okongwu,O. Okongwu,,,,,3.0,J. Johnson,1630552.0,1.0,,,,,,,,,,,
15,PT10M55.00S,2025-12-06T00:42:11.9Z,1,REGULAR,2pt,Jump Shot,[],1631212,83.78777923784494,31.127450980392158,1610612743,5,0,2025-12-06T00:42:21Z,150000,False,-94.0,100.0,1,right,MISS P. Watson 13' pullup Shot,[1631212],1610612743.0,DEN,pullup,,,,,,Mid-Range,8-16 Left,13.74,Missed,Watson,P. Watson,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2025-12-06T00:42:16.9Z,1,REGULAR,rebound,defensive,[],1629638,,,1610612737,5,0,2025-12-06T00:42:21Z,160000,False,,,0,,N. Alexander-Walker REBOUND (Off:0 Def:1),[1629638],1610612737.0,ATL,,,,,,,Mid-Range,8-16 Left,,,Alexander-Walker,N. Alexander-Walker,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
17,PT10M43.00S,2025-12-06T00:42:26.6Z,1,REGULAR,violation,kicked ball,[],1631212,,,1610612737,5,0,2025-12-06T00:42:34Z,170000,False,,,0,,P. Watson kicked ball VIOLATION,[1631212],1610612743.0,DEN,,,,,,,,,,,Watson,P. Watson,,,,,,,,,1629183.0,,,,,,,,,,
