actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-11-08T00:44:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-08T00:44:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-11-08T00:45:12.6Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2025-11-08T00:45:12Z,40000,False,,,0,,Jump Ball J. Poeltl vs. K. Porziņģis: Tip to I. Quickley,"[1630193, 1627751, 204001]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Poeltl,1627751.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-11-08T00:45:25.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.553876478318,51.71568627450981,1610612761,0,2,2025-11-08T00:45:33Z,70000,False,9.0,121.0,1,right,B. Ingram 12' pullup Jump Shot (2 PTS),[1627742],1610612761.0,TOR,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.12,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2025-11-08T00:45:47.8Z,1,REGULAR,3pt,Jump Shot,[],1629638,32.14520367936925,63.970588235294116,1610612737,0,2,2025-11-08T00:45:53Z,80000,False,-70.0,250.0,1,left,MISS N. Alexander-Walker 25' 3PT,[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Above the Break 3,24+ Center,25.93,Missed,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-11-08T00:45:50.8Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,0,2,2025-11-08T00:45:53Z,90000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M11.00S,2025-11-08T00:45:57.2Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612761,0,2,2025-11-08T00:46:03Z,100000,False,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 1630700]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Daniels,1630700.0,,,,,,,,,,
11,PT11M11.00S,2025-11-08T00:45:57.2Z,1,REGULAR,steal,,[],1630700,,,1610612737,0,2,2025-11-08T00:45:59Z,110000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2025-11-08T00:46:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642258,7.835085413929041,46.32352941176471,1610612737,2,2,2025-11-08T00:46:14Z,120000,False,18.0,21.0,1,left,Z. Risacher running finger roll Layup (2 PTS),[1642258],1610612737.0,ATL,running finger roll,,,Risacher,Z. Risacher,,,,,Restricted Area,0-8 Center,2.8,Made,2.0,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2025-11-08T00:46:26.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.11760840998686,51.225490196078425,1610612761,2,2,2025-11-08T00:49:12Z,130000,False,6.0,12.0,1,right,MISS J. Poeltl Layup - blocked,"[1627751, 1630700]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,,Daniels,1630700.0,,,,,,,,
14,PT10M42.00S,2025-11-08T00:46:26.8Z,1,REGULAR,block,,[],1630700,,,1610612761,2,2,2025-11-08T00:46:29Z,140000,False,,,0,,D. Daniels BLOCK (1 BLK),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
