actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-20T00:40:16.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-20T00:40:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-20T00:40:19.2Z,1,REGULAR,jumpball,recovered,[],1642264,,,1610612759,0,0,2025-12-20T00:40:19Z,40000,False,,,0,,Jump Ball L. Kornet vs. O. Okongwu: Tip to S. Castle,"[1642264, 1628436, 1630168]",1610612759.0,SAS,startperiod,S. Castle,1642264.0,Castle,S. Castle,Kornet,1628436.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-12-20T00:40:33.8Z,1,REGULAR,2pt,Jump Shot,[],1628368,19.793035479632064,32.35294117647059,1610612759,0,2,2025-12-20T00:40:40Z,70000,False,88.0,134.0,1,left,D. Fox 16' step back Jump Shot (2 PTS),[1628368],1610612759.0,SAS,step back,,,Fox,D. Fox,,,,,Mid-Range,16-24 Right Center,16.01,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2025-12-20T00:41:03.7Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612737,0,2,2025-12-20T00:41:11Z,80000,False,,,0,,ATL shot clock Team TURNOVER,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,202041.0,,,,,,,,,,,,,,,,
9,PT10M58.00S,2025-12-20T00:41:27.8Z,1,REGULAR,turnover,bad pass,[],1642264,,,1610612759,0,2,2025-12-20T00:41:32Z,90000,False,,,0,,S. Castle bad pass TURNOVER (1 TO),"[1642264, 1642258]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left,,,,,1.0,Risacher,1642258.0,,,,,,,,,,,,,
10,PT10M58.00S,2025-12-20T00:41:27.8Z,1,REGULAR,steal,,[],1642258,,,1610612737,0,2,2025-12-20T00:41:30Z,100000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
11,PT10M51.00S,2025-12-20T00:41:35.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642258,91.80354796320631,65.93137254901961,1610612737,0,2,2025-12-20T00:41:43Z,110000,False,80.0,25.0,1,right,MISS Z. Risacher 8' floating Shot,[1642258],1610612737.0,ATL,floating,,,Risacher,Z. Risacher,,,,,Mid-Range,8-16 Right,8.34,Missed,,,,,,,,,,,,,,,,,,
12,PT10M46.00S,2025-12-20T00:41:40.2Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,0,2,2025-12-20T00:41:43Z,120000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M36.00S,2025-12-20T00:41:50.4Z,1,REGULAR,3pt,Jump Shot,[],1628368,5.995400788436268,3.431372549019608,1610612759,0,2,2025-12-20T00:41:56Z,130000,False,233.0,4.0,1,left,MISS D. Fox 3PT,[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Right Corner 3,24+ Right,23.28,Missed,,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2025-12-20T00:41:54.4Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,2,2025-12-20T00:41:56Z,140000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Right Corner 3,24+ Right,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
