actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-18T00:40:34.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-18T00:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-18T00:40:37.3Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2026-01-18T00:40:37Z,40000,False,,,0,,Jump Ball N. Queta vs. O. Okongwu: Tip to D. White,"[1628401, 1629674, 1630168]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Queta,1629674.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-18T00:40:52.4Z,1,REGULAR,2pt,Jump Shot,[],1627759,11.908672798948752,25.49019607843137,1610612738,0,0,2026-01-18T00:41:02Z,70000,False,123.0,59.0,1,left,MISS J. Brown 13' fadeaway Shot,[1627759],1610612738.0,BOS,fadeaway,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,13.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-01-18T00:40:55.4Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,0,2026-01-18T00:41:02Z,80000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2026-01-18T00:41:15.1Z,1,REGULAR,2pt,Jump Shot,[],203468,78.79434954007884,76.47058823529412,1610612737,2,0,2026-01-18T00:41:20Z,90000,False,132.0,147.0,1,right,C. McCollum 19' pullup Jump Shot (2 PTS),[203468],1610612737.0,ATL,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right Center,19.77,Made,,,,,2.0,,,,,,,,,,,,,
10,PT10M59.00S,2026-01-18T00:41:34.0Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,2,0,2026-01-18T00:41:41Z,100000,False,,,0,,J. Brown bad pass out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,,200834.0,1.0,,,,,,,,,,,
11,PT10M44.00S,2026-01-18T00:41:54.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630552,68.67608409986859,29.901960784313726,1610612737,2,0,2026-01-18T00:42:00Z,110000,False,-100.0,242.0,1,right,MISS J. Johnson 26' 3PT,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,26.19,Missed,,,,,,,,,,,,,,,,,,
12,PT10M41.00S,2026-01-18T00:41:57.6Z,1,REGULAR,rebound,defensive,[],1631248,,,1610612738,2,0,2026-01-18T00:42:00Z,120000,False,,,0,,B. Scheierman REBOUND (Off:0 Def:1),[1631248],1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
42,PT10M37.00S,2026-01-18T00:42:17.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627759,9.806176084099869,48.03921568627451,1610612738,2,0,2026-01-18T01:09:15Z,135000,False,10.0,40.0,1,left,MISS J. Brown running Layup - blocked,"[1627759, 1629638]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.09,Missed,,,,,,,,Alexander-Walker,1629638.0,,,,,,,,,
43,PT10M37.00S,2026-01-18T00:42:17.8Z,1,REGULAR,block,,[],1629638,,,1610612738,2,0,2026-01-18T00:48:11Z,137500,False,,,0,,N. Alexander-Walker BLOCK (1 BLK),[1629638],1610612737.0,ATL,,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT10M36.00S,2026-01-18T00:42:18.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,2,0,2026-01-18T00:52:19Z,138750,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,42.0,,,,,,,,,,,,,,,,,
14,PT10M29.00S,2026-01-18T00:42:23.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631248,10.726018396846255,96.81372549019608,1610612738,2,3,2026-01-18T00:46:50Z,140000,False,-234.0,48.0,1,left,B. Scheierman 3PT  (3 PTS) (J. Brown 1 AST),"[1631248, 1627759]",1610612738.0,BOS,,,,Scheierman,B. Scheierman,,,,,Left Corner 3,24+ Left,23.9,Made,,,,,3.0,,,,,J. Brown,1627759.0,1.0,,,,,,
16,PT10M18.00S,2026-01-18T00:42:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,92.72339027595268,51.225490196078425,1610612737,2,3,2026-01-18T00:42:43Z,160000,False,6.0,16.0,1,right,MISS O. Okongwu cutting Layup,[1630168],1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1.7,Missed,,,,,,,,,,,,,,,,,,
17,PT10M15.00S,2026-01-18T00:42:37.4Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,2,3,2026-01-18T00:42:43Z,170000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M06.00S,2026-01-18T00:42:49.9Z,1,REGULAR,violation,kicked ball,[],1630168,,,1610612738,2,3,2026-01-18T00:42:55Z,180000,False,,,0,,O. Okongwu kicked ball VIOLATION,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,200834.0,,,,,,,,,,,,
19,PT09M54.00S,2026-01-18T00:43:18.5Z,1,REGULAR,3pt,Jump Shot,[],1630573,33.065045992115635,53.431372549019606,1610612738,2,3,2026-01-18T00:43:25Z,190000,False,-17.0,258.0,1,left,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,25.89,Missed,,,,,,,,,,,,,,,,,,
20,PT09M53.00S,2026-01-18T00:43:19.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,2,3,2026-01-18T00:43:25Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,19.0,,,,,,,,,,,,,,,,,
21,PT09M53.00S,2026-01-18T00:43:24.6Z,1,REGULAR,foul,personal,[],1631248,,,1610612737,2,3,2026-01-18T00:43:32Z,210000,False,,,0,,B. Scheierman loose ball personal FOUL (1 PF),"[1631248, 1630249]",1610612738.0,BOS,loose ball,,,Scheierman,B. Scheierman,,,,,Restricted Area,0-8 Center,,,,,,,,200834.0,,,,,,,1.0,0.0,Krejčí,1630249.0,,
23,PT09M43.00S,2026-01-18T00:43:42.0Z,1,REGULAR,3pt,Jump Shot,[],1630249,72.09264126149803,19.607843137254903,1610612737,2,3,2026-01-18T00:43:47Z,230000,False,-152.0,210.0,1,right,MISS V. Krejčí 25' 3PT,[1630249],1610612737.0,ATL,,,,Krejčí,V. Krejčí,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
24,PT09M39.00S,2026-01-18T00:43:46.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,2,3,2026-01-18T00:43:47Z,240000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M34.00S,2026-01-18T00:43:50.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,31.488173455978973,46.32352941176471,1610612738,2,3,2026-01-18T00:43:59Z,250000,False,18.0,243.0,1,left,MISS J. Brown 24' running pullup 3PT,[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,24.42,Missed,,,,,,,,,,,,,,,,,,
26,PT09M30.00S,2026-01-18T00:43:54.6Z,1,REGULAR,rebound,offensive,[],1629674,,,1610612738,2,3,2026-01-18T00:43:59Z,260000,False,,,0,,N. Queta REBOUND (Off:1 Def:0),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Center,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
27,PT09M30.00S,2026-01-18T00:43:55.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629674,5.590000152587891,50.0,1610612738,2,5,2026-01-18T00:43:55Z,270000,False,0.0,0.0,1,left,N. Queta putback Layup (2 PTS),[1629674],1610612738.0,BOS,putback,,,Queta,N. Queta,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
29,PT09M07.00S,2026-01-18T00:44:23.1Z,1,REGULAR,3pt,Jump Shot,[],203468,64.60249671484888,45.09803921568628,1610612737,2,5,2026-01-18T00:44:28Z,290000,False,-25.0,280.0,1,right,MISS C. McCollum 28' 3PT,[203468],1610612737.0,ATL,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,28.13,Missed,,,,,,,,,,,,,,,,,,
30,PT09M03.00S,2026-01-18T00:44:27.1Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,2,5,2026-01-18T00:44:28Z,300000,False,,,0,,N. Queta REBOUND (Off:1 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,Above the Break 3,24+ Center,,,29.0,2.0,1.0,1.0,,,,,,,,,,,,,,
